testgroup,reference,relative_support,time_pca,time_edist_test,distance,group_by_split,group_by_split_reference,test_group
BRD3379_24,control,1,0.0173494815826416,0.0011713504791259766,93.78767368784668,split_10,split_10,BRD3379_24
BRD3379_24,control,1,0.03181719779968262,0.0012869834899902344,100.75434330942971,split_10,split_30,BRD3379_24
BRD3379_24,control,1,0.04878973960876465,0.0014905929565429688,102.77329630201194,split_10,split_50,BRD3379_24
BRD3379_24,control,1,0.03252768516540527,0.0012760162353515625,79.16182068182366,split_30,split_10,BRD3379_24
BRD3379_24,control,1,0.04531741142272949,0.0014567375183105469,87.66738129393576,split_30,split_30,BRD3379_24
BRD3379_24,control,1,0.056516170501708984,0.0017437934875488281,89.17756788752445,split_30,split_50,BRD3379_24
BRD3379_24,control,1,0.04637002944946289,0.0014848709106445312,76.62511839508943,split_50,split_10,BRD3379_24
BRD3379_24,control,1,0.05375194549560547,0.0017540454864501953,85.94030670484466,split_50,split_30,BRD3379_24
BRD3379_24,control,1,0.06580018997192383,0.002196788787841797,87.32537624067675,split_50,split_50,BRD3379_24
BRD3379_6,control,1,0.01744699478149414,0.0011551380157470703,156.38179699461307,split_10,split_10,BRD3379_6
BRD3379_6,control,1,0.0379793643951416,0.0013186931610107422,170.64027744044358,split_10,split_30,BRD3379_6
BRD3379_6,control,1,0.04820537567138672,0.0015599727630615234,172.92622055848642,split_10,split_50,BRD3379_6
BRD3379_6,control,1,0.029457569122314453,0.0012197494506835938,175.96447837473,split_30,split_10,BRD3379_6
BRD3379_6,control,1,0.04195070266723633,0.0013968944549560547,196.1161132790445,split_30,split_30,BRD3379_6
BRD3379_6,control,1,0.05293464660644531,0.001730203628540039,200.3690939870324,split_30,split_50,BRD3379_6
BRD3379_6,control,1,0.03866219520568848,0.0013303756713867188,178.6466800947669,split_50,split_10,BRD3379_6
BRD3379_6,control,1,0.052690982818603516,0.0015354156494140625,200.46283218842507,split_50,split_30,BRD3379_6
BRD3379_6,control,1,0.0660562515258789,0.0019545555114746094,205.76889162691498,split_50,split_50,BRD3379_6
