testgroup,reference,relative_support,time_pca,time_edist_test,distance,group_by_split,group_by_split_reference,test_group
1,0,1,0.8812806606292725,0.03345799446105957,57.200360404255576,split_10,split_10,1
1,0,1,1.74271559715271,0.19931554794311523,54.629632983745665,split_10,split_30,1
1,0,1,2.7951693534851074,0.5294005870819092,56.03144983886807,split_10,split_50,1
1,0,1,1.4577178955078125,0.09431314468383789,55.29301843307863,split_30,split_10,1
1,0,1,2.0209739208221436,0.23715853691101074,53.54437095937621,split_30,split_30,1
1,0,1,2.7258167266845703,0.5752372741699219,55.32737139133343,split_30,split_50,1
1,0,1,1.6977088451385498,0.1204538345336914,57.969718841494,split_50,split_10,1
1,0,1,2.130422830581665,0.2965128421783447,56.26652936683686,split_50,split_30,1
1,0,1,3.0888288021087646,0.6403114795684814,58.23765601929418,split_50,split_50,1
2,0,1,0.7285594940185547,0.02107524871826172,186.44918164107165,split_10,split_10,2
2,0,1,1.5611534118652344,0.17916202545166016,176.8606486653873,split_10,split_30,2
2,0,1,2.7093911170959473,0.47200894355773926,178.79272898179468,split_10,split_50,2
2,0,1,0.9199683666229248,0.04523420333862305,203.72084787978133,split_30,split_10,2
2,0,1,1.8255805969238281,0.18539857864379883,198.35545601909615,split_30,split_30,2
2,0,1,2.6441593170166016,0.46564507484436035,201.05188675357692,split_30,split_50,2
2,0,1,0.8043503761291504,0.06570625305175781,200.18953559461153,split_50,split_10,2
2,0,1,1.7287859916687012,0.15119290351867676,196.15851644406135,split_50,split_30,2
2,0,1,2.6584246158599854,0.5089640617370605,199.11744413893098,split_50,split_50,2
