testgroup,reference,relative_support,time_pca,time_edist_test,distance,group_by_split,group_by_split_reference,test_group
BRD3379_24,control,1,0.017284393310546875,0.0011639595031738281,83.48755193841316,split_10,split_10,BRD3379_24
BRD3379_24,control,1,0.03863692283630371,0.0013186931610107422,58.7535166765814,split_10,split_30,BRD3379_24
BRD3379_24,control,1,0.049428462982177734,0.0017364025115966797,55.65990885003703,split_10,split_50,BRD3379_24
BRD3379_24,control,1,0.030259132385253906,0.001256704330444336,79.76018372683131,split_30,split_10,BRD3379_24
BRD3379_24,control,1,0.04559493064880371,0.001485586166381836,54.63915568565824,split_30,split_30,BRD3379_24
BRD3379_24,control,1,0.05667591094970703,0.001909494400024414,52.233508263700855,split_30,split_50,BRD3379_24
BRD3379_24,control,1,0.04190683364868164,0.0014269351959228516,70.11577276384503,split_50,split_10,BRD3379_24
BRD3379_24,control,1,0.05161428451538086,0.0017180442810058594,47.824683938902695,split_50,split_30,BRD3379_24
BRD3379_24,control,1,0.07268857955932617,0.002226114273071289,48.25631338445919,split_50,split_50,BRD3379_24
BRD3379_6,control,1,0.01586627960205078,0.0011584758758544922,239.289920501952,split_10,split_10,BRD3379_6
BRD3379_6,control,1,0.03757333755493164,0.0013115406036376953,182.53652934669117,split_10,split_30,BRD3379_6
BRD3379_6,control,1,0.04735875129699707,0.0016279220581054688,184.25036754690052,split_10,split_50,BRD3379_6
BRD3379_6,control,1,0.026766300201416016,0.0012202262878417969,255.22653692285917,split_30,split_10,BRD3379_6
BRD3379_6,control,1,0.04058194160461426,0.0014591217041015625,202.0408982284854,split_30,split_30,BRD3379_6
BRD3379_6,control,1,0.05225515365600586,0.0018177032470703125,204.68250346301704,split_30,split_50,BRD3379_6
BRD3379_6,control,1,0.035341501235961914,0.0013170242309570312,231.4773247220752,split_50,split_10,BRD3379_6
BRD3379_6,control,1,0.0455474853515625,0.0015597343444824219,181.64581368313202,split_50,split_30,BRD3379_6
BRD3379_6,control,1,0.05610394477844238,0.0020227432250976562,182.71248773180412,split_50,split_50,BRD3379_6
