testgroup,reference,relative_support,time_pca,time_edist_test,distance,group_by_split,group_by_split_reference,test_group
1,0,1.0,3.520534038543701,0.051226139068603516,64.31211794250652,split_10,split_10,1
1,0,1.0,3.679372787475586,0.04914379119873047,51.89625196096398,split_10,split_30,1
1,0,1.0,3.4536118507385254,0.04609251022338867,57.691243890337205,split_10,split_50,1
1,0,1.0,3.8846209049224854,0.06244230270385742,55.006454582459156,split_30,split_10,1
1,0,1.0,2.5486226081848145,0.04132843017578125,54.62933984720965,split_30,split_30,1
1,0,1.0,1.10184907913208,0.028234481811523438,50.48227448199751,split_30,split_50,1
1,0,0.8084507042253521,1.0990540981292725,0.0745999813079834,55.23241093531064,split_50,split_10,1
1,0,1.0,1.9544243812561035,0.14242029190063477,58.19694661403244,split_50,split_30,1
1,0,1.0,2.088261127471924,0.14521527290344238,58.23611630056712,split_50,split_50,1
2,0,1.0,0.3112301826477051,0.0012094974517822266,233.8922469467426,split_10,split_10,2
2,0,1.0,0.2750532627105713,0.002198457717895508,230.30534898635165,split_10,split_30,2
2,0,1.0,0.2673513889312744,0.00424957275390625,175.0828532292868,split_10,split_50,2
2,0,1.0,0.9850852489471436,0.0077745914459228516,181.6828599360154,split_30,split_10,2
2,0,1.0,1.1643083095550537,0.005898714065551758,191.83670986764992,split_30,split_30,2
2,0,1.0,0.9112167358398438,0.006821393966674805,219.03598790095748,split_30,split_50,2
2,0,1.0,1.2264857292175293,0.010847806930541992,162.80880676996014,split_50,split_10,2
2,0,1.0,1.191305160522461,0.0028524398803710938,184.26429682895895,split_50,split_30,2
2,0,1.0,1.057267665863037,0.010841608047485352,197.9886527886207,split_50,split_50,2
