testgroup,reference,relative_support,time_pca,time_edist_test,distance,group_by_split,group_by_split_reference,test_group
1,0,1,0.9451682567596436,0.03866147994995117,41.54836193699742,split_10,split_10,1
1,0,1,1.7287471294403076,0.1886305809020996,39.90504468389773,split_10,split_30,1
1,0,1,2.7127392292022705,0.5072786808013916,41.655605042599234,split_10,split_50,1
1,0,1,1.2979459762573242,0.09309101104736328,41.44660633126426,split_30,split_10,1
1,0,1,2.2083683013916016,0.3170816898345947,40.03268270686172,split_30,split_30,1
1,0,1,3.5094974040985107,0.6857223510742188,41.80969331383449,split_30,split_50,1
1,0,1,1.6874771118164062,0.15697503089904785,42.41863981319037,split_50,split_10,1
1,0,1,2.630920648574829,0.39440417289733887,41.046506057701095,split_50,split_30,1
1,0,1,3.1517891883850098,0.8584403991699219,42.90558645250428,split_50,split_50,1
2,0,1,0.7574598789215088,0.022365808486938477,157.58441098630618,split_10,split_10,2
2,0,1,1.7293202877044678,0.17458152770996094,150.23478378093034,split_10,split_30,2
2,0,1,2.808032989501953,0.47353506088256836,152.28509888907857,split_10,split_50,2
2,0,1,0.7001652717590332,0.024117231369018555,193.10822403910953,split_30,split_10,2
2,0,1,1.850846290588379,0.2065260410308838,188.11766298465852,split_30,split_30,2
2,0,1,2.977285146713257,0.4499232769012451,190.2485272581777,split_30,split_50,2
2,0,1,0.8358340263366699,0.04973292350769043,200.23347343255537,split_50,split_10,2
2,0,1,1.8889718055725098,0.1652815341949463,196.23959533572622,split_50,split_30,2
2,0,1,2.8044302463531494,0.44835662841796875,199.2571435058162,split_50,split_50,2
