testgroup,reference,relative_support,time_pca,time_edist_test,distance,group_by_split,group_by_split_reference,test_group
Idasanutlin_24,control,1.0,0.01631951332092285,0.0010221004486083984,68.04668879239955,split_10,split_10,Idasanutlin_24
Idasanutlin_24,control,1.0,0.015995025634765625,0.0009672641754150391,50.64526841954307,split_10,split_30,Idasanutlin_24
Idasanutlin_24,control,1.0,0.015825271606445312,0.0009531974792480469,51.727322602301115,split_10,split_50,Idasanutlin_24
Idasanutlin_24,control,0.7674418604651163,0.038776397705078125,0.0010716915130615234,48.17607886021983,split_30,split_10,Idasanutlin_24
Idasanutlin_24,control,1.0,0.21390414237976074,0.004130363464355469,22.504784753359445,split_30,split_30,Idasanutlin_24
Idasanutlin_24,control,1.0,0.3279695510864258,0.004921436309814453,22.087012518309905,split_30,split_50,Idasanutlin_24
Idasanutlin_24,control,0.45517241379310347,0.19471263885498047,0.003983736038208008,54.90689589485447,split_50,split_10,Idasanutlin_24
Idasanutlin_24,control,1.0,0.3080470561981201,0.005216121673583984,25.99021840097282,split_50,split_30,Idasanutlin_24
Idasanutlin_24,control,1.0,0.2980170249938965,0.0042362213134765625,38.258580207359444,split_50,split_50,Idasanutlin_24
Idasanutlin_6,control,1.0,0.03601956367492676,0.002111673355102539,143.38700843200502,split_10,split_10,Idasanutlin_6
Idasanutlin_6,control,1.0,0.03328585624694824,0.0021200180053710938,112.35287586159973,split_10,split_30,Idasanutlin_6
Idasanutlin_6,control,1.0,0.0328826904296875,0.0020499229431152344,56.94982701734051,split_10,split_50,Idasanutlin_6
Idasanutlin_6,control,0.825,0.07440614700317383,0.002061605453491211,146.38242348722122,split_30,split_10,Idasanutlin_6
Idasanutlin_6,control,1.0,0.07394099235534668,0.002124786376953125,95.91373714451566,split_30,split_30,Idasanutlin_6
Idasanutlin_6,control,1.0,0.07034158706665039,0.0020608901977539062,94.90801565238945,split_30,split_50,Idasanutlin_6
Idasanutlin_6,control,0.5038167938931297,0.053214311599731445,0.0018393993377685547,129.0426822094796,split_50,split_10,Idasanutlin_6
Idasanutlin_6,control,1.0,0.216294527053833,0.0024127960205078125,88.97996066960957,split_50,split_30,Idasanutlin_6
Idasanutlin_6,control,1.0,0.2763090133666992,0.0020515918731689453,86.91128266864575,split_50,split_50,Idasanutlin_6
