testgroup,reference,relative_support,time_pca,time_edist_test,distance,test_group,group_by_split,len_subset
1.0,0.0,0.9863433667781494,0.5342996120452881,0.5696825981140137,0.06151042818299857,D4.5,split_50,7127
1.0,0.0,1.0,0.1437840461730957,0.018848896026611328,0.33696734064579914,D4.5,split_10,7127
1.0,0.0,1.0,0.2630758285522461,0.1890425682067871,0.1475980280007434,D4.5,split_30,7127
1.0,0.0,1.0,0.5030617713928223,0.5948488712310791,0.09704885712659461,D5,split_50,7227
1.0,0.0,1.0,0.21438097953796387,0.01957082748413086,0.353271061577658,D5,split_10,7227
1.0,0.0,1.0,0.3899836540222168,0.1928262710571289,0.12797707678265624,D5,split_30,7227
1.0,0.0,1.0,0.5650556087493896,2.6940722465515137,0.02423415795642825,D8,split_50,11088
1.0,0.0,1.0,0.32758426666259766,0.04577970504760742,0.16765869603294448,D8,split_10,11088
1.0,0.0,1.0,0.5811202526092529,1.2628185749053955,0.10459656536603745,D8,split_30,11088
1.0,0.0,1.0,0.7521030902862549,0.7974309921264648,0.3230575187241129,D7.5,split_50,5061
1.0,0.0,1.0,0.3875086307525635,0.02519965171813965,0.43751939892609926,D7.5,split_10,5061
1.0,0.0,1.0,0.5668296813964844,0.14889240264892578,0.31821287265270826,D7.5,split_30,5061
1.0,0.0,1.0,0.8125591278076172,0.9883050918579102,0.031391154273961774,D4,split_50,8962
1.0,0.0,1.0,0.31970691680908203,0.033870697021484375,0.14521165873317443,D4,split_10,8962
1.0,0.0,1.0,0.8720166683197021,0.8650002479553223,0.051422941078143936,D4,split_30,8962
1.0,0.0,0.9926586261143157,0.8456940650939941,0.502488374710083,0.4076545114172063,D18,split_50,3800
1.0,0.0,1.0,0.4275021553039551,0.026108741760253906,1.2941720209683467,D18,split_10,3800
1.0,0.0,1.0,1.3777036666870117,0.10647749900817871,0.47462106987785546,D18,split_30,3800
1.0,0.0,1.0,0.6489772796630859,0.9130041599273682,0.02391147237599256,D3.5,split_50,8066
1.0,0.0,1.0,0.09870791435241699,0.02656078338623047,0.07433188447256356,D3.5,split_10,8066
1.0,0.0,1.0,0.21642303466796875,0.2409074306488037,0.09346192714252055,D3.5,split_30,8066
1.0,0.0,1.0,0.22631263732910156,0.036849021911621094,0.2498287214914967,D1.5,split_50,1956
1.0,0.0,1.0,0.08623671531677246,0.0024254322052001953,1.56126301307512,D1.5,split_10,1956
1.0,0.0,1.0,0.23222827911376953,0.012933015823364258,0.49710800808870204,D1.5,split_30,1956
1.0,0.0,0.9861415025528811,0.22644639015197754,0.07182526588439941,0.873726967390553,D14.5,split_50,2723
1.0,0.0,1.0,0.08297038078308105,0.004185676574707031,2.1070079825460653,D14.5,split_10,2723
1.0,0.0,1.0,0.18363571166992188,0.027695894241333008,1.1256028373555864,D14.5,split_30,2723
1.0,0.0,0.9347948285553682,0.2799646854400635,0.11699843406677246,0.22341831088698427,D16,split_50,3442
1.0,0.0,1.0,0.08868598937988281,0.006540775299072266,2.2121484748485614,D16,split_10,3442
1.0,0.0,1.0,0.1920764446258545,0.04807567596435547,0.5208942038405553,D16,split_30,3442
1.0,0.0,0.9909465020576131,0.16393709182739258,0.05771064758300781,0.14363119958753146,D10,split_50,2419
1.0,0.0,1.0,0.06062173843383789,0.003195047378540039,1.5316667751110629,D10,split_10,2419
1.0,0.0,1.0,0.11840176582336426,0.02393054962158203,0.31469452882998894,D10,split_30,2419
1.0,0.0,0.9699828473413379,0.1905515193939209,0.05193209648132324,0.35274527982150516,D9.5,split_50,2297
1.0,0.0,1.0,0.05574369430541992,0.0028312206268310547,2.035759184080547,D9.5,split_10,2297
1.0,0.0,1.0,0.12381863594055176,0.020203590393066406,0.43280160027046577,D9.5,split_30,2297
1.0,0.0,0.959349593495935,0.6024229526519775,0.4554004669189453,0.16267430988239084,D7,split_50,6507
1.0,0.0,1.0,0.20527100563049316,0.0175325870513916,0.6866089224718337,D7,split_10,6507
1.0,0.0,1.0,0.30063748359680176,0.16585755348205566,0.3622973095340285,D7,split_30,6507
1.0,0.0,0.9504702194357367,0.25365376472473145,0.0926051139831543,0.3225641154612333,D6.5,split_50,3111
1.0,0.0,1.0,0.09524989128112793,0.004616260528564453,2.130459005656178,D6.5,split_10,3111
1.0,0.0,1.0,0.18395280838012695,0.03654146194458008,0.3718527558604876,D6.5,split_30,3111
1.0,0.0,1.0,0.23583102226257324,0.04876422882080078,0.5574350062521489,D13,split_50,2146
1.0,0.0,1.0,0.12720036506652832,0.002961874008178711,3.7936884455932613,D13,split_10,2146
1.0,0.0,1.0,0.1626136302947998,0.016629457473754883,1.331879719293056,D13,split_30,2146
1.0,0.0,0.9772899318697956,0.16510343551635742,0.06665277481079102,0.3574887323727296,D11,split_50,2612
1.0,0.0,1.0,0.14316082000732422,0.00357818603515625,1.5674176052328335,D11,split_10,2612
1.0,0.0,1.0,0.11806011199951172,0.025285959243774414,0.37434233272523443,D11,split_30,2612
1.0,0.0,1.0,0.20426440238952637,0.05315065383911133,0.45634684129760217,D12,split_50,2429
1.0,0.0,1.0,0.07190060615539551,0.0028929710388183594,6.270249408021471,D12,split_10,2429
1.0,0.0,1.0,0.14274001121520996,0.019596338272094727,1.6173464943345834,D12,split_30,2429
1.0,0.0,1.0,0.6648898124694824,0.8230254650115967,0.09926969391972307,D6,split_50,8422
1.0,0.0,1.0,0.15183806419372559,0.026300907135009766,0.40808079555307586,D6,split_10,8422
1.0,0.0,1.0,0.41303014755249023,0.25455379486083984,0.08707887168770867,D6,split_30,8422
1.0,0.0,0.9906023067065357,0.349853515625,0.2189338207244873,0.5972039504877102,D16.5,split_50,4660
1.0,0.0,1.0,0.1173546314239502,0.009283304214477539,1.2581777777768934,D16.5,split_10,4660
1.0,0.0,1.0,0.2805655002593994,0.08208775520324707,1.1587934186173925,D16.5,split_30,4660
