testgroup,reference,relative_support,time_pca,time_edist_test,distance,test_group,group_by_split,len_subset
1.0,0.0,1.0,0.42568087577819824,1.0327355861663818,0.042245255236196044,D2,split_50,9670
1.0,0.0,1.0,0.12223339080810547,0.036128997802734375,0.41348560223988784,D2,split_10,9670
1.0,0.0,1.0,0.2823367118835449,0.34968018531799316,0.16999283447577795,D2,split_30,9670
1.0,0.0,0.9954633830200907,0.22095513343811035,0.09607410430908203,0.10229068526430751,D9,split_50,3079
1.0,0.0,1.0,0.05905008316040039,0.00439143180847168,0.8558277912099186,D9,split_10,3079
1.0,0.0,1.0,0.14124846458435059,0.03359675407409668,0.19933006409391396,D9,split_30,3079
1.0,0.0,0.9972051425377306,0.26836156845092773,0.12148618698120117,0.16249883696610823,D8.5,split_50,3573
1.0,0.0,1.0,0.07152056694030762,0.005648374557495117,2.5370959410731757,D8.5,split_10,3573
1.0,0.0,1.0,0.14738988876342773,0.043855905532836914,0.24310471827470792,D8.5,split_30,3573
1.0,0.0,0.9556331006979063,0.3090548515319824,0.1482529640197754,0.22525480855500746,D15,split_50,3923
1.0,0.0,1.0,0.17311668395996094,0.0072290897369384766,4.818142550009554,D15,split_10,3923
1.0,0.0,1.0,0.1800241470336914,0.056478261947631836,1.0974859024215107,D15,split_30,3923
1.0,0.0,1.0,0.1641845703125,0.03788113594055176,0.43568004399878646,D10.5,split_50,1986
1.0,0.0,1.0,0.06060600280761719,0.0028753280639648438,5.564275675107808,D10.5,split_10,1986
1.0,0.0,1.0,0.19546794891357422,0.015202999114990234,1.198637094083324,D10.5,split_30,1986
1.0,0.0,0.9345454545454546,0.35701441764831543,0.5013773441314697,0.0834800167672114,D2.5,split_50,6916
1.0,0.0,1.0,0.12678265571594238,0.021099090576171875,0.0946806109030831,D2.5,split_10,6916
1.0,0.0,1.0,0.2505686283111572,0.19249653816223145,0.029435124571065785,D2.5,split_30,6916
1.0,0.0,1.0,0.2974822521209717,0.15950751304626465,0.3486191689192424,D17.5,split_50,4069
1.0,0.0,1.0,0.09773826599121094,0.006833076477050781,2.967824049430817,D17.5,split_10,4069
1.0,0.0,1.0,0.25268125534057617,0.06385421752929688,0.4277931992938875,D17.5,split_30,4069
1.0,0.0,1.0,0.4557211399078369,0.5083649158477783,0.06221431538479294,D3,split_50,6821
1.0,0.0,1.0,0.1082918643951416,0.01704716682434082,0.2464883223511407,D3,split_10,6821
1.0,0.0,1.0,0.24797344207763672,0.15419387817382812,0.11726372001081131,D3,split_30,6821
1.0,0.0,1.0,0.29218292236328125,0.1340324878692627,1.3139450358861495,D17,split_50,3678
1.0,0.0,1.0,0.10385251045227051,0.007091045379638672,0.7453866857697449,D17,split_10,3678
1.0,0.0,1.0,0.22929859161376953,0.04971480369567871,0.8101763944694085,D17,split_30,3678
1.0,0.0,0.9878603945371776,0.4561588764190674,0.45790815353393555,0.0836199152655297,D5.5,split_50,6550
1.0,0.0,1.0,0.19212794303894043,0.016598224639892578,0.5573557758347931,D5.5,split_10,6550
1.0,0.0,1.0,0.3361940383911133,0.15941548347473145,0.07293183039075757,D5.5,split_30,6550
1.0,0.0,1.0,0.20576691627502441,0.04812431335449219,0.9088738244373644,D12.5,split_50,2253
1.0,0.0,1.0,0.07302284240722656,0.0023975372314453125,6.061455913060058,D12.5,split_10,2253
1.0,0.0,1.0,0.1548454761505127,0.01583123207092285,5.250431752080885,D12.5,split_30,2253
1.0,0.0,1.0,0.18059611320495605,0.052651166915893555,0.357081683810236,D13.5,split_50,2373
1.0,0.0,1.0,0.06046724319458008,0.002848386764526367,2.0038057002977325,D13.5,split_10,2373
1.0,0.0,1.0,0.1255018711090088,0.020173072814941406,0.47370242098065773,D13.5,split_30,2373
1.0,0.0,0.9607922392886015,0.46573519706726074,0.2387864589691162,0.2687973110025723,D15.5,split_50,4851
1.0,0.0,1.0,0.13625264167785645,0.011128425598144531,0.8007797160840937,D15.5,split_10,4851
1.0,0.0,1.0,0.26743102073669434,0.08897948265075684,0.444410764776876,D15.5,split_30,4851
1.0,0.0,0.9788172992056487,0.2542283535003662,0.049002885818481445,0.416271047431394,D11.5,split_50,2242
1.0,0.0,1.0,0.06998729705810547,0.0028214454650878906,3.053979489095809,D11.5,split_10,2242
1.0,0.0,1.0,0.22374296188354492,0.019065380096435547,0.5672928038592886,D11.5,split_30,2242
1.0,0.0,0.9852086634970946,0.3787844181060791,0.1393592357635498,0.4679035024530549,D14,split_50,3758
1.0,0.0,1.0,0.18335175514221191,0.0067291259765625,4.3277187073131245,D14,split_10,3758
1.0,0.0,1.0,0.25409507751464844,0.05047416687011719,0.9978794568005469,D14,split_30,3758
