testgroup,reference,relative_support,time_pca,time_edist_test,distance,test_group,group_by_split,len_subset
1.0,0.0,1,1.3250150680541992,0.28990817070007324,0.18550383889203204,withdraw_15d_Cocaine,split_50,4789
1.0,0.0,1,1.1654329299926758,0.4059479236602783,0.909835718520867,withdraw_15d_Cocaine,split_10,4789
1.0,0.0,1,1.1373817920684814,0.3185091018676758,0.36781046777275606,withdraw_15d_Cocaine,split_30,4789
1.0,0.0,1,0.4259305000305176,0.030575275421142578,2.068791365836205,withdraw_48h_Cocaine,split_50,1688
1.0,0.0,1,0.42864203453063965,0.039659976959228516,2.008498931917302,withdraw_48h_Cocaine,split_10,1688
1.0,0.0,1,0.4329814910888672,0.0660548210144043,4.228076963369631,withdraw_48h_Cocaine,split_30,1688
