testgroup,reference,relative_support,time_pca,time_edist_test,distance,test_group,group_by_split,len_subset
1.0,0.0,0.9166666666666666,0.2722752094268799,0.0022177696228027344,2.6857205544558838,BRD3379_24,split_50,322
1.0,0.0,1.0,0.018197059631347656,0.001089334487915039,34.803407124085766,BRD3379_24,split_10,322
1.0,0.0,1.0,0.24478888511657715,0.004551887512207031,5.956267275402638,BRD3379_24,split_30,322
1.0,0.0,0.8583333333333333,0.3291666507720947,0.005316734313964844,4.221229376118117,BRD3379_6,split_50,223
1.0,0.0,1.0,0.05790543556213379,0.0033817291259765625,29.144045759049163,BRD3379_6,split_10,223
1.0,0.0,1.0,0.13387155532836914,0.004052162170410156,5.830047155824616,BRD3379_6,split_30,223
