test_group,group_by_split,group_by_split_reference,k,p,z,s
BRD3379_24,split_10,split_10,100,0.00033762173668387474,-3.6377589955173804,1.0
BRD3379_24,split_10,split_30,100,0.003754859152613452,-3.2194273925024954,0.9934640522875817
BRD3379_24,split_10,split_50,100,0.0001468030459749661,-4.70359115872916,1.0
BRD3379_24,split_30,split_10,100,1.6186751001314173e-05,-4.411941517251308,1.0
BRD3379_24,split_30,split_30,100,1.5769016356166645e-13,-7.188986943168371,0.9952153110047847
BRD3379_24,split_30,split_50,100,2.0199162359960608e-18,-8.946289398699237,1.0
BRD3379_24,split_50,split_10,100,1.7293796140884827e-08,-6.10470780339591,0.9945945945945946
BRD3379_24,split_50,split_30,100,3.160808162329977e-14,-7.3810994566409915,1.0
BRD3379_24,split_50,split_50,100,3.1251238975062306e-25,-10.009880730771041,0.997229916897507
BRD3379_6,split_10,split_10,100,0.07412262049385268,-1.8203700800610227,0.9846153846153847
BRD3379_6,split_10,split_30,100,0.19248382006191844,-1.2996571426041204,1.0
BRD3379_6,split_10,split_50,100,0.0563275590159961,-2.2633219672184977,0.995850622406639
BRD3379_6,split_30,split_10,100,3.99836825313994e-07,-5.0330210423768476,0.9906542056074766
BRD3379_6,split_30,split_30,100,0.0010595078959664364,-3.311394861359914,1.0
BRD3379_6,split_30,split_50,100,1.272684354969197e-06,-5.203049213647754,0.9964664310954063
BRD3379_6,split_50,split_10,100,9.634869294538512e-05,-4.084361203750953,0.9932885906040269
BRD3379_6,split_50,split_30,100,5.390944692940695e-05,-4.006664981851558,1.0
BRD3379_6,split_50,split_50,100,4.2591839335455247e-10,-6.338313419252448,0.9969230769230769
