test_group,group_by_split,group_by_split_reference,k,p,z,s
D2,split_10,split_10,100,1.223968076974792e-140,-24.31737602600347,1.0
D2,split_10,split_30,100,3.090249688554601e-274,-31.11673931508549,0.9995171414775471
D2,split_10,split_50,100,0.0,-36.47904667005749,1.0
D2,split_10,split_1,100,7.292658720405347e-29,-20.679105583364485,0.9989949748743718
D2,split_30,split_10,100,4.756925438302918e-214,-38.326140617521176,0.9996881821016527
D2,split_30,split_30,100,0.0,-43.67401596077817,1.0
D2,split_30,split_50,100,0.0,-47.40380716969301,0.9997883597883598
D2,split_30,split_1,100,3.97914988682323e-33,-33.21787685415217,1.0
D2,split_50,split_10,100,1.5211915545898096e-239,-47.602591703729026,1.0
D2,split_50,split_30,100,0.0,-52.912090930625034,0.9998295551389126
D2,split_50,split_50,100,0.0,-55.88206802889229,1.0
D2,split_50,split_1,100,1.1468076354506676e-36,-42.849523531492764,0.9997912753078689
D2,split_1,split_10,100,7.612111002458147e-42,-14.220086045523555,1.0
D2,split_1,split_30,100,6.526726333995277e-58,-22.85930715619556,0.999168744804655
D2,split_1,split_50,100,3.682641053430569e-67,-29.327318683420323,1.0
D2,split_1,split_1,100,9.776684332781263e-14,-7.380864212985315,0.9921259842519685
D9,split_10,split_10,100,6.577847429619297e-94,-17.902280565080925,0.9984779299847792
D9,split_10,split_30,100,1.0694134342811406e-150,-26.240392037405247,1.0
D9,split_10,split_50,100,5.49205828809474e-181,-32.625296539516114,0.9995402298850574
D9,split_10,split_1,100,8.388936462099249e-24,-12.668261462602059,1.0
D9,split_30,split_10,100,2.762478348596561e-166,-25.396549376470325,1.0
D9,split_30,split_30,100,4.1384403792303135e-300,-31.81928077058368,0.9995100440960314
D9,split_30,split_50,100,0.0,-37.346171421148,1.0
D9,split_30,split_1,100,2.2299019803760322e-32,-21.610395274987976,0.9989637305699481
D9,split_50,split_10,100,1.6295708842248875e-195,-30.65544858909063,0.999474513925381
D9,split_50,split_30,100,0.0,-36.392983658802564,1.0
D9,split_50,split_50,100,0.0,-41.2607681832579,0.9997076878105817
D9,split_50,split_1,100,2.6777491427278673e-36,-27.6892033647512,1.0
D9,split_1,split_10,100,3.987224309943263e-23,-13.714251548470829,0.9974554707379135
D9,split_1,split_30,100,8.965249073423223e-31,-23.53048875405387,1.0
D9,split_1,split_50,100,2.30987721493121e-34,-30.39923457607749,0.9994767137624281
D9,split_1,split_1,100,1.5392868329423572e-09,-5.621999609292018,1.0
D8.5,split_10,split_10,100,1.995290529800084e-107,-18.854718111927664,0.9985935302390999
D8.5,split_10,split_30,100,7.024280426209399e-173,-26.977107685685908,1.0
D8.5,split_10,split_50,100,6.094746294894187e-211,-33.41080780953836,0.9995513683266039
D8.5,split_10,split_1,100,4.889912326560893e-25,-13.666151132037388,1.0
D8.5,split_30,split_10,100,5.0041055646534847e-175,-26.648488958571825,1.0
D8.5,split_30,split_30,100,5e-324,-32.88620310987919,0.9995393827729157
D8.5,split_30,split_50,100,0.0,-38.32322345957698,1.0
D8.5,split_30,split_1,100,2.195829219485196e-33,-23.027258232328272,0.9990867579908675
D8.5,split_50,split_10,100,1.979728395260023e-211,-32.80380015847261,0.9995346672871103
D8.5,split_50,split_30,100,0.0,-38.04455496863711,1.0
D8.5,split_50,split_50,100,0.0,-42.81940222951168,0.9997272975184074
D8.5,split_50,split_1,100,1.924921412678063e-37,-29.77195211415849,1.0
D8.5,split_1,split_10,100,1.030481247727691e-18,-13.062281616216808,1.0
D8.5,split_1,split_30,100,4.512592212156688e-26,-23.38701735179067,0.9991235758106923
D8.5,split_1,split_50,100,7.452672313539667e-28,-29.1441868244029,1.0
D8.5,split_1,split_1,100,1.5591330328816873e-08,-5.34570636834615,0.9846153846153847
D15,split_10,split_10,100,2.7051737841661666e-115,-19.557778179291056,1.0
D15,split_10,split_30,100,1.668784297842918e-183,-27.27194058152895,0.999340804218853
D15,split_10,split_50,100,2.40169354683298e-226,-33.60406098813614,1.0
D15,split_10,split_1,100,4.5771611300464586e-26,-14.562522603697262,0.9977324263038548
D15,split_30,split_10,100,1.8397817515978086e-178,-27.78608741761512,1.0
D15,split_30,split_30,100,0.0,-33.86024247641264,0.9995684074233924
D15,split_30,split_50,100,0.0,-39.04922098676301,1.0
D15,split_30,split_1,100,2.2225731263502014e-34,-24.52108374209915,0.9991941982272361
D15,split_50,split_10,100,4.177824588103186e-214,-34.20387169420275,1.0
D15,split_50,split_30,100,0.0,-39.3272776341238,0.9996793844180827
D15,split_50,split_50,100,0.0,-43.982970850598505,1.0
D15,split_50,split_1,100,2.5244659305224264e-38,-31.487318237876412,0.9995105237395986
D15,split_1,split_10,100,8.18939832871262e-29,-14.288346508241453,0.9975062344139651
D15,split_1,split_30,100,7.869816778956782e-33,-22.456680381592978,1.0
D15,split_1,split_50,100,3.265080312209434e-38,-29.74619414516615,0.9994788952579469
D15,split_1,split_1,100,1.0648896087718755e-10,-5.966286297349301,1.0
D10.5,split_10,split_10,100,1.372004062688682e-84,-17.076885264456052,0.9982847341337907
D10.5,split_10,split_30,100,1.047535773785421e-128,-25.74713700825656,1.0
D10.5,split_10,split_50,100,1.8425857056179985e-154,-32.46237014864416,0.9995240361732508
D10.5,split_10,split_1,100,1.0289092030693462e-21,-11.156449601598373,1.0
D10.5,split_30,split_10,100,2.931147557950294e-134,-21.820047723252618,0.9989680082559339
D10.5,split_30,split_30,100,1.3560041605992915e-240,-29.279988060027403,1.0
D10.5,split_30,split_50,100,4.036159733161499e-295,-35.1197964947006,0.9995979091274628
D10.5,split_30,split_1,100,3.5616370858039045e-29,-17.67193153447673,1.0
