test_group,group_by_split,group_by_split_reference,k,p,z,s
1,split_10,split_10,100,2.733831851556597e-06,-4.7688607074333955,0.9992727272727273
1,split_10,split_30,100,4.319117204172824e-22,-9.651858129047643,0.9996768286114402
1,split_10,split_50,100,4.042737535879007e-39,-13.025674919790314,0.9995723205884869
1,split_10,split_1,100,0.014245829670693693,-3.1770538735189335,0.9993153029784321
1,split_30,split_10,100,3.8694973379025735e-08,-6.032816385728959,0.9995637949836423
1,split_30,split_30,100,1.7653995530172883e-19,-9.334856121961197,0.9996144206670522
1,split_30,split_50,100,3.8403255326052385e-44,-14.210250500053446,0.9996545171877699
1,split_30,split_1,100,0.04091335123250083,-2.9767749530134164,0.999479979199168
1,split_50,split_10,100,0.001897230923051692,-3.2231739592277724,0.9999333777481679
1,split_50,split_30,100,4.712888029151216e-15,-8.227344888419085,0.9999383249044036
1,split_50,split_50,100,1.6551035853353157e-43,-14.438539808192605,0.9999425881272247
1,split_50,split_1,100,0.17526322012268636,-1.8507011933326731,0.9999655017766585
1,split_1,split_10,100,1.0309012663381857e-07,-5.312922116079799,0.9988358556461001
1,split_1,split_30,100,6.900574137978067e-07,-5.220221046657308,0.9995152690256908
1,split_1,split_50,100,1.0435032282791412e-11,-7.698816287404027,0.9996939087848179
1,split_1,split_1,100,0.4292392216611129,-0.35254302810296984,0.9985401459854014
2,split_10,split_10,100,5.636044328642222e-32,-12.3500304110581,0.9996138996138996
2,split_10,split_30,100,6.66729724074075e-103,-21.33114551445684,1.0
2,split_10,split_50,100,2.733724534405469e-152,-26.153357199564432,1.0
2,split_10,split_1,100,0.14867271289838982,-1.4674185683670091,0.9997588618278274
2,split_30,split_10,100,2.9277429763904087e-29,-13.075175457031305,0.9998536299765808
2,split_30,split_30,100,3.773432391246233e-117,-24.234203530126862,0.9998755599800896
2,split_30,split_50,100,3.895236390548059e-196,-30.29006577020304,0.9998917748917749
2,split_30,split_1,100,0.009482450100024294,-3.8876755392151656,0.9999208297046948
2,split_50,split_10,100,7.289436949789035e-22,-11.585584129286948,0.9999546217724735
2,split_50,split_30,100,4.437346444179017e-102,-23.60356296262876,0.9998772755164655
2,split_50,split_50,100,8.58340669410207e-217,-33.13900490610576,0.9998882806390348
2,split_50,split_1,100,0.2338012449582379,-1.4349895049851715,0.9999047800418968
2,split_1,split_10,100,4.360205642428331e-19,-9.299759641982854,0.999344262295082
2,split_1,split_30,100,2.724836529470426e-25,-12.517527938695721,0.9997457411645054
2,split_1,split_50,100,3.6238391295916256e-23,-12.835155495943459,0.9998422961677969
2,split_1,split_1,100,0.004430412248747325,-2.8943259797133822,1.0
