,test_group,split_1,split_2,scXMatch,wilcoxon,deseq2_100,edgeR_100,augur
mcfarland_1,Idasanutlin_24,10,10,0.5438429027843471,0.1015,0.003,0.031,0.6349433106575963
mcfarland_1,Idasanutlin_24,10,30,0.7450010522500319,0.077,0.0095,0.048,0.5885714285714286
mcfarland_1,Idasanutlin_24,10,50,0.9841888460256261,0.0805,0.013,0.0545,0.591938775510204
mcfarland_1,Idasanutlin_24,30,10,0.9936097368113496,0.1635,0.0455,0.1015,0.6065873015873016
mcfarland_1,Idasanutlin_24,30,30,0.9900767737953203,0.132,0.0645,0.1155,0.5702721088435374
mcfarland_1,Idasanutlin_24,30,50,0.9999643082019433,0.1505,0.078,0.109,0.5620861678004535
mcfarland_1,Idasanutlin_24,50,10,0.946688244173778,0.2135,0.065,0.119,0.6041496598639455
mcfarland_1,Idasanutlin_24,50,30,0.999995236400241,0.18,0.0785,0.1225,0.5589455782312925
mcfarland_1,Idasanutlin_24,50,50,0.9999998101107032,0.212,0.079,0.1175,0.5745578231292517
mcfarland_1,Idasanutlin_6,10,10,0.991162361531112,0.181,0.012,0.043,0.8063832199546483
mcfarland_1,Idasanutlin_6,10,30,0.9943483843538151,0.1525,0.0285,0.0735,0.7589795918367348
mcfarland_1,Idasanutlin_6,10,50,0.9742047566802454,0.169,0.0325,0.071,0.749546485260771
mcfarland_1,Idasanutlin_6,30,10,0.9998937295307193,0.333,0.0255,0.07,0.8279591836734694
mcfarland_1,Idasanutlin_6,30,30,0.9999995211248887,0.31,0.041,0.08,0.7963492063492064
mcfarland_1,Idasanutlin_6,30,50,0.9999999954989667,0.348,0.0515,0.089,0.7731519274376417
mcfarland_1,Idasanutlin_6,50,10,0.9999995946753845,0.3825,0.0425,0.091,0.837482993197279
mcfarland_1,Idasanutlin_6,50,30,0.999999999951429,0.3755,0.0535,0.1035,0.7926757369614513
mcfarland_1,Idasanutlin_6,50,50,0.9999999999999936,0.411,0.064,0.1005,0.7847278911564627
mcfarland_2,Trametinib_24,10,10,0.999981142538475,0.1805,0.026,0.1105,0.8288888888888889
mcfarland_2,Trametinib_24,10,30,0.9999995062219021,0.2235,0.076,0.182,0.8514965986394557
mcfarland_2,Trametinib_24,10,50,0.9999999959987208,0.232,0.095,0.2035,0.8638208616780045
mcfarland_2,Trametinib_24,30,10,0.9999999995682385,0.229,0.126,0.1935,0.8144331065759637
mcfarland_2,Trametinib_24,30,30,1.0,0.331,0.22,0.2845,0.8184580498866212
mcfarland_2,Trametinib_24,30,50,1.0,0.357,0.249,0.3165,0.8422789115646259
mcfarland_2,Trametinib_24,50,10,0.9999999997649966,0.2625,0.164,0.221,0.8469501133786846
mcfarland_2,Trametinib_24,50,30,1.0,0.369,0.2645,0.33,0.8395918367346938
mcfarland_2,Trametinib_24,50,50,1.0,0.418,0.291,0.3675,0.8718140589569161
mcfarland_2,Trametinib_6,10,10,0.999981142538475,0.1685,0.014,0.0575,0.8149546485260771
mcfarland_2,Trametinib_6,10,30,0.9986600441240728,0.1855,0.0495,0.113,0.8316780045351476
mcfarland_2,Trametinib_6,10,50,0.9999421426327939,0.19,0.063,0.116,0.8532199546485262
mcfarland_2,Trametinib_6,30,10,0.9999999966408846,0.2735,0.013,0.062,0.8350793650793651
mcfarland_2,Trametinib_6,30,30,0.99999999862332,0.3155,0.0525,0.1025,0.8306235827664399
mcfarland_2,Trametinib_6,30,50,0.9999999999999606,0.327,0.067,0.1145,0.8337641723356009
mcfarland_2,Trametinib_6,50,10,0.9999999968958075,0.299,0.03,0.07,0.8405215419501133
mcfarland_2,Trametinib_6,50,30,0.9999999999999999,0.3605,0.075,0.1215,0.8073015873015873
mcfarland_2,Trametinib_6,50,50,1.0,0.381,0.088,0.1285,0.8240929705215421
mcfarland_3,BRD3379_24,10,10,0.9986647856922602,0.0745,0.012,0.036,0.6431972789115646
mcfarland_3,BRD3379_24,10,30,0.9999999352972432,0.1225,0.054,0.105,0.7257029478458048
mcfarland_3,BRD3379_24,10,50,0.9999997434226069,0.157,0.0705,0.1165,0.7539342403628118
mcfarland_3,BRD3379_24,30,10,0.9997012447137245,0.105,0.023,0.08,0.6701927437641723
mcfarland_3,BRD3379_24,30,30,0.9999999999999419,0.1865,0.104,0.1805,0.7160430839002266
mcfarland_3,BRD3379_24,30,50,1.0,0.232,0.1295,0.2,0.7341723356009071
mcfarland_3,BRD3379_24,50,10,0.9999998194579317,0.124,0.0385,0.094,0.674965986394558
mcfarland_3,BRD3379_24,50,30,1.0,0.204,0.1225,0.1895,0.7482879818594104
mcfarland_3,BRD3379_24,50,50,1.0,0.2505,0.1515,0.234,0.7449659863945578
mcfarland_3,BRD3379_6,10,10,0.9917727574011068,0.162,0.004,0.0345,0.6745011337868481
