test_group,group_by_split,group_by_split_reference,k,p,z,s
withdraw_48h_Cocaine,split_10,split_10,100,6.656566232619303e-05,-3.978925531368232,0.9894736842105263
withdraw_48h_Cocaine,split_10,split_30,100,0.032115209795290985,-2.1742312716192584,0.9948186528497409
withdraw_48h_Cocaine,split_10,split_50,100,0.007782200856193145,-2.9112322315069448,0.9965635738831615
withdraw_48h_Cocaine,split_30,split_10,100,0.005822443682983551,-2.8382081501424006,0.9946524064171123
withdraw_48h_Cocaine,split_30,split_30,100,4.316812136707828e-06,-4.552471804343357,0.9964912280701754
withdraw_48h_Cocaine,split_30,split_50,100,2.928803984601151e-06,-4.700234623543051,0.9973890339425587
withdraw_48h_Cocaine,split_50,split_10,100,0.03334142006069479,-2.196837213762926,1.0
withdraw_48h_Cocaine,split_50,split_30,100,8.190411702094299e-05,-3.9189053108899636,1.0
withdraw_48h_Cocaine,split_50,split_50,100,1.1729550961204972e-05,-4.324010101095431,1.0
withdraw_15d_Cocaine,split_10,split_10,100,1.3606104390131784e-05,-4.373304148674041,0.9922480620155039
withdraw_15d_Cocaine,split_10,split_30,100,1.6334251419791102e-13,-7.338283404161429,0.9955947136563876
withdraw_15d_Cocaine,split_10,split_50,100,7.5965657834268e-13,-7.614973658770074,0.9969230769230769
withdraw_15d_Cocaine,split_30,split_10,100,1.2588209649038635e-06,-5.435000343237655,1.0
withdraw_15d_Cocaine,split_30,split_30,100,2.130649098601269e-20,-9.03302858276565,1.0
withdraw_15d_Cocaine,split_30,split_50,100,6.3466210813483436e-27,-10.337470365391193,1.0
withdraw_15d_Cocaine,split_50,split_10,100,3.453538960262578e-12,-8.748637094094612,0.9976689976689976
withdraw_15d_Cocaine,split_50,split_30,100,2.203266501061945e-27,-11.063341645019598,0.9981024667931688
withdraw_15d_Cocaine,split_50,split_50,100,2.8718566223351947e-46,-13.652882928980553,0.9984
