,bhattacherjee_Astro,bhattacherjee_Endo,bhattacherjee_Excitatory,mcfarland_1,mcfarland_2,mcfarland_3,mcfarland_4,mcfarland_5,norman,schiebinger
augur,0.00034,0.00048,0.0011,0.00073,0.00028,0.0015,0.00064,0.00098,0.00035,0
deseq2_100,0.00047,0.0025,0.0055,0.00064,0.0047,0.0015,0.0013,0.0004,0.0088,0
edgeR_100,0.0013,0.0046,0.005,0.00082,0.0039,0.0026,0.0013,0.00069,0.012,0
scXMatch,0.0051,9.6e-05,0.0012,0.013,9.9e-08,3.9e-06,0.0021,0.022,2e-07,0
wilcoxon,0.017,0.0062,0.0055,0.0064,0.0064,0.0048,0.0061,0.0061,0.0034,0
