test_group,group_by_split,group_by_split_reference,k,p,z,s
24,split_10,split_10,100,1.7341728997442014e-05,-4.644059204470261,0.9955555555555555
24,split_10,split_30,100,1.850624966239343e-10,-6.28210209736534,0.9970149253731343
24,split_10,split_50,100,3.4127617635940766e-16,-8.078036565505512,1.0
24,split_10,split_1,100,0.9999999999999634,0.18676563717402925,0.994413407821229
24,split_30,split_10,100,5.843986647757809e-06,-5.7627846697811185,0.998211091234347
24,split_30,split_30,100,9.581461794592443e-15,-8.19955206560125,0.9985052316890882
24,split_30,split_50,100,7.687291809750644e-27,-10.724375592313558,1.0
24,split_30,split_1,100,0.9999999999997649,0.10889267850139153,0.9980506822612085
24,split_50,split_10,100,5.149288251369942e-08,-7.915292948006471,0.998911860718172
24,split_50,split_30,100,2.960543414263269e-14,-8.608030190271972,0.9990281827016521
24,split_50,split_50,100,1.1570105522521614e-26,-11.300856935405067,1.0
24,split_50,split_1,100,0.9999999999999255,0.08323693923681844,0.9988545246277205
24,split_1,split_10,100,0.00705976231852719,-3.00089272431674,0.9850746268656716
24,split_1,split_30,100,0.13837215557038568,-1.731417134459818,0.9943502824858758
24,split_1,split_50,100,0.0723893875819493,-2.3440159298522087,1.0
24,split_1,split_1,100,0.9999999999999996,0.6519202405202651,0.9523809523809523
6,split_10,split_10,100,0.038497048994503354,-2.06504878825462,1.0
6,split_10,split_30,100,0.00015434554517805755,-4.302134870450667,1.0
6,split_10,split_50,100,0.000503267169962642,-4.240024767238181,0.9967213114754099
6,split_10,split_1,100,0.15984555984555954,-2.2352374355636626,1.0
6,split_30,split_10,100,1.1324671508922764e-06,-5.041311389961845,0.9882352941176471
6,split_30,split_30,100,4.697655991222579e-14,-7.37606508004684,1.0
6,split_30,split_50,100,4.603682463446659e-12,-7.073707167353495,0.9974424552429667
6,split_30,split_1,100,0.9999999999999961,0.2274129392470535,0.9838709677419355
6,split_50,split_10,100,2.4202763803440015e-08,-6.174963965264247,0.9959839357429718
6,split_50,split_30,100,1.1551612006557257e-18,-8.566996812874754,0.9972144846796658
6,split_50,split_50,100,1.856419748688244e-20,-9.074398000098098,1.0
6,split_50,split_1,100,0.9999999999999777,0.17495906744357728,0.9950738916256158
6,split_1,split_10,100,0.11209766925638305,-2.7683709200575723,1.0
6,split_1,split_30,100,0.0366954997523151,-5.098922508161386,1.0
6,split_1,split_50,100,0.021937472121974975,-6.658283142617901,0.9963636363636363
6,split_1,split_1,100,0.7714285714285709,-0.2635231383473648,1.0
