test_group,group_by_split,group_by_split_reference,k,p,z,s
withdraw_15d_Cocaine,split_10,split_10,100,0.017731511049289612,-2.4627310110946787,1.0
withdraw_15d_Cocaine,split_10,split_30,100,3.1469640081333353e-06,-4.968501884345732,0.9882352941176471
withdraw_15d_Cocaine,split_10,split_50,100,5.05028010371734e-08,-6.3591090517091615,0.9922480620155039
withdraw_15d_Cocaine,split_30,split_10,100,7.258517387026246e-05,-4.44219356302569,0.9885057471264368
withdraw_15d_Cocaine,split_30,split_30,100,3.557809041818233e-12,-6.60762075535804,1.0
withdraw_15d_Cocaine,split_30,split_50,100,3.329761357176196e-17,-8.011775688362967,1.0
withdraw_15d_Cocaine,split_50,split_10,100,2.7439757014894764e-06,-5.809648258065858,0.9925925925925926
withdraw_15d_Cocaine,split_50,split_30,100,6.521868491373688e-17,-8.072830314226993,1.0
withdraw_15d_Cocaine,split_50,split_50,100,3.702959016422542e-27,-9.800389258002786,1.0
withdraw_48h_Cocaine,split_10,split_10,100,0.2890227213250099,-0.9808411369143211,0.96
withdraw_48h_Cocaine,split_10,split_30,100,0.17713996498714724,-1.243816836191353,0.989247311827957
withdraw_48h_Cocaine,split_10,split_50,100,0.07985649968334207,-1.7656601686806859,0.9927007299270073
withdraw_48h_Cocaine,split_30,split_10,100,0.21036273878227424,-1.2452405197042191,0.9787234042553191
withdraw_48h_Cocaine,split_30,split_30,100,0.23199824298028726,-0.9706329856427052,0.9927007299270073
withdraw_48h_Cocaine,split_30,split_50,100,0.06825908435223343,-1.6985361677017639,0.994475138121547
withdraw_48h_Cocaine,split_50,split_10,100,0.08627334463785817,-1.934861442194142,0.9932885906040269
withdraw_48h_Cocaine,split_50,split_30,100,0.01640654707975862,-2.377812267083279,1.0
withdraw_48h_Cocaine,split_50,split_50,100,0.0017068838723792884,-3.089054756106783,1.0
