test_group,group_by_split,group_by_split_reference,k,p,z,s
10000.0,split_10,split_10,100,0.13714864254816228,-1.2291035031091653,1.0
10000.0,split_10,split_30,100,0.1556282588029086,-1.0681347491892152,1.0
10000.0,split_10,split_50,100,0.007391370282999028,-2.4846099044918715,1.0
10000.0,split_10,split_1,100,0.9999999999981102,0.4337654857204207,1.0
10000.0,split_30,split_10,100,0.5919998497008202,0.08292230940843358,0.9999139192562624
10000.0,split_30,split_30,100,0.0017774098812723088,-3.1034374115746295,0.9999194003385186
10000.0,split_30,split_50,100,0.0028451998381560702,-2.8632976780970085,0.9999243055029899
10000.0,split_30,split_1,100,1.000000000005039,0.25053389120041486,0.9999113082039911
10000.0,split_50,split_10,100,0.5290917874251346,-0.10651757238738052,0.9999472824081396
10000.0,split_50,split_30,100,0.028144019075750853,-2.056988476316636,0.9999493901513234
10000.0,split_50,split_50,100,0.3714217559138715,-0.37383332632586896,0.9999513689636726
10000.0,split_50,split_1,100,1.00000000001504,0.19466214418164365,0.9999463144897193
10000.0,split_1,split_10,100,0.004209059214485719,-2.730130884099416,0.9986962190352021
10000.0,split_1,split_30,100,0.053258001058410075,-1.7207203226190393,0.9993577392421323
10000.0,split_1,split_50,100,0.1520228766722317,-1.134026938784535,0.9995764506565015
10000.0,split_1,split_1,100,1.0000000000000564,1.3700266892629074,0.9976470588235294
1000.0,split_10,split_10,100,0.7278792257842635,0.48896475437834697,1.0
1000.0,split_10,split_30,100,0.7226749085199432,0.5380368724119514,1.0
1000.0,split_10,split_50,100,0.5579432341214703,0.1061107243303126,1.0
1000.0,split_10,split_1,100,0.9999999999999835,0.4116637775845701,1.0
1000.0,split_30,split_10,100,0.4714467077615513,-0.22498009188298432,0.9999237979120628
1000.0,split_30,split_30,100,0.16154106491399617,-1.0650146053523857,0.99992812477539
1000.0,split_30,split_50,100,0.3724120827104873,-0.36762756266286517,0.999932051369165
1000.0,split_30,split_1,100,0.9999999999928109,0.2352185409187116,0.999921758860809
1000.0,split_50,split_10,100,0.2387753094639598,-0.9385281325250665,0.9999539021804269
1000.0,split_50,split_30,100,0.16504266856199445,-1.0672432440574906,0.9999555219499178
1000.0,split_50,split_50,100,0.5007617239639566,-0.0440682631958144,0.9999570575857775
1000.0,split_50,split_1,100,0.9999999999929685,0.18177412771897897,0.9999531637862396
1000.0,split_1,split_10,100,0.5376058265541996,-0.006710567571668125,0.9987261146496815
1000.0,split_1,split_30,100,0.7268097838836405,0.5142180108976413,0.9993650793650793
1000.0,split_1,split_50,100,0.8829370858264289,1.079536683874256,0.9995796553173603
1000.0,split_1,split_1,100,0.4894046679978337,-0.3505616650426858,0.9977426636568849
100.0,split_10,split_10,100,0.20430891508462,-0.9529159609716384,1.0
100.0,split_10,split_30,100,0.30914243432413574,-0.5503724800967413,1.0
100.0,split_10,split_50,100,0.41177274823698384,-0.2625915283706587,1.0
100.0,split_10,split_1,100,0.15237474813304727,-2.0828940724983247,1.0
100.0,split_30,split_10,100,0.43722156024236447,-0.3146636468411263,1.0
100.0,split_30,split_30,100,0.7846297930275176,0.715694788883522,1.0
100.0,split_30,split_50,100,0.3653990086598037,-0.3866153459596048,1.0
100.0,split_30,split_1,100,1.0000000000103775,0.23093270504624872,1.0
100.0,split_50,split_10,100,0.6282756872382692,0.12395087839257468,1.0
100.0,split_50,split_30,100,0.7152241595926194,0.48920134551586325,1.0
100.0,split_50,split_50,100,0.713925592242708,0.5139399017516517,1.0
100.0,split_50,split_1,100,1.00000000001452,0.178928988361678,1.0
100.0,split_1,split_10,100,0.4068294503324687,-0.3359149974532245,0.9987421383647799
100.0,split_1,split_30,100,0.7545965541430456,0.6004634167210419,0.9993690851735015
100.0,split_1,split_50,100,0.8167221246838933,0.8042675340228009,0.9995814148179154
100.0,split_1,split_1,100,0.7991010641504129,0.42589279883872005,0.9977924944812362
10.0,split_10,split_10,100,0.049256955953462675,-1.846656347509826,0.9997986712301188
10.0,split_10,split_30,100,0.37694543666028985,-0.36493806997238826,0.9998262984193156
10.0,split_10,split_50,100,0.16769363412409038,-1.004511405573373,0.9998475842097241
10.0,split_10,split_1,100,0.9999999999992722,0.39306009209261694,0.9997837837837837
10.0,split_30,split_10,100,0.7611822715580261,0.5148204556314249,1.0
10.0,split_30,split_30,100,0.01319030755934534,-2.3700996716965257,1.0
10.0,split_30,split_50,100,0.03557286477231397,-1.8763197667417912,1.0
10.0,split_30,split_1,100,1.0000000000020037,0.22728932681606454,1.0
10.0,split_50,split_10,100,0.9568928992343958,1.209684816775717,1.0
10.0,split_50,split_30,100,0.40484481406247613,-0.3139367711980129,1.0
10.0,split_50,split_50,100,0.042824518226604984,-1.8071232397119286,1.0
10.0,split_50,split_1,100,1.000000000000201,0.17533275186612554,1.0
10.0,split_1,split_10,100,0.13226781075210628,-1.2125133309677982,1.0
10.0,split_1,split_30,100,0.1843165226532432,-0.9828960569916968,1.0
10.0,split_1,split_50,100,0.540493472579356,0.02111467746363258,1.0
10.0,split_1,split_1,100,0.7759170844496608,0.3538251892079376,1.0
