test_group; k; p; z; s; t
control; control; 2; 1.0; nan; 0.999; 9.363771
1; control; 2; 0.008973171963248757; -2.4391321503652414; 0.707; 9.749744
2; control; 2; 1.138959529676932e-16; -8.215414635243189; 0.731; 8.068040
control; control; 5; 1.0; nan; 1.0; 4.179637
1; control; 5; 0.003094982587519098; -2.797923545068365; 1.0; 36.548177
2; control; 5; 1.1247187188419355e-17; -8.488599417742346; 1.0; 32.910188
control; control; 10; 1.0; nan; 1.0; 11.203665
1; control; 10; 0.00023395835100321614; -3.556680328091563; 1.0; 74.071255
2; control; 10; 3.684152243292417e-18; -8.615058881579547; 1.0; 71.239693
['1']; control; 5; 0.5596168023488809; -0.05012483141737227; 1.0; 6.511205
