test_group; k; p; z; s; t
D5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 31.224979
D5.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 33.889123
D6; control; 5; 2.6380185262164872e-298; -31.551608556474573; 0.999; 30.525088
D6.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 36.739269
D7; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 35.261190
D7.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 36.170931
D8; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 33.009028
D8.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 39.193990
D9; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 34.162925
D9.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 35.057869
D10; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 32.406391
D10.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 32.951677
D11; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 34.924478
D11.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 35.962217
D12; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 39.897559
D12.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 39.084039
D13; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 36.071180
D13.5; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 37.476275
D14; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 33.309515
D14.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 30.598049
D15; control; 5; 6.598358684976593e-296; -31.504221836112674; 1.0; 33.547166
D15.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 39.103323
D16; control; 5; 1.3176915741756612e-295; -31.488347106668325; 0.999; 35.505063
D16.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 33.783951
D17; control; 5; 1.811029162527712e-286; -31.251302908438273; 1.0; 34.132186
D17.5; control; 5; 1.0915076281039957e-290; -31.361824270443964; 0.999; 36.702430
D18; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 33.746498
control; control; 5; 1.0; nan; 1.0; 6.110919
D1.5; control; 10; 2.697971347609371e-204; -27.836897384833886; 1.0; 71.032141
D2; control; 10; 3.091020766716997e-241; -29.60732987855468; 1.0; 65.882315
D2.5; control; 10; 7.50088127029538e-230; -29.101492023205882; 1.0; 64.217093
D3; control; 10; 1.3915468178922564e-270; -30.745465053089475; 1.0; 64.811533
D3.5; control; 10; 1.811029162527712e-286; -31.251302908438273; 1.0; 66.763538
D4; control; 10; 1.3196690976571266e-301; -31.630681299949874; 1.0; 71.451210
D4.5; control; 10; 1.3196690976571266e-301; -31.630681299949874; 1.0; 61.103696
D5; control; 10; 1.3196690976571266e-301; -31.630681299949874; 1.0; 62.023017
D5.5; control; 10; 6.598358684976593e-296; -31.504221836112674; 1.0; 69.733875
D6; control; 10; 1.3196690976571266e-301; -31.630681299949874; 1.0; 60.220715
D6.5; control; 10; 1.3196690976571266e-301; -31.630681299949874; 1.0; 62.091123
D7; control; 10; 1.3196690976571266e-301; -31.630681299949874; 1.0; 62.858521
D7.5; control; 10; 6.598358684976593e-296; -31.504221836112674; 1.0; 60.559688
D8; control; 10; 6.598358684976593e-296; -31.504221836112674; 1.0; 60.549538
D8.5; control; 10; 6.598358684976593e-296; -31.504221836112674; 1.0; 62.425667
D9; control; 10; 1.3196690976571266e-301; -31.630681299949874; 1.0; 59.591907
D9.5; control; 10; 6.598358684976593e-296; -31.504221836112674; 1.0; 56.598065
D10; control; 10; 6.598358684976593e-296; -31.504221836112674; 1.0; 58.762237
D10.5; control; 10; 6.598358684976593e-296; -31.504221836112674; 1.0; 52.723516
D11; control; 10; 5.47671473335129e-291; -31.377762372275473; 1.0; 56.772387
D11.5; control; 10; 6.598358684976593e-296; -31.504221836112674; 1.0; 49.440782
D12; control; 10; 6.598358684976593e-296; -31.504221836112674; 1.0; 48.002654
D12.5; control; 10; 6.598358684976593e-296; -31.504221836112674; 1.0; 52.960541
D13; control; 10; 6.598358684976593e-296; -31.504221836112674; 1.0; 53.155605
D13.5; control; 10; 5.47671473335129e-291; -31.377762372275473; 1.0; 50.815180
D14; control; 10; 6.598358684976593e-296; -31.504221836112674; 1.0; 52.339061
D14.5; control; 10; 1.3196690976571266e-301; -31.630681299949874; 1.0; 43.930360
D15; control; 10; 6.598358684976593e-296; -31.504221836112674; 1.0; 52.337564
D15.5; control; 10; 1.3196690976571266e-301; -31.630681299949874; 1.0; 60.839573
D16; control; 10; 6.598358684976593e-296; -31.504221836112674; 1.0; 55.360787
D16.5; control; 10; 1.3196690976571266e-301; -31.630681299949874; 1.0; 52.875873
D17; control; 10; 5.47671473335129e-291; -31.377762372275473; 1.0; 50.409857
D17.5; control; 10; 5.47671473335129e-291; -31.377762372275473; 1.0; 55.145283
D18; control; 10; 1.3196690976571266e-301; -31.630681299949874; 1.0; 53.629310
control; control; 10; 1.0; nan; 1.0; 12.800362
