test_group; k; p; z; s; t
D1.5; control; 2; 3.7542119555223115e-133; -22.708579373508567; 0.729; 17.966395
D2; control; 2; 8.59408613274224e-170; -24.879233244807043; 0.715; 9.673818
D2.5; control; 2; 3.6564518193103867e-178; -25.404197030043438; 0.734; 11.426236
D3; control; 2; 3.6853040561048067e-206; -26.659542106787413; 0.738; 11.453424
D3.5; control; 2; 3.523572078816163e-212; -26.71181851110657; 0.721; 9.661199
D4; control; 2; 1.91208555236347e-220; -27.138627592148197; 0.74; 13.306669
D4.5; control; 2; 1.8603323968672958e-217; -26.953763801435418; 0.73; 9.973577
D5; control; 2; 6.104721774003689e-220; -27.009277855026955; 0.729; 10.018037
D5.5; control; 2; 1.4051374934647015e-220; -27.046268384529327; 0.731; 7.867880
D6; control; 2; 5.890424581284642e-230; -27.613403527893492; 0.762; 11.681467
D6.5; control; 2; 3.314896889754618e-218; -26.897958789762146; 0.723; 10.676918
D7; control; 2; 3.131485171136758e-221; -27.083205179583747; 0.733; 10.292947
D7.5; control; 2; 9.805767440131405e-223; -27.17535673745533; 0.738; 11.442388
D8; control; 2; 1.5482147549422754e-214; -26.93592649431001; 0.737; 10.336473
D8.5; control; 2; 1.6084986390542727e-216; -26.898047432235593; 0.727; 10.536569
D9; control; 2; 1.289803087711029e-217; -26.860752665521158; 0.721; 9.939744
D9.5; control; 2; 2.2575834989038572e-228; -27.522736254708185; 0.757; 8.697899
D10; control; 2; 5.519740584995711e-223; -27.3773741233255; 0.757; 9.934381
D10.5; control; 2; 3.511737413945077e-221; -27.083216760010757; 0.733; 8.779632
D11; control; 2; 2.2383394401892048e-219; -27.157330372310373; 0.745; 9.757355
D11.5; control; 2; 2.2805637778419964e-219; -27.083259390413705; 0.737; 9.118551
D12; control; 2; 4.3510285557942804e-226; -27.395313701679036; 0.75; 9.491082
D12.5; control; 2; 4.197166704996707e-228; -27.61345853586849; 0.766; 10.797318
D13; control; 2; 5.7587183212644695e-232; -27.739885075381967; 0.769; 10.416932
D13.5; control; 2; 2.4033984040035114e-223; -27.32222109600374; 0.75; 9.551126
D14; control; 2; 1.211761377990439e-219; -27.175712163501398; 0.746; 9.235743
D14.5; control; 2; 1.209233811563428e-227; -27.486406949322163; 0.755; 9.046372
D15; control; 2; 1.5024553413524834e-226; -27.59563529807044; 0.769; 9.215206
D15.5; control; 2; 3.520965261494078e-224; -27.377051128437284; 0.753; 9.592282
D16; control; 2; 6.8951661078720495e-230; -27.6134185429062; 0.762; 9.308045
D16.5; control; 2; 4.491744768951331e-223; -27.212190292155753; 0.74; 9.723915
D17; control; 2; 5.284081877194862e-225; -27.322184112661013; 0.746; 9.276970
D17.5; control; 2; 2.580794907786317e-218; -27.232037923547978; 0.757; 9.334665
D18; control; 2; 1.5181268979571803e-226; -27.41352373355863; 0.751; 9.437220
control; control; 2; 1.0; nan; 1.0; 1.705648
D1.5; control; 5; 1.639679396453247e-190; -27.078140601810688; 1.0; 36.607768
D2; control; 5; 2.5817963591192528e-238; -29.48087041471748; 1.0; 33.037998
D2.5; control; 5; 1.2641879327442107e-232; -29.227951487043082; 1.0; 33.606766
D3; control; 5; 1.3915468178922564e-270; -30.745465053089475; 1.0; 34.793455
D3.5; control; 5; 1.811029162527712e-286; -31.251302908438273; 1.0; 29.909376
D4; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 32.843875
D4.5; control; 5; 1.3196690976571266e-301; -31.630681299949874; 1.0; 30.171401
