k; n_obs; n_var; t[s] PCA; t[s] NX; t[s] GT
2; 100; 10; 5.979944; 0.018414; 0.004303
2; 100; 100; 0.210606; 0.012404; 0.023689
2; 100; 1000; 0.114820; 0.013319; 0.015707
2; 100; 2000; 0.124256; 0.020785; 0.003961
2; 100; 5000; 3.664192; 0.016018; 0.003481
2; 1000; 10; 0.058867; 1.555260; 1.180151
2; 1000; 100; 0.190799; 1.313901; 0.945259
2; 1000; 1000; 12.869792; 1.439476; 0.938236
2; 1000; 2000; 14.252022; 1.284916; 1.030105
2; 1000; 5000; 13.638327; 1.247463; 1.070568
