,Subsampling factor test group,k,Matching coverage in subsampled test group,Matching coverage in control group,P,z,s,Ratio #samples test group: #samples control group
0,0.01,10,1.0,1.0,1.511720794304616e-16,-32.73282769148767,1.0,"19
:3735"
1,0.1,10,1.0,1.0,2.7175570272542964e-137,-40.836079669116494,1.0,"195
:3735"
2,0.2,10,1.0,1.0,4.625507520280975e-233,-42.514141377463744,1.0,"391
:3735"
3,0.3,10,0.9948805460750854,1.0,2.718116346460457e-304,-43.45312113162703,0.9993057162693821,"586
:3735"
4,0.4,10,0.9987212276214834,1.0,0.0,-45.69989274163348,0.9997786141244188,"782
:3735"
5,0.5,10,0.9928425357873211,1.0,0.0,-46.19455797166488,0.9985147464460005,"978
:3735"
6,0.6,10,0.9982949701619779,1.0,0.0,-47.70697865804418,0.9995925020374898,"1173
:3735"
7,0.7,10,0.9985390796201608,1.0,0.0,-48.44850990574207,0.9996081504702194,"1369
:3735"
8,0.8,10,0.9980818414322251,1.0,0.0,-49.831556672924116,0.9994338554444234,"1564
:3735"
9,0.9,10,0.9982954545454545,1.0,0.0,-50.78733417688255,0.9994540491355778,"1760
:3735"
10,1.0,10,0.9969325153374233,1.0,0.0,-51.61057967304718,0.998769987699877,"1956
:3735"
11,0.01,100,1.0,1.0,1.8804551835648958e-13,-28.02607281309099,1.0,"19
:3735"
12,0.1,100,1.0,1.0,2.0165633977818266e-127,-39.39794981638527,1.0,"195
:3735"
13,0.2,100,1.0,1.0,4.625507520280975e-233,-42.514141377463744,1.0,"391
:3735"
14,0.3,100,0.9982935153583617,1.0,0.0,-44.57518207894574,0.9997685720897941,"586
:3735"
15,0.4,100,0.9987212276214834,1.0,0.0,-45.69989274163348,0.9997786141244188,"782
:3735"
16,0.5,100,0.9989775051124744,1.0,0.0,-46.73670193301074,0.9997878209208572,"978
:3735"
17,0.6,100,1.0,1.0,0.0,-47.94104425552999,1.0,"1173
:3735"
18,0.7,100,1.0,1.0,0.0,-48.76275852240418,1.0,"1369
:3735"
19,0.8,100,0.9993606138107417,1.0,0.0,-50.4029279118513,0.9998112851481411,"1564
:3735"
20,0.9,100,0.9994318181818181,1.0,0.0,-50.7978242422094,0.999818016378526,"1760
:3735"
21,1.0,100,1.0,1.0,0.0,-52.22309457419633,0.9998242839571253,"1956
:3735"
22,0.01,1000,1.0,1.0,1.511720794304616e-16,-32.73282769148767,1.0,"19
:3735"
23,0.1,1000,1.0,1.0,2.7175570272542964e-137,-40.836079669116494,1.0,"195
:3735"
24,0.2,1000,1.0,1.0,1.2725257298007643e-243,-43.284714276301706,1.0,"391
:3735"
25,0.3,1000,0.9982935153583617,1.0,3.54980837e-315,-44.02362093399932,0.9997685720897941,"586
:3735"
26,0.4,1000,0.9987212276214834,1.0,0.0,-45.847056252794374,0.9997786141244188,"782
:3735"
27,0.5,1000,0.9989775051124744,1.0,0.0,-46.48596529844708,0.9997878209208572,"978
:3735"
28,0.6,1000,1.0,1.0,0.0,-47.60805781840708,1.0,"1173
:3735"
29,0.7,1000,1.0,1.0,0.0,-48.8636120272363,1.0,"1369
:3735"
30,0.8,1000,0.9993606138107417,1.0,0.0,-49.842426462791366,0.9998112851481411,"1564
:3735"
31,0.9,1000,0.9994318181818181,1.0,0.0,-50.88547900195726,0.999818016378526,"1760
:3735"
32,1.0,1000,0.9994887525562373,1.0,0.0,-52.056847343009714,0.9998242839571253,"1956
:3735"
