,Subsampling factor test group,k,Matching coverage in subsampled test group,Matching coverage in control group,P,z,s,Ratio #samples test group: #samples control group
0,0.01,10,0.9736842105263158,1.0,3.741010818198764e-43,-42.81444443825203,0.9997349589186324,"38
:3735"
1,0.1,10,0.9973684210526316,1.0,3.885055656384149e-272,-45.27170898639402,0.9997569866342649,"380
:3735"
2,0.2,10,0.9986842105263158,1.0,0.0,-47.19881401359755,0.9997775305895439,"760
:3735"
3,0.3,10,0.9991228070175439,1.0,0.0,-49.096264147808455,0.9997948717948718,"1140
:3735"
4,0.4,10,0.9993421052631579,1.0,0.0,-51.026049686712376,0.9998097050428164,"1520
:3735"
5,0.5,10,0.9989473684210526,1.0,0.0,-52.94641699795174,0.9994676131322094,"1900
:3735"
6,0.6,10,0.999561403508772,1.0,0.0,-54.648110682315156,0.999833748960931,"2280
:3735"
7,0.7,10,0.999624060150376,1.0,0.0,-56.36495531180904,0.9998436278342455,"2660
:3735"
8,0.8,10,0.9993421052631579,1.0,0.0,-58.02014108265012,0.9995571955719558,"3040
:3735"
9,0.9,10,0.9994152046783625,1.0,0.0,-59.70335238412438,0.99958071278826,"3420
:3735"
10,1.0,10,0.9992105263157894,1.0,0.0,-61.33922828480346,0.9996018579960185,"3800
:3735"
11,0.01,100,0.9736842105263158,1.0,3.741010818198764e-43,-42.81444443825203,0.9997349589186324,"38
:3735"
12,0.1,100,0.9973684210526316,1.0,3.885055656384149e-272,-45.27170898639402,0.9997569866342649,"380
:3735"
13,0.2,100,0.9986842105263158,1.0,0.0,-47.34914032227215,0.9997775305895439,"760
:3735"
14,0.3,100,0.9991228070175439,1.0,0.0,-49.32251228738221,0.9997948717948718,"1140
:3735"
15,0.4,100,0.9993421052631579,1.0,0.0,-51.120978089816326,0.9998097050428164,"1520
:3735"
16,0.5,100,0.9994736842105263,1.0,0.0,-53.04021077691805,0.9998225377107365,"1900
:3735"
17,0.6,100,0.999561403508772,1.0,0.0,-54.80307370496677,0.999833748960931,"2280
:3735"
18,0.7,100,0.999624060150376,1.0,0.0,-56.51055652372427,0.9998436278342455,"2660
:3735"
19,0.8,100,0.999671052631579,1.0,0.0,-58.09822801571592,0.9998523985239852,"3040
:3735"
20,0.9,100,0.9997076023391813,1.0,0.0,-59.711728684816926,0.9998602375960867,"3420
:3735"
21,1.0,100,0.9997368421052631,1.0,0.0,-61.28220651141702,0.9998672859986728,"3800
:3735"
22,0.01,1000,0.9736842105263158,1.0,3.741010818198764e-43,-42.81444443825203,0.9997349589186324,"38
:3735"
23,0.1,1000,0.9973684210526316,1.0,3.885055656384149e-272,-45.27170898639402,0.9997569866342649,"380
:3735"
24,0.2,1000,0.9986842105263158,1.0,0.0,-47.34914032227215,0.9997775305895439,"760
:3735"
25,0.3,1000,0.9991228070175439,1.0,0.0,-49.32251228738221,0.9997948717948718,"1140
:3735"
26,0.4,1000,0.9993421052631579,1.0,0.0,-51.21590649292027,0.9998097050428164,"1520
:3735"
27,0.5,1000,0.9994736842105263,1.0,0.0,-53.04021077691805,0.9998225377107365,"1900
:3735"
28,0.6,1000,0.999561403508772,1.0,0.0,-54.72559219364096,0.999833748960931,"2280
:3735"
29,0.7,1000,0.999624060150376,1.0,0.0,-56.51055652372427,0.9998436278342455,"2660
:3735"
30,0.8,1000,0.999671052631579,1.0,0.0,-58.16768737703647,0.9998523985239852,"3040
:3735"
31,0.9,1000,0.9997076023391813,1.0,0.0,-59.778735437652514,0.9998602375960867,"3420
:3735"
32,1.0,1000,0.9997368421052631,1.0,0.0,-61.34737905965815,0.9998672859986728,"3800
:3735"
