,Ctrl,MCSF,TGFbeta,LPS,IFN10,YM201636,Old,OldMCSF,Explant 1,Explant 2
Ctrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCSF,0.10390999386618013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGFbeta,0.0024518353893645058,0.1567590314651729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPS,0.000266029846625189,5.138756598217396e-07,5.0798457244966445e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFN10,0.1881795737462585,0.1661927307278392,0.006150593177378611,6.156932690716919e-07,0.0,0.0,0.0,0.0,0.0,0.0
YM201636,0.022242393886214913,0.03142372167755347,0.008348932891873493,6.295296506770949e-07,0.0029130718909998127,0.0,0.0,0.0,0.0,0.0
Old,0.004241925195371766,0.007559481693706857,0.13454172144543375,2.8036675184217467e-07,7.2862310689438e-05,0.18063808391157973,0.0,0.0,0.0,0.0
OldMCSF,0.7412051233168427,0.024693042729273394,0.0015039780866726864,0.02613423755909621,0.4708547464934033,0.0038849398737605435,0.11608378040047072,0.0,0.0,0.0
Explant 1,0.002629008056856067,0.033016516066357644,0.5321392531021628,1.390004461254351e-09,0.08488538033410964,0.062304011698245794,0.11962610038033324,0.0007126284509034348,0.0,0.0
Explant 2,3.4819926266594677e-06,5.63037331679196e-16,1.3071820265368276e-09,0.10381754217953648,6.630210828475931e-07,1.8849555123334163e-09,1.6354657865704038e-08,0.0014618708178527299,2.4726617539054453e-09,0.0
