,Ctrl,MCSF,TGFbeta,LPS,IFN10,YM201636,Old,OldMCSF,Explant 1,Explant 2
Ctrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCSF,0.003508960955395627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGFbeta,0.001403036473767136,0.1567590314651729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPS,1.0823591143544254e-06,2.518723470380677e-06,1.1178248908774493e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFN10,0.07717609126280114,0.1661927307278392,0.006150593177378611,2.338442225790609e-05,0.0,0.0,0.0,0.0,0.0,0.0
YM201636,1.317136441044256e-05,0.00548489978699883,0.0009880026350826928,6.295296506770949e-07,1.0255679332892707e-05,0.0,0.0,0.0,0.0,0.0
Old,0.0002180714850019422,0.007559481693706857,0.008263115691602436,2.8036675184217467e-07,8.417857240382298e-09,5.217614379210085e-05,0.0,0.0,0.0,0.0
OldMCSF,0.05631154779600315,2.0843581102289139e-07,0.0015039780866726864,2.338442225790609e-05,0.0007817148201952262,0.00033762173668387577,2.503156131203015e-05,0.0,0.0,0.0
Explant 1,7.488334883862041e-06,0.008107139437518803,0.0003911971842877774,1.6798229944304924e-07,3.859568140756118e-06,0.035065198003417015,4.7438577203203245e-05,3.859568140756118e-06,0.0,0.0
Explant 2,3.0493194543497903e-07,1.6051502876819186e-14,1.5019720106403047e-11,0.02809672236419881,2.549787563959551e-10,2.3031157743499155e-07,7.826037727877191e-12,1.3553039012810249e-05,1.0228767554783209e-07,0.0
