test_group,group_by,k,p,z,s,N
1000.0,split_10,100,0.8898684678190103,1.1765959921568623,0.8569521119527539,38945
1000.0,split_30,100,0.11736809455882688,-1.2071827755671587,0.8569521119527539,38945
1000.0,split_50,100,0.28576270730027603,-0.581273896285882,0.8569521119527539,38945
1000.0,split_1,100,0.4088281727266734,-0.513538430420571,0.8569521119527539,38945
10.0,split_10,100,0.4612953617231212,-0.1297217853502583,0.8423097628911828,42723
10.0,split_30,100,0.055327796692841484,-1.614502239103203,0.8423097628911828,42723
10.0,split_50,100,0.01665076751436748,-2.143244826049386,0.8423097628911828,42723
10.0,split_1,100,0.3264960871595734,-0.7042507495647646,0.8423097628911828,42723
100.0,split_10,100,0.6169220673075728,0.262319168906474,0.8263831038369187,40814
100.0,split_30,100,0.14792297039125932,-1.0636386738893655,0.8263831038369187,40814
100.0,split_50,100,0.34624221306453606,-0.41087723910353763,0.8263831038369187,40814
100.0,split_1,100,0.7409417940511613,0.2953495908334719,0.8263831038369187,40814
10000.0,split_10,100,0.2887233405158075,-0.5938635002795751,0.8981791778373548,35808
10000.0,split_30,100,0.7833178260919778,0.7652042845207141,0.8981791778373548,35808
10000.0,split_50,100,0.8218512596055381,0.9066434532340757,0.8981791778373548,35808
10000.0,split_1,100,0.8747809184590933,0.7439316470502432,0.8981791778373548,35808
