test_group,group_by,k,p,z,s,N
D1.5,split_10,100,0.4104311144117331,-0.371889483,1,1956
D1.5,split_20,100,0.2383205415636841,-0.806220268,1,1956
D1.5,split_30,100,0.8329063393266752,0.8868767190102044,1,1956
D1.5,split_40,100,0.5827449257481305,0.1424216368262419,1,1956
D1.5,split_50,100,0.5228991257298241,-0.006542807,1,1956
D1.5,split_1,100,0.9999999999990805,0.2496042496424641,1,1956
D2,split_10,100,0.6761230695238272,0.3899213953391907,0.9997931747673217,9670
D2,split_20,100,0.7706478232506144,0.698358891,0.9997931747673217,9670
D2,split_30,100,0.4877230611780859,-0.06344147,0.9997931747673217,9670
D2,split_40,100,0.043516182,-1.742210263,0.9997931747673217,9670
D2,split_50,100,0.3587725682102739,-0.390479685,0.9997931747673217,9670
D2,split_1,100,0.9999999999988085,0.6496060026533088,0.9997931747673217,9670
D2.5,split_10,100,0.28343426674025307,-0.650029401,0.9994216310005783,6916
D2.5,split_20,100,0.5658897921401134,0.11952551872594795,0.9994216310005783,6916
D2.5,split_30,100,0.06591765,-1.548556994,0.9994216310005783,6916
D2.5,split_40,100,0.2968184189711313,-0.568297947,0.9994216310005783,6916
D2.5,split_50,100,0.971182588,1.8639790946273116,0.9994216310005783,6916
D2.5,split_1,100,0.3702962824848603,-0.811885991,0.9994216310005783,6916
D3,split_20,100,0.8621820048531474,1.0333413931487607,0.9998533939305088,6821
D3,split_10,100,0.5405945372617712,0.024322804772089132,0.9998533939305088,6821
D3,split_30,100,0.6644140850510695,0.3850122968745371,0.9998533939305088,6821
D3,split_40,100,0.6442305663130609,0.33446116817151655,0.9998533939305088,6821
D3,split_50,100,0.089471419,-1.378040807,0.9998533939305088,6821
D3,split_1,100,0.2720850338551954,-1.233794426,0.9998533939305088,6821
D3.5,split_10,100,0.474048995,-0.133968076,0.9997520456236053,8066
D3.5,split_20,100,0.7896247628355225,0.7576194808301817,0.9997520456236053,8066
D3.5,split_30,100,0.5810282186907687,0.16867062227136068,0.9997520456236053,8066
D3.5,split_40,100,0.7194573574173888,0.5486466591228201,0.9997520456236053,8066
D3.5,split_50,100,0.9631471250028398,1.7566368619734665,0.9997520456236053,8066
D3.5,split_1,100,0.3743430692249955,-0.795376949,0.9997520456236053,8066
D4,split_10,100,0.5823240154742185,0.14294135576289144,0.999776836,8962
D4,split_20,100,0.8196700754488612,0.8683257751719771,0.999776836,8962
D4,split_30,100,0.6003796267171041,0.22032000219884298,0.999776836,8962
D4,split_40,100,0.2875423643870917,-0.591428931,0.999776836,8962
D4,split_50,100,0.9099290132665285,1.3102678435091888,0.999776836,8962
D4,split_1,100,0.44093422130407367,-0.566919364,0.999776836,8962
D4.5,split_10,100,0.349168781,-0.466255858,0.9998596885084888,7127
D4.5,split_20,100,0.3239806901093768,-0.504476112,0.9998596885084888,7127
D4.5,split_30,100,0.42203436827725394,-0.234384171,0.9998596885084888,7127
D4.5,split_40,100,0.41313792890038376,-0.253790208,0.9998596885084888,7127
D4.5,split_50,100,0.12960589127145627,-1.161595842,0.9998596885084888,7127
D4.5,split_1,100,0.21501985602350354,-1.563220914,0.9998596885084888,7127
D5,split_10,100,0.051312111,-1.759175786,0.9998616299986163,7227
D5,split_20,100,0.010254583084285417,-2.394419367,0.9998616299986163,7227
D5,split_30,100,0.4432761958259732,-0.18024969,0.9998616299986163,7227
D5,split_40,100,0.849233746,0.9983127318328165,0.9998616299986163,7227
D5,split_50,100,0.682907021,0.44251434402858325,0.9998616299986163,7227
D5,split_1,100,0.9999999999996854,0.5667275322600414,0.9998616299986163,7227
D5.5,split_10,100,0.5970150057714759,0.16625273208394611,1,6550
D5.5,split_20,100,0.45476672312456706,-0.161794104,1,6550
D5.5,split_30,100,0.7328837967753862,0.581627127,1,6550
D5.5,split_40,100,0.9347749416691814,1.4750772434083088,1,6550
D5.5,split_50,100,0.8553000187220983,1.0243269788940994,1,6550
D5.5,split_1,100,1.000000000001537,0.65833422,1,6550
D6,split_10,100,0.4939673233745333,-0.084698445,1,8422
D6,split_20,100,0.39841980710528213,-0.300144351,1,8422
D6,split_30,100,0.9436564183860117,1.546341767392567,1,8422
D6,split_40,100,0.9995679550428999,3.293741989347623,1,8422
D6,split_50,100,0.9137033270957496,1.332914426338046,1,8422
D6,split_1,100,0.26368200464517777,-1.27484498,1,8422
D6.5,split_10,100,0.20411254347965377,-0.964041422,0.9996785599485696,3111
D6.5,split_20,100,0.3850631476840356,-0.363168435,0.9996785599485696,3111
D6.5,split_30,100,0.16148002032100103,-1.047616371,0.9996785599485696,3111
D6.5,split_40,100,0.48354450511129304,-0.09303529,0.9996785599485696,3111
D6.5,split_50,100,0.5351653466218532,0.037505735768410466,0.9996785599485696,3111
D6.5,split_1,100,0.1759042291293583,-1.868542264,0.9996785599485696,3111
D7,split_10,100,0.7579827910850869,0.6123258246240688,0.9998463193483941,6507
D7,split_20,100,0.25867115931945983,-0.697427479,0.9998463193483941,6507
D7,split_30,100,0.2680079404142832,-0.65894057,0.9998463193483941,6507
D7,split_40,100,0.28264675406495854,-0.611063822,0.9998463193483941,6507
D7,split_50,100,0.636625749,0.3143338898867938,0.9998463193483941,6507
D7,split_1,100,1.0000000000038183,0.4728419433405036,0.9998463193483941,6507
D7.5,split_10,100,0.6499424352118933,0.29623564325425766,0.9998024105907923,5061
D7.5,split_20,100,0.4113509669888918,-0.278687202,0.9998024105907923,5061
D7.5,split_30,100,0.9165124969987373,1.332078118124517,0.9998024105907923,5061
D7.5,split_40,100,0.9392074939103424,1.5053692294423089,0.9998024105907923,5061
D7.5,split_50,100,0.5928317692872371,0.19503480670879259,0.9998024105907923,5061
D7.5,split_1,100,1.0000000000014027,0.45632644173014786,0.9998024105907923,5061
D8,split_10,100,0.11189809327843611,-1.301463442,1,11088
D8,split_20,100,0.11944762091348464,-1.222642598,1,11088
D8,split_30,100,0.3564779204939427,-0.398709822,1,11088
D8,split_40,100,0.18156227504201897,-0.937331696,1,11088
D8,split_50,100,0.5719551206602154,0.15448067259153508,1,11088
D8,split_1,100,0.9999999999880271,0.6605015224077989,1,11088
D8.5,split_10,100,0.8389047584804615,0.8555819580804984,0.9997201231458158,3573
D8.5,split_20,100,0.9422081334337918,1.4856043622477577,0.9997201231458158,3573
D8.5,split_30,100,0.7792102388091562,0.7138486561343246,0.9997201231458158,3573
D8.5,split_40,100,0.913667206,1.313364693014362,0.9997201231458158,3573
D8.5,split_50,100,0.8250651249244086,0.8872675350156926,0.9997201231458158,3573
D8.5,split_1,100,1.0000000000028926,0.3277832380255047,0.9997201231458158,3573
D9,split_10,100,0.2524432275632811,-0.794571652,0.9996752192270217,3079
D9,split_20,100,0.6375067798789031,0.28157768336933225,0.9996752192270217,3079
D9,split_30,100,0.9953112444436717,2.5161044696466357,0.9996752192270217,3079
D9,split_40,100,0.972528967,1.862925437104113,0.9996752192270217,3079
D9,split_50,100,0.836875092,0.9304055426571654,0.9996752192270217,3079
D9,split_1,100,0.9999999999997876,0.4185270658825607,0.9996752192270217,3079
D9.5,split_10,100,0.12948909854002796,-1.308367966,0.99956465,2297
D9.5,split_20,100,0.415925059,-0.293638089,0.99956465,2297
D9.5,split_30,100,0.1658624764656474,-1.039470735,0.99956465,2297
D9.5,split_40,100,0.3177606927956721,-0.534435036,0.99956465,2297
D9.5,split_50,100,0.7399357138751395,0.5838677076775314,0.99956465,2297
D9.5,split_1,100,0.9999999999999034,0.3050884342441694,0.99956465,2297
D10,split_10,100,0.9529472591571349,1.436147037508609,0.9995866060355518,2419
D10,split_20,100,0.356729913,-0.445721977,0.9995866060355518,2419
D10,split_30,100,0.691615044,0.43597652452542773,0.9995866060355518,2419
D10,split_40,100,0.7403024421351387,0.5849060783687525,0.9995866060355518,2419
D10,split_50,100,0.5290021673391844,0.015227934981860649,0.9995866060355518,2419
D10,split_1,100,0.9999999999999756,0.26792726410017687,0.9995866060355518,2419
D10.5,split_10,100,0.6100570726575026,0.14983041131404623,1,1986
D10.5,split_20,100,0.4715191993438371,-0.155608504,1,1986
D10.5,split_30,100,0.6591238456295394,0.3384143300659087,1,1986
D10.5,split_40,100,0.3902870207442514,-0.343808905,1,1986
D10.5,split_50,100,0.5357468468566041,0.026220572,1,1986
D10.5,split_1,100,0.9999999999988747,0.21546924297477824,1,1986
D11,split_10,100,0.47421266412686847,-0.187657146,1,2612
D11,split_20,100,0.9504197454113351,1.545355736197506,1,2612
D11,split_30,100,0.4619920440098277,-0.15733105,1,2612
D11,split_40,100,0.2839029843630568,-0.628090428,1,2612
D11,split_50,100,0.6055382692148634,0.2122853415623153,1,2612
D11,split_1,100,0.18510518749266075,-1.795734889,1,2612
D11.5,split_10,100,0.9720431542535933,1.6317945669811558,1,2242
D11.5,split_20,100,0.720251371,0.4997587997681297,1,2242
D11.5,split_30,100,0.086305883,-1.436150791,1,2242
D11.5,split_40,100,0.08685844,-1.422316758,1,2242
D11.5,split_50,100,0.3447662042298909,-0.459062951,1,2242
D11.5,split_1,100,0.9999999999995919,0.2784090467523924,1,2242
D12,split_10,100,0.8939403697424471,1.0479242205429757,0.9995883079456567,2429
D12,split_20,100,0.487076634,-0.112303803,0.9995883079456567,2429
D12,split_30,100,0.4595368936234016,-0.167363919,0.9995883079456567,2429
D12,split_40,100,0.42793332089310765,-0.24100951,0.9995883079456567,2429
D12,split_50,100,0.41680967659255813,-0.267417011,0.9995883079456567,2429
D12,split_1,100,1.0000000000012377,0.23824193029198287,0.9995883079456567,2429
D12.5,split_10,100,0.8663530086556608,0.9069426704058775,0.9995561473590768,2253
D12.5,split_20,100,0.6865365446008396,0.39429865247074064,0.9995561473590768,2253
D12.5,split_30,100,0.26001224171925263,-0.714395052,0.9995561473590768,2253
D12.5,split_40,100,0.4445790506900369,-0.201575922,0.9995561473590768,2253
D12.5,split_50,100,0.5697180618537673,0.11598829031560111,0.9995561473590768,2253
D12.5,split_1,100,0.1777668365859346,-1.858744245,0.9995561473590768,2253
D13,split_10,100,0.46406998708437946,-0.220615866,1,2146
D13,split_20,100,0.3398843329177516,-0.500064177,1,2146
D13,split_30,100,0.7567378952394458,0.6243210878786687,1,2146
D13,split_40,100,0.7671022842510786,0.665664623,1,2146
D13,split_50,100,0.9904077080011343,2.2789522296340845,1,2146
D13,split_1,100,0.9999999999997673,0.2691455750966043,1,2146
D13.5,split_10,100,0.9124128297506816,1.1470429040039487,0.9995785924989464,2373
D13.5,split_20,100,0.46523510533126966,-0.16727917,0.9995785924989464,2373
D13.5,split_30,100,0.7705815407365106,0.6729148147193408,0.9995785924989464,2373
D13.5,split_40,100,0.5012576209053847,-0.056636783,0.9995785924989464,2373
D13.5,split_50,100,0.5451941230087638,0.055412364637695236,0.9995785924989464,2373
D13.5,split_1,100,1.0000000000002771,0.3741009262074295,0.9995785924989464,2373
D14,split_10,100,0.2862219527554971,-0.67014808,1,3758
D14,split_20,100,0.13657943677182052,-1.16620865,1,3758
D14,split_30,100,0.23022928917497132,-0.791451757,1,3758
D14,split_40,100,0.0547422,-1.648984899,1,3758
D14,split_50,100,0.10058504991585168,-1.3239848,1,3758
D14,split_1,100,0.9999999999996155,0.554809832,1,3758
D14.5,split_10,100,0.17604686524482155,-1.071780543,0.9996327579875137,2723
D14.5,split_20,100,0.7969361338845039,0.7504411780267064,0.9996327579875137,2723
D14.5,split_30,100,0.8423713372756445,0.9395912443022073,0.9996327579875137,2723
D14.5,split_40,100,0.8709831627556105,1.074161492217856,0.9996327579875137,2723
D14.5,split_50,100,0.8257163327708045,0.8828289981502041,0.9996327579875137,2723
D14.5,split_1,100,1,0.3211424371669416,0.9996327579875137,2723
D15,split_10,100,0.515201468,-0.058322608,0.999745093,3923
D15,split_20,100,0.7733445090557788,0.6844064854627959,0.999745093,3923
D15,split_30,100,0.4650890681949246,-0.138056609,0.999745093,3923
D15,split_40,100,0.6366636050608184,0.3032036323023936,0.999745093,3923
D15,split_50,100,0.093216723,-1.366012722,0.999745093,3923
D15,split_1,100,0.19043836037461154,-1.747007573,0.999745093,3923
D15.5,split_10,100,0.8429874555597191,0.8983954134820413,0.9997938569367141,4851
D15.5,split_20,100,0.683176376,0.41958361671879457,0.9997938569367141,4851
D15.5,split_30,100,0.35450275214637944,-0.418531268,0.9997938569367141,4851
D15.5,split_40,100,0.4973405608502961,-0.048141161,0.9997938569367141,4851
D15.5,split_50,100,0.7254618894137747,0.5584119901331628,0.9997938569367141,4851
D15.5,split_1,100,1.0000000000051719,0.6427906791779253,0.9997938569367141,4851
D16,split_10,100,0.10575468481828108,-1.38840704,1,3442
D16,split_20,100,0.26664422628427925,-0.691524369,1,3442
D16,split_30,100,0.10489958099263402,-1.311015279,1,3442
D16,split_40,100,0.5019222846528086,-0.044420964,1,3442
D16,split_50,100,0.3185586015861567,-0.519858031,1,3442
D16,split_1,100,1.0000000000001403,0.5061772509471976,1,3442
D16.5,split_10,100,0.19677440119780887,-0.961630603,1,4660
D16.5,split_20,100,0.3379987062863555,-0.476163067,1,4660
D16.5,split_30,100,0.3797632189207727,-0.352598463,1,4660
D16.5,split_40,100,0.561407551,0.11199064693293816,1,4660
D16.5,split_50,100,0.1895662756317625,-0.920744101,1,4660
D16.5,split_1,100,0.9999999999980562,0.3915144779750839,1,4660
D17,split_10,100,0.4249317385646879,-0.285569701,1,3678
D17,split_20,100,0.7760874757417546,0.6900958633570592,1,3678
D17,split_30,100,0.595759444,0.1899566760398892,1,3678
D17,split_40,100,0.9059765333752454,1.2669084763271443,1,3678
D17,split_50,100,0.2763607722227037,-0.640175404,1,3678
D17,split_1,100,0.2767650961960106,-1.218460849,1,3678
D17.5,split_10,100,0.24441112419213656,-0.804442133,0.9997542393708528,4069
D17.5,split_20,100,0.070577743,-1.547743507,0.9997542393708528,4069
D17.5,split_30,100,0.4076484715316059,-0.282980893,0.9997542393708528,4069
D17.5,split_40,100,0.055227825,-1.642909775,0.9997542393708528,4069
D17.5,split_50,100,0.34415385,-0.44541498,0.9997542393708528,4069
D17.5,split_1,100,0.16797815131277571,-1.933748773,0.9997542393708528,4069
D18,split_10,100,0.5054239586898946,-0.085166034,1,3800
