test_group,group_by,k,p,z,s,N
10000.0,split_10,100,0.4935278810426956,-0.048063563443942955,0.9873493159962075,36915
10000.0,split_30,100,0.2602332994396468,-0.6595859946151396,0.9873493159962075,36915
10000.0,split_50,100,0.3511719289879857,-0.39696498181686124,0.9873493159962075,36915
10000.0,split_1,100,0.9999999999983851,1.4279276107670804,0.9873493159962075,36915
1000.0,split_10,100,0.13498230606714318,-1.1441589079283485,0.9684792281391972,42702
1000.0,split_30,100,0.08379735295285856,-1.3973383458528892,0.9684792281391972,42702
1000.0,split_50,100,0.2215847608510151,-0.7807430392477759,0.9684792281391972,42702
1000.0,split_1,100,0.5689258344117372,-0.0726756577428156,0.9684792281391972,42702
100.0,split_10,100,0.07362427944014058,-1.4973605430647892,0.9749049777899894,43674
100.0,split_30,100,0.28486758680903396,-0.5841008475437419,0.9749049777899894,43674
100.0,split_50,100,0.26788777235451705,-0.6329084632522827,0.9749049777899894,43674
100.0,split_1,100,0.5666826634626878,-0.07845931708555533,0.9749049777899894,43674
10.0,split_10,100,0.8035940103349754,0.8189182453640262,0.952298012235745,45931
10.0,split_30,100,0.6139168364827297,0.2741643586859164,0.952298012235745,45931
10.0,split_50,100,0.6809610857372187,0.456854764528872,0.952298012235745,45931
10.0,split_1,100,0.9999999999888364,1.5251691877059803,0.952298012235745,45931
