test_group,group_by,k,p,z,s,N
10000.0,split_10,100,0.6118818666875603,0.2607799552591466,0.9660602274797637,76842
10000.0,split_30,100,0.7237849894896522,0.5821906009178371,0.9660602274797637,76842
10000.0,split_50,100,0.9549370891476275,1.6843233870845058,0.9660602274797637,76842
10000.0,split_1,100,0.05540746496148076,-1.9790659101975911,0.9660602274797637,76842
10.0,split_10,100,0.1800608604780017,-0.9410293782466004,0.9591294942807512,91533
10.0,split_30,100,0.855368885590431,1.0482761523108897,0.9591294942807512,91533
10.0,split_50,100,0.586125231601956,0.2080408102713315,0.9591294942807512,91533
10.0,split_1,100,0.056151955437400425,-1.9374885081923934,0.9591294942807512,91533
1000.0,split_10,100,0.0035703892674769293,-2.753292178258508,0.9657533403115571,81205
1000.0,split_30,100,0.5009073776735513,-0.009114085763353335,0.9657533403115571,81205
1000.0,split_50,100,0.295885132703026,-0.5463664036973168,0.9657533403115571,81205
1000.0,split_1,100,0.22359666612781903,-0.9695027115442363,0.9657533403115571,81205
100.0,split_10,100,0.07547193316865806,-1.4693801993128175,0.9552891105873739,87406
100.0,split_30,100,0.7407687798262091,0.6344658759188683,0.9552891105873739,87406
100.0,split_1,100,0.25346629576453517,-0.8586669188910308,0.9558382719721759,87406
100.0,split_50,100,0.7416928943796074,0.6387808642868767,0.9558382719721759,87406
