test_group,group_by,k,p,z,s,N
24,split_10,100,0.26399796158950545,-0.7925738417511187,1.0,1716
24,split_20,100,0.7929060517467421,0.7158257829874146,1.0,1716
24,split_30,100,0.5558603185907411,0.06306335947868952,1.0,1716
24,split_40,100,0.5972075325021824,0.17608456875323128,1.0,1716
24,split_50,100,0.9007271538371245,1.2166028164940783,1.0,1716
24,split_1,100,1.0000000000001057,0.2841728633439032,1.0,1716
6,split_10,100,0.16269058145370047,-1.4158182318004022,0.9948979591836735,392
6,split_20,100,0.13252462500584355,-1.3606812788853846,0.9948979591836735,392
6,split_30,100,0.5296824961359026,-0.08633813098066505,0.9948979591836735,392
6,split_40,100,0.31490909842751025,-0.6279744344546199,0.9948979591836735,392
6,split_50,100,0.2958809250524102,-0.6781269178447683,0.9948979591836735,392
6,split_1,100,0.999999999999994,0.1249991588693853,0.9948979591836735,392
