,test_group,split,augur,wilcoxon,deseq2_100,edgeR_100,scXMatch,memento,balanced_edistance,unbalanced_edistance,effect_size,scXMatch adj.
bhattacherjee_Astro,withdraw_15d_Cocaine,10,0.4843877551020407,104.0,5.0,102.0,-0.7033422054062468,113.0,31.31632138868485,17.678277838160625,-0.009569377990430894,0.9121854161663304
bhattacherjee_Astro,withdraw_48h_Cocaine,10,0.5026530612244897,64.0,9.0,83.0,-0.5412325809162778,49.0,10.83625109585074,3.971451336737161,0.01970576326089879,0.7179720141031808
bhattacherjee_Astro,withdraw_15d_Cocaine,30,0.4758503401360544,55.0,9.0,68.0,-0.9121854161663304,79.0,7.56624746969743,3.618090322449575,-0.10766855378281015,0.9121854161663304
bhattacherjee_Astro,withdraw_48h_Cocaine,30,0.4868253968253968,55.0,25.0,126.0,-0.4627417037977666,72.0,4.132723037543059,1.966199629000755,0.025162393162393215,0.7179720141031808
bhattacherjee_Astro,withdraw_15d_Cocaine,50,0.5087301587301587,60.0,15.0,113.0,-0.7303315719922543,89.0,7.724164033941861,4.277322724099633,-0.040340654415060406,0.9121854161663304
bhattacherjee_Astro,withdraw_48h_Cocaine,50,0.4823015873015873,77.0,20.0,118.0,-0.7179720141031808,90.0,1.8569398858371076,1.9685684573715176,-0.03461538461538449,0.7179720141031808
bhattacherjee_Endo,withdraw_15d_Cocaine,10,0.5143537414965986,73.0,63.0,179.0,-0.9370497111445304,132.0,4.043767773935514,2.934810706095277,-0.059397746722591016,0.9577996391011102
bhattacherjee_Endo,withdraw_48h_Cocaine,10,0.5001473922902495,78.0,18.0,100.0,-0.643356882021568,91.0,13.01224886395903,2.9811759866521754,-0.004124774426398581,0.643356882021568
bhattacherjee_Endo,withdraw_15d_Cocaine,30,0.4850113378684807,70.0,25.0,94.0,-0.9577996391011102,236.0,1.2986413714153002,0.997553847029934,-0.08153317824304862,0.9577996391011102
bhattacherjee_Endo,withdraw_48h_Cocaine,30,0.5150340136054422,70.0,20.0,128.0,-0.3859897899410613,134.0,2.0545527197587603,1.0218570009298844,0.028378873027151585,0.643356882021568
bhattacherjee_Endo,withdraw_15d_Cocaine,50,0.4985714285714286,78.0,35.0,88.0,-0.9060307405013892,261.0,0.8355733119464901,0.8254297561296084,-0.06244518009223898,0.9577996391011102
bhattacherjee_Endo,withdraw_48h_Cocaine,50,0.476485260770975,60.0,15.0,87.0,-0.4356672891022131,162.0,1.086433754108441,1.08863115517795,0.018854933531063045,0.643356882021568
bhattacherjee_Excitatory,withdraw_15d_Cocaine,10,0.5123242630385487,104.0,202.0,263.0,-0.6342767297312447,407.0,2.149988227699737,0.909835718520867,-0.005066101422486424,0.6342767297312447
bhattacherjee_Excitatory,withdraw_48h_Cocaine,10,0.4962358276643991,86.0,157.0,184.0,-0.0494753427441035,340.0,2.771524908910976,2.008498931917302,0.06504046523633822,0.14842602823231052
bhattacherjee_Excitatory,withdraw_15d_Cocaine,30,0.4885827664399093,104.0,85.0,128.0,-0.4739681609661183,466.0,0.3371862420104889,0.367810467772756,0.0022852629411656,0.6342767297312447
bhattacherjee_Excitatory,withdraw_48h_Cocaine,30,0.5134467120181405,246.0,100.0,118.0,-0.1879493620218482,795.0,3.255461178521216,4.228076963369631,0.03332485064407842,0.2819240430327723
bhattacherjee_Excitatory,withdraw_15d_Cocaine,50,0.504920634920635,94.0,72.0,119.0,-0.5772513448834673,390.0,0.1830061249251571,0.185503838892032,-0.003146311694588455,0.6342767297312447
