,test_group,split_1,split_2,augur,wilcoxon,deseq2_100,edgeR_100,deseq2_200,edgeR_200,scXMatch,memento,effect_size,balanced_edistance,unbalanced_edistance,a1,E,var,Unnamed: 0.1,deseq2_500,edgeR_500
bhattacherjee_Astro,withdraw_48h_Cocaine,30,50,0.592437641723356,159.0,10.0,78.0,0.0,66.0,0.9317409156477666,167,0.1784803671596124,10.74460979391118,10.132505786517656,,,,,,
bhattacherjee_Astro,withdraw_48h_Cocaine,50,10,,98.0,2.0,86.0,0.0,69.0,0.9137266553621419,51,0.2203182374541004,20.66537771314478,13.843771176709325,,,,,,
bhattacherjee_Astro,withdraw_48h_Cocaine,50,30,0.6017233560090703,139.0,12.0,90.0,3.0,65.0,0.9835934529202414,122,0.2416873449131513,10.209233232366245,12.012957369304218,,,,,,
bhattacherjee_Astro,withdraw_48h_Cocaine,50,50,0.5783446712018141,197.0,15.0,101.0,3.0,66.0,0.9982931161276208,621,0.283744557329463,9.604032311128847,11.998931589303249,,,,,,
bhattacherjee_Endo,withdraw_48h_Cocaine,30,30,0.5778117913832199,153.0,77.0,199.0,56.0,143.0,0.9999956831878632,398,0.3813593004769474,12.23849268249134,12.771457997259605,,,,,,
bhattacherjee_Endo,withdraw_48h_Cocaine,50,50,0.5731519274376418,214.0,123.0,224.0,101.0,213.0,0.9999882704490388,726,0.2771002710027099,11.75075768147846,11.800597730068944,,,,,,
bhattacherjee_Endo,withdraw_48h_Cocaine,10,30,0.549297052154195,93.0,33.0,126.0,44.0,113.0,0.9678847902047091,185,0.2204081632653061,18.10244218178877,11.92285359981139,,,,,,
bhattacherjee_Endo,withdraw_48h_Cocaine,50,10,0.563469387755102,146.0,53.0,137.0,67.0,146.0,0.9666585799393053,280,0.1811666666666666,23.225104496853987,18.04770185032389,,,,,,
bhattacherjee_Endo,withdraw_48h_Cocaine,30,50,0.5398185941043085,183.0,94.0,201.0,64.0,168.0,0.9999970711960154,538,0.3394906743185079,12.430099957493454,12.40903859247534,,,,,,
bhattacherjee_Endo,withdraw_48h_Cocaine,50,30,0.5257142857142857,153.0,103.0,222.0,83.0,197.0,0.9999180958829791,564,0.2809121621621622,9.628592911911484,12.13632580501401,,,,,,
bhattacherjee_Endo,withdraw_48h_Cocaine,10,10,0.5755782312925171,66.0,9.0,60.0,11.0,73.0,0.9999334343376738,106,0.5772727272727273,17.975877116141703,17.285368039380785,,,,,,
bhattacherjee_Endo,withdraw_48h_Cocaine,10,50,0.5735600907029478,154.0,46.0,149.0,61.0,150.0,0.9922177991438069,214,0.2398185941043082,15.638270195579906,11.608804409816344,,,,,,
bhattacherjee_Endo,withdraw_48h_Cocaine,30,10,0.6052721088435374,120.0,41.0,98.0,46.0,98.0,0.9941775563170165,223,0.2926470588235295,26.45708426516549,19.054422233978016,,,,,,
bhattacherjee_Endo,withdraw_15d_Cocaine,10,10,0.7273015873015872,178.0,33.0,101.0,62.0,158.0,0.9999863938956098,190,0.5441025641025641,37.44791034952999,33.82559280112625,,,,,,
bhattacherjee_Endo,withdraw_15d_Cocaine,10,30,0.6773015873015873,312.0,94.0,250.0,116.0,254.0,0.9999999999998367,409,0.6881496881496881,29.164182660183627,28.2104781367878,,,,,,
bhattacherjee_Endo,withdraw_15d_Cocaine,10,50,0.7329024943310658,375.0,135.0,259.0,153.0,290.0,0.9999999999992404,484,0.5959974984365228,32.7718966677879,27.76198994594455,,,,,,
bhattacherjee_Endo,withdraw_15d_Cocaine,30,10,0.7217120181405895,223.0,82.0,202.0,113.0,261.0,0.9999987411790351,351,0.4628828828828828,41.83257917885811,36.03020954647225,,,,,,
bhattacherjee_Endo,withdraw_15d_Cocaine,30,30,0.7404988662131519,509.0,256.0,466.0,215.0,413.0,1.0,803,0.6630752373995618,29.985399408067508,29.938935408383145,,,,,,
bhattacherjee_Endo,withdraw_15d_Cocaine,30,50,0.7294331065759637,660.0,322.0,527.0,256.0,471.0,1.0,1022,0.6750531018823702,30.357213270716656,29.36155291422442,,,,,,
bhattacherjee_Endo,withdraw_15d_Cocaine,50,10,0.7372222222222223,240.0,106.0,232.0,148.0,307.0,0.9999999999965464,374,0.5933333333333333,61.11350858453213,37.62666317086172,,,,,,
bhattacherjee_Endo,withdraw_15d_Cocaine,50,30,0.730453514739229,599.0,329.0,528.0,291.0,498.0,1.0,961,0.6809309309309309,28.628370378499525,31.533390637597407,,,,,,
bhattacherjee_Endo,withdraw_15d_Cocaine,50,50,0.703095238095238,798.0,416.0,625.0,341.0,564.0,1.0,1231,0.7722071665161097,30.62896107847763,30.94437827184042,,,,,,
