,n_obs,k,n_var
31,500.0,500.0,500.0
55,10000.0,100.0,500.0
127,10000.0,200.0,2000.0
194,10000.0,500.0,10.0
33,10000.0,1000.0,10.0
35,10000.0,1000.0,500.0
109,10000.0,2000.0,1000.0
112,10000.0,2000.0,500.0
162,20000.0,20.0,10.0
226,20000.0,50.0,10.0
135,20000.0,200.0,2000.0
201,20000.0,500.0,1000.0
233,50000.0,50.0,1000.0
235,50000.0,50.0,2000.0
68,50000.0,100.0,1000.0
71,50000.0,100.0,500.0
45,50000.0,1000.0,10.0
190,50000.0,5000.0,10.0
