,k,n_obs,n_var,total_ram_gb,n_edges,s,t_total
101,10.0,500.0,10.0,0.0,4194.0,,23.222709000000002
103,10.0,500.0,500.0,0.0,4737.0,,23.1653
100,10.0,500.0,1000.0,0.0,4826.0,,23.239525999999998
102,10.0,500.0,2000.0,0.0,4917.0,,23.189985999999998
81,10.0,1000.0,10.0,0.0,8528.0,,23.306760999999998
83,10.0,1000.0,500.0,0.0,9841.0,,23.174625
80,10.0,1000.0,1000.0,0.0,9900.0,,23.224101
82,10.0,1000.0,2000.0,0.3,9951.0,,23.119557
89,10.0,2000.0,10.0,0.0,16870.0,1.0,23.499681
91,10.0,2000.0,500.0,0.0,20355.0,0.952,23.274359
88,10.0,2000.0,1000.0,0.0,20282.0,0.954,23.250764
90,10.0,2000.0,2000.0,0.0,20404.0,0.93,23.276186999999997
97,10.0,5000.0,10.0,0.3,42220.0,,24.503188
99,10.0,5000.0,500.0,0.3,51669.0,,23.891557000000002
96,10.0,5000.0,1000.0,0.3,51980.0,,23.877354999999998
98,10.0,5000.0,2000.0,0.4,52259.0,,23.921731
77,10.0,10000.0,10.0,0.3,84086.0,0.9998,28.338924000000002
79,10.0,10000.0,500.0,0.4,104323.0,0.915,26.34635
76,10.0,10000.0,1000.0,0.5,105152.0,0.8794,26.174255
78,10.0,10000.0,2000.0,0.7,105381.0,0.867,26.551361
85,10.0,20000.0,10.0,0.4,167069.0,,48.867157
87,10.0,20000.0,500.0,0.6,211213.0,,35.777953
84,10.0,20000.0,1000.0,0.8,212644.0,,35.306841
86,10.0,20000.0,2000.0,1.3,213222.0,,34.97492
93,10.0,50000.0,10.0,0.5,415241.0,0.99996,166.045871
95,10.0,50000.0,500.0,1.1,533218.0,0.88476,94.10902
92,10.0,50000.0,1000.0,1.5,535727.0,0.829,87.809218
94,10.0,50000.0,2000.0,3.2,538547.0,0.77504,83.687968
173,20.0,500.0,10.0,0.0,7818.0,,23.211239
175,20.0,500.0,500.0,0.0,8604.0,,23.213642
172,20.0,500.0,1000.0,0.0,8749.0,,23.287222999999997
174,20.0,500.0,2000.0,0.0,8831.0,,23.178337000000003
153,20.0,1000.0,10.0,0.0,15869.0,,23.351245
155,20.0,1000.0,500.0,0.0,18110.0,,23.211297
152,20.0,1000.0,1000.0,0.0,18116.0,,23.25401
154,20.0,1000.0,2000.0,0.0,18150.0,,23.256153
161,20.0,2000.0,10.0,0.0,31629.0,1.0,23.463284
163,20.0,2000.0,500.0,0.0,37595.0,0.975,23.286773
160,20.0,2000.0,1000.0,0.0,37406.0,0.978,23.322603
162,20.0,2000.0,2000.0,0.0,37554.0,0.971,23.270781
169,20.0,5000.0,10.0,0.3,79312.0,,24.839163
171,20.0,5000.0,500.0,0.3,96433.0,,24.293273
168,20.0,5000.0,1000.0,0.3,96732.0,,24.172337
170,20.0,5000.0,2000.0,0.4,97238.0,,24.267989999999998
149,20.0,10000.0,10.0,0.3,158384.0,1.0,28.904885
151,20.0,10000.0,500.0,0.4,196859.0,0.9664,27.433897
148,20.0,10000.0,1000.0,0.4,197891.0,0.9618,27.672058999999997
150,20.0,10000.0,2000.0,0.6,199170.0,0.9334,27.570183999999998
157,20.0,20000.0,10.0,0.4,315174.0,,54.164333
159,20.0,20000.0,500.0,0.5,399463.0,,38.064388
156,20.0,20000.0,1000.0,0.7,401278.0,,38.172385
158,20.0,20000.0,2000.0,1.1,403146.0,,38.796688
165,20.0,50000.0,10.0,0.6,782108.0,0.99996,216.98468300000002
167,20.0,50000.0,500.0,0.9,1013959.0,0.9312,107.150881
164,20.0,50000.0,1000.0,1.3,1018935.0,0.8806,103.769651
166,20.0,50000.0,2000.0,2.6,1021047.0,0.85736,103.29899
237,50.0,500.0,10.0,0.0,18664.0,,23.449684
239,50.0,500.0,500.0,0.0,19654.0,,23.253124
236,50.0,500.0,1000.0,0.0,19979.0,,23.389493
238,50.0,500.0,2000.0,0.0,19855.0,,23.397181
217,50.0,1000.0,10.0,0.0,37250.0,,23.563526
219,50.0,1000.0,500.0,0.0,41563.0,,23.263476
216,50.0,1000.0,1000.0,0.0,41635.0,,23.641189
218,50.0,1000.0,2000.0,0.3,41976.0,,23.560650000000003
225,50.0,2000.0,10.0,0.3,76173.0,1.0,23.753928
227,50.0,2000.0,500.0,0.3,85249.0,0.996,23.653069
224,50.0,2000.0,1000.0,0.3,87489.0,0.994,23.691453
226,50.0,2000.0,2000.0,0.3,87223.0,0.994,23.701646
233,50.0,5000.0,10.0,0.3,191007.0,,25.726188999999998
235,50.0,5000.0,500.0,0.3,223057.0,,25.300629999999998
232,50.0,5000.0,1000.0,0.4,222882.0,,25.218439
234,50.0,5000.0,2000.0,0.4,224915.0,,25.408133
213,50.0,10000.0,10.0,0.4,381007.0,1.0,31.582686
215,50.0,10000.0,500.0,0.4,458230.0,0.9923,29.800980000000003
212,50.0,10000.0,1000.0,0.5,461335.0,0.9918,28.873708999999998
214,50.0,10000.0,2000.0,0.7,464054.0,0.9864,29.346339
221,50.0,20000.0,10.0,0.6,760194.0,,61.553849
223,50.0,20000.0,500.0,0.6,935045.0,,42.115357
220,50.0,20000.0,1000.0,0.7,946142.0,,42.243798999999996
222,50.0,20000.0,2000.0,1.0,949512.0,,43.338387
229,50.0,50000.0,10.0,0.9,1885757.0,1.0,225.761996
231,50.0,50000.0,500.0,1.2,2394728.0,0.99732,128.220853
228,50.0,50000.0,1000.0,1.5,2416350.0,0.9834,131.692687
230,50.0,50000.0,2000.0,2.3,2426060.0,0.98428,131.934934
73,100.0,500.0,10.0,0.0,35210.0,,23.5944
75,100.0,500.0,500.0,0.0,36786.0,,23.41848
72,100.0,500.0,1000.0,0.0,36893.0,,23.591694
74,100.0,500.0,2000.0,0.0,37111.0,,23.490075
53,100.0,1000.0,10.0,0.0,73313.0,,23.821047999999998
55,100.0,1000.0,500.0,0.0,78002.0,,23.443823000000002
52,100.0,1000.0,1000.0,0.3,77414.0,,23.76741
54,100.0,1000.0,2000.0,0.0,78730.0,,23.793896
61,100.0,2000.0,10.0,0.3,148418.0,1.0,23.809425
63,100.0,2000.0,500.0,0.3,164678.0,0.995,23.842901
60,100.0,2000.0,1000.0,0.3,163479.0,0.997,23.808937
62,100.0,2000.0,2000.0,0.3,163760.0,0.996,24.436088
69,100.0,5000.0,10.0,0.4,373432.0,,26.927072
71,100.0,5000.0,500.0,0.4,427589.0,,26.449495
68,100.0,5000.0,1000.0,0.4,429990.0,,26.424146999999998
70,100.0,5000.0,2000.0,0.5,434993.0,,27.190182999999998
49,100.0,10000.0,10.0,0.5,751153.0,1.0,33.034609
51,100.0,10000.0,500.0,0.5,881472.0,0.999,31.558531000000002
48,100.0,10000.0,1000.0,0.5,886242.0,0.9966,31.943529
50,100.0,10000.0,2000.0,0.7,893967.0,0.9932,33.484603
57,100.0,20000.0,10.0,0.8,1500534.0,,67.215548
59,100.0,20000.0,500.0,0.7,1809242.0,,50.954959
56,100.0,20000.0,1000.0,0.8,1819516.0,,54.7154
58,100.0,20000.0,2000.0,1.0,1831385.0,,51.171362
65,100.0,50000.0,10.0,1.4,3733959.0,1.0,239.22245299999997
67,100.0,50000.0,500.0,1.6,4659875.0,0.99716,146.698851
64,100.0,50000.0,1000.0,2.0,4707805.0,0.9918,147.806992
66,100.0,50000.0,2000.0,2.6,4719778.0,0.99384,156.849227
145,200.0,500.0,10.0,0.3,65187.0,,23.802762
147,200.0,500.0,500.0,0.0,66126.0,,23.614061
144,200.0,500.0,1000.0,0.3,66266.0,,23.869081
146,200.0,500.0,2000.0,0.3,66986.0,,23.722902
125,200.0,1000.0,10.0,0.3,139537.0,,24.113835
127,200.0,1000.0,500.0,0.3,146409.0,,23.884839
124,200.0,1000.0,1000.0,0.3,146456.0,,24.17036
126,200.0,1000.0,2000.0,0.3,145493.0,,24.133856
133,200.0,2000.0,10.0,0.3,286876.0,1.0,25.024225
135,200.0,2000.0,500.0,0.3,313513.0,0.999,24.92804
132,200.0,2000.0,1000.0,0.3,312177.0,0.999,24.885532
134,200.0,2000.0,2000.0,0.3,315907.0,0.997,25.266956
141,200.0,5000.0,10.0,0.5,736102.0,,29.119374
143,200.0,5000.0,500.0,0.4,825525.0,,29.276033
140,200.0,5000.0,1000.0,0.4,827090.0,,29.609556
142,200.0,5000.0,2000.0,0.5,829737.0,,31.079895999999998
121,200.0,10000.0,10.0,0.6,1487674.0,1.0,37.709902
123,200.0,10000.0,500.0,0.6,1705509.0,0.999,37.056107
120,200.0,10000.0,1000.0,0.6,1711470.0,0.9968,38.854713
122,200.0,10000.0,2000.0,0.7,1723868.0,0.9978,43.213963
129,200.0,20000.0,10.0,0.9,2982344.0,,78.97513599999999
131,200.0,20000.0,500.0,1.0,3505556.0,,63.597967
128,200.0,20000.0,1000.0,1.1,3528129.0,,67.676135
130,200.0,20000.0,2000.0,1.4,3540980.0,,77.290126
137,200.0,50000.0,10.0,2.0,7443323.0,1.0,348.614709
139,200.0,50000.0,500.0,2.4,9061073.0,0.99812,186.602711
136,200.0,50000.0,1000.0,2.7,9156007.0,0.99668,189.554872
138,200.0,50000.0,2000.0,3.3,9215769.0,0.9948,217.22241200000002
193,500.0,1000.0,10.0,0.3,315528.0,,25.092240999999998
195,500.0,1000.0,500.0,0.3,318554.0,,24.712919
192,500.0,1000.0,1000.0,0.3,316330.0,,24.394777
194,500.0,1000.0,2000.0,0.3,317370.0,,24.95472
201,500.0,2000.0,10.0,0.3,684437.0,1.0,27.518964
203,500.0,2000.0,500.0,0.3,708441.0,1.0,32.137549
200,500.0,2000.0,1000.0,0.3,711581.0,1.0,27.266901
202,500.0,2000.0,2000.0,0.3,713487.0,1.0,27.287208999999997
209,500.0,5000.0,10.0,0.4,1792730.0,,35.458776
211,500.0,5000.0,500.0,0.5,1932336.0,,36.588497
208,500.0,5000.0,1000.0,0.5,1947240.0,,36.770757
210,500.0,5000.0,2000.0,0.6,1944336.0,,38.349455
189,500.0,10000.0,10.0,0.8,3662587.0,1.0,54.688611
191,500.0,10000.0,500.0,0.8,4050836.0,0.9998,56.825154
188,500.0,10000.0,1000.0,0.9,4065135.0,0.9998,59.354786
190,500.0,10000.0,2000.0,1.0,4084590.0,0.9992,65.710832
197,500.0,20000.0,10.0,1.8,7380085.0,,120.31374699999999
199,500.0,20000.0,500.0,1.9,8436074.0,,118.75480400000001
196,500.0,20000.0,1000.0,2.0,8442892.0,,113.080423
198,500.0,20000.0,2000.0,2.2,8505998.0,,114.59940800000001
205,500.0,50000.0,10.0,4.8,18542877.0,1.0,410.605291
207,500.0,50000.0,500.0,5.1,21902995.0,0.99944,322.977946
204,500.0,50000.0,1000.0,5.4,22068263.0,0.9986,352.870089
206,500.0,50000.0,2000.0,6.0,22142145.0,0.99888,404.437224
37,1000.0,2000.0,10.0,0.3,1266635.0,1.0,32.251042999999996
39,1000.0,2000.0,500.0,0.3,1266885.0,1.0,31.897907
36,1000.0,2000.0,1000.0,0.3,1265309.0,1.0,31.923682
38,1000.0,2000.0,2000.0,0.3,1270331.0,1.0,32.349421
45,1000.0,5000.0,10.0,0.4,3482031.0,,50.653192
47,1000.0,5000.0,500.0,0.6,3641737.0,,50.267283000000006
44,1000.0,5000.0,1000.0,0.6,3641657.0,,50.403322
46,1000.0,5000.0,2000.0,0.4,3639124.0,,53.256048
29,1000.0,10000.0,10.0,1.6,7197133.0,1.0,90.58834100000001
31,1000.0,10000.0,500.0,1.6,7715383.0,1.0,89.203766
28,1000.0,10000.0,1000.0,1.7,7775674.0,1.0,89.421706
30,1000.0,10000.0,2000.0,1.8,7786934.0,0.9998,104.55889400000001
33,1000.0,20000.0,10.0,3.4,14601770.0,,215.510619
35,1000.0,20000.0,500.0,3.4,16208217.0,,182.185223
32,1000.0,20000.0,1000.0,3.6,16285894.0,,189.94465300000002
34,1000.0,20000.0,2000.0,3.8,16373607.0,,192.72395699999998
41,1000.0,50000.0,10.0,9.3,36889946.0,1.0,681.153178
43,1000.0,50000.0,500.0,9.5,42539051.0,0.99992,585.667774
40,1000.0,50000.0,1000.0,9.9,42810216.0,0.9998,590.480768
42,1000.0,50000.0,2000.0,10.4,42957276.0,0.99988,713.945449
117,2000.0,5000.0,10.0,1.4,6519379.0,,93.53353
119,2000.0,5000.0,500.0,1.4,6610278.0,,88.370521
116,2000.0,5000.0,1000.0,1.5,6621909.0,,89.48164
118,2000.0,5000.0,2000.0,1.5,6610139.0,,95.811928
105,2000.0,10000.0,10.0,3.1,13852301.0,1.0,190.29103
107,2000.0,10000.0,500.0,3.1,14505920.0,1.0,175.548603
104,2000.0,10000.0,1000.0,3.2,14534218.0,1.0,183.835254
106,2000.0,10000.0,2000.0,3.2,14598157.0,1.0,204.68910400000001
109,2000.0,20000.0,10.0,6.3,28649486.0,,421.432993
111,2000.0,20000.0,500.0,6.6,30881474.0,,394.815601
108,2000.0,20000.0,1000.0,6.7,30968690.0,,403.84450300000003
110,2000.0,20000.0,2000.0,6.8,31052550.0,,425.191238
113,2000.0,50000.0,10.0,18.1,73092074.0,1.0,1348.02289
