metric,bhattacherjee_Astro,bhattacherjee_Endo,bhattacherjee_Excitatory,mcfarland_1,mcfarland_2,mcfarland_3,mcfarland_4,mcfarland_5,norman,schiebinger
augur,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
balanced_edistance,0.83,0.83,1.0,0.83,1.0,1.0,1.0,0.83,1.0,1.0
deseq2_100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
edgeR_100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
effect_size,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
memento,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scXMatch,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unbalanced_edistance,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wilcoxon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
