,,scXMatch,augur,wilcoxon,deseq2_100,edgeR_100,deseq2_200,edgeR_200,memento,balanced_edistance,unbalanced_edistance,effect_size,deseq2_500,edgeR_500
bhattacherjee_Astro,withdraw_48h_Cocaine,-7.021472265555637e-06,0.5923809523809523,275,28,139,1,89,1064,8.210415388196108,7.775054913686461,0.30144032921810704,,
bhattacherjee_Astro,withdraw_15d_Cocaine,-6.8341724030035e-54,0.8418934240362812,1459,221,544,18,420,1983,90.26540996071904,90.08774203414738,0.9440513626834381,,
bhattacherjee_Endo,withdraw_48h_Cocaine,-6.111875433449989e-11,0.5632426303854875,309,239,340,238,351,1133,9.262827506142555,9.181655109590409,0.3047097500087902,,
bhattacherjee_Endo,withdraw_15d_Cocaine,-1.2977348888821076e-95,0.7520068027210886,1137,676,824,601,787,1895,35.37629052736618,30.725570137706725,0.7811804504584706,,
bhattacherjee_Excitatory,withdraw_48h_Cocaine,-4.379071420069481e-31,0.5508390022675738,718,565,615,540,603,3090,12.150713713585446,11.61879785562826,0.3001576654268402,,
bhattacherjee_Excitatory,withdraw_15d_Cocaine,-0.0,0.7655328798185941,1021,955,1006,947,999,4545,51.657848365125005,54.333149795208726,0.806033081120523,,
mcfarland_1,Idasanutlin_6,-4.08642548848548e-31,0.8015419501133786,1086,193,268,139,220,3551,90.26421403891533,84.04332688388774,0.5657031140902109,,
mcfarland_1,Idasanutlin_24,-2.7025741286772023e-14,0.5586281179138323,552,270,367,202,347,1815,25.12882087276131,21.144529996395534,0.3055536468436659,,
mcfarland_2,Trametinib_6,-3.0950468843287622e-46,0.8450340136054422,1015,313,409,230,359,3528,109.0687183029799,108.60614370810646,0.6906504915289688,,
mcfarland_2,Trametinib_24,-1.7878344083469375e-79,0.8632426303854877,1006,769,897,590,810,3991,98.76132166158862,105.746681137675,0.8096328381942122,,
mcfarland_3,BRD3379_6,-6.955951333894213e-15,0.7631632653061223,947,239,321,113,272,4543,216.89881067469383,215.88427642169125,0.45345203767254716,,
mcfarland_3,BRD3379_24,-7.10069365400563e-69,0.7299319727891157,693,468,612,217,513,3763,87.60365557989661,89.1833352622649,0.8503990722423085,,
mcfarland_4,BRD3379_6,-7.146860700214435e-16,0.7852834467120182,1028,368,456,195,338,4808,182.42503938358695,169.90273403231902,0.5074305910407086,,
mcfarland_4,BRD3379_24,-5.453152963191936e-49,0.6658503401360544,678,452,539,330,481,4195,60.14306887047735,53.06797856802905,0.7199385324625431,,
mcfarland_5,BRD3379_6,-1.6889791345984362e-08,0.7305668934240362,984,213,293,132,273,4833,162.84295816503607,181.39198772598195,0.34344501680388617,,
mcfarland_5,BRD3379_24,-4.122519451041333e-37,0.6906235827664399,554,213,304,114,300,3128,39.5663214595279,49.10732781455124,0.7097575516693164,,
norman,1,-2.330191165145413e-75,0.5230272108843538,1334,1169,1325,1198,1307,5794,16.95736085816884,17.054053114471458,0.10555703337533218,1226.0,1294.0
norman,2,-0.0,0.6369501133786849,1425,1281,1424,1306,1409,6817,44.54241873214909,46.032935584445056,0.2930041596742685,1334.0,1398.0
schiebinger,1.5,-0.0,0.9423469387755102,1056,790,763,681,734,7384,299.01919539547345,292.5681971322434,0.9571489709905265,663.0,705.0
schiebinger,2,-0.0,0.8962358276643989,951,734,892,758,882,6510,59.1363483634072,60.72420324322599,0.9766186059783659,776.0,856.0
schiebinger,2.5,-0.0,0.9161337868480725,948,770,909,805,897,6165,57.27896350475628,59.09452236210845,0.968660423668458,833.0,885.0
schiebinger,3.0,-0.0,0.904671201814059,967,862,990,890,987,6452,83.40389375230812,85.3392182285744,0.9871552299043169,903.0,971.0
schiebinger,3.5,-0.0,0.9376643990929706,1108,827,1039,851,1026,5183,109.98591598286474,112.0266840676847,0.9945154537199864,893.0,1002.0
schiebinger,4.0,-0.0,0.963650793650794,1084,940,1092,967,1089,6749,135.43574079384985,136.68345909871758,0.9996206975728679,991.0,1089.0
schiebinger,4.5,-0.0,0.9850793650793652,1119,965,1144,999,1136,6711,219.8025823627648,222.2495333564186,0.9995919884580181,1035.0,1125.0
schiebinger,5.0,-0.0,0.9917233560090704,1156,1007,1194,1019,1185,6760,284.14334186483853,283.9745538323706,0.9995939294283356,1047.0,1167.0
schiebinger,5.5,-0.0,0.9734807256235828,1126,981,1180,1013,1171,6712,190.85576911835253,190.6836571908551,0.9995796081971292,1048.0,1154.0
schiebinger,6.0,-0.0,0.99843537414966,1229,1178,1218,1096,1210,6952,444.80748940375497,444.9722739864483,0.9996135434347135,1107.0,1192.0
schiebinger,6.5,-0.0,0.9811337868480726,1128,1059,1150,984,1137,6637,378.8872370358492,374.19447302197045,0.9994109083930279,1011.0,1108.0
schiebinger,7.0,-0.0,0.9957596371882088,1177,1088,1202,1035,1190,6844,341.2216525105789,339.3312527788331,0.9995786228773503,1066.0,1182.0
schiebinger,7.5,-0.0,0.9934807256235828,1160,988,1177,1019,1176,6653,194.4364860740164,192.67950993750264,0.9986041776273242,1044.0,1147.0
schiebinger,8.0,-0.0,0.9848526077097506,1143,953,1176,988,1171,5938,113.561527155675,115.37163616131156,0.9960629988762362,1033.0,1157.0
