testgroup,reference,relative_support,time_pca,time_edist_test,distance
D8,control,1,9.330757856369019,2.6337037086486816,115.37163616131156
D2,control,1,9.330757856369019,2.178499221801758,60.724203243225986
D4,control,1,9.330757856369019,1.9465012550354004,136.68345909871758
D6,control,1,9.330757856369019,1.7715895175933838,444.9722739864483
D3.5,control,1,9.330757856369019,1.6647655963897705,112.0266840676847
D5,control,1,9.330757856369019,1.4606194496154785,283.9745538323706
D4.5,control,1,9.330757856369019,1.436640739440918,222.2495333564186
D2.5,control,1,9.330757856369019,1.3051989078521729,59.09452236210845
D3,control,1,9.330757856369019,1.3503894805908203,85.3392182285744
D5.5,control,1,9.330757856369019,1.2491123676300049,190.6836571908551
D7,control,1,9.330757856369019,1.267265796661377,339.3312527788331
D7.5,control,1,9.330757856369019,0.9083163738250732,192.67950993750264
D15.5,control,1,9.330757856369019,0.8639843463897705,290.7506074597085
D16.5,control,1,9.330757856369019,0.7939229011535645,181.76294489845557
D17.5,control,1,9.330757856369019,0.6978979110717773,201.15871821192306
D15,control,1,9.330757856369019,0.6708593368530273,166.58674550348363
D18,control,1,9.330757856369019,0.6246030330657959,167.86252379847517
D14,control,1,9.330757856369019,0.6399135589599609,289.9494677787077
D17,control,1,9.330757856369019,0.6211733818054199,229.25633129872253
D8.5,control,1,9.330757856369019,0.6113185882568359,194.6135540438996
D16,control,1,9.330757856369019,0.582155704498291,147.6470499962476
D6.5,control,1,9.330757856369019,0.5376768112182617,374.19447302197045
D9,control,1,9.330757856369019,0.5347983837127686,169.10938945587785
D14.5,control,1,9.330757856369019,0.48021841049194336,248.3745411256618
D11,control,1,9.330757856369019,0.4584052562713623,120.99069814512328
D12,control,1,9.330757856369019,0.43946337699890137,190.49242242369647
D10,control,1,9.330757856369019,0.4377095699310303,129.01133463008722
D13.5,control,1,9.330757856369019,0.4314873218536377,135.12044420343088
D9.5,control,1,9.330757856369019,0.42078733444213867,149.4411460307823
D12.5,control,1,9.330757856369019,0.41385650634765625,400.1829122115008
D11.5,control,1,9.330757856369019,0.41054773330688477,210.06339616735906
D13,control,1,9.330757856369019,0.39223814010620117,339.85154643868816
D10.5,control,1,9.330757856369019,0.3751509189605713,140.30222131175637
D1.5,control,1,9.330757856369019,0.3688056468963623,292.5681971322434
