testgroup,reference,relative_support,time_pca,time_edist_test,distance
Trametinib_24,control,0.6439169139465876,0.2630302906036377,0.0032672882080078125,98.76132166158862
Trametinib_6,control,1.0,0.2630302906036377,0.00299072265625,109.0687183029799
