test_group,group_by,len_subset,p_value,a1,E,var,z_score,coverage,effect_strength_ratio
0,split_50,11835,0.6742613077627998,2975,2958.6279895208318,1479.252971411809,0.4256775916152576,0.9999155048584706,0.0
0,split_10,11835,0.4501759814050192,1027,1029.4604073354178,178.98052064303425,-0.18390948557931935,0.9999155048584706,0.002389997048828918
0,split_30,11835,0.5231855008620322,2485,2484.069044198428,1042.7039045390404,0.028830260253629104,0.9999155048584706,0.0
1,split_50,4797,0.29442010153012244,1185,1199.2331595411888,599.6081526324227,-0.5812561391315348,0.9997915363769022,0.011868550688370116
1,split_10,4797,0.22362769837745,411,418.3897810218978,72.86944255477977,-0.8656829135934243,0.9997915363769022,0.01766243191659367
1,split_30,4797,0.16869524954649587,980,1000.5897810218978,417.3500188209587,-1.0078630165341342,0.9997915363769022,0.020577644717568067
2,split_50,401,0.6854028808629365,102,99.60902255639098,49.48286323467615,0.3398975767462632,0.9975062344139651,0.0
2,split_10,401,0.30781043501476446,34,36.090225563909776,6.379920179798372,-0.8275334019356514,0.9975062344139651,0.05791666666666673
2,split_30,401,0.35216773214096286,79,82.14285714285714,33.578368375057835,-0.5423689842953181,0.9975062344139651,0.03826086956521735
