test_group,group_by,len_subset,p_value,a1,E,var,z_score,relative_support,effect_size
D17.5,split_30,4069,0.4076484715316059,866,871.4669289402508,373.22663778972293,-0.2829808929534558,0.9997542393708528,0.006273248884956395
D3,split_50,6821,0.14231473635239086,1673,1705.238158087696,852.6131546546079,-1.104063890699024,0.9998533939305088,0.01890536986566671
D3,split_10,6821,0.46164494879995194,588,589.754509458865,101.86904119630557,-0.173833952385487,0.9998533939305088,0.0029749826931799728
D3,split_30,6821,0.6941521382762459,1420,1408.7133010705381,581.7997510083562,0.46792922996323527,0.9998533939305088,-0.008012062440870382
D17,split_50,3678,0.2763607722227037,906,919.7280391623606,459.8530274733488,-0.6401754042798583,1.0,0.01492619402455464
D17,split_10,3678,0.4249317385646879,355,357.37748164264343,69.31226498154847,-0.28556970100105433,1.0,0.006652578197472336
D17,split_30,3678,0.595759443706303,783,779.5477291270057,330.29393973221465,0.1899566760398892,1.0,-0.004428556128128758
D5.5,split_50,6550,0.8553000187220983,1667,1637.6889601465873,818.8139426381132,1.0243269788940994,1.0,-0.01789780633972704
D5.5,split_10,6550,0.5970150057714759,576,574.3325698579936,100.59067305019981,0.16625273208394611,1.0,-0.0029032484478788145
D5.5,split_30,6550,0.7328837967753862,1406,1391.855855855856,591.3764678858656,0.581627127468615,1.0,-0.01016207539353764
D12.5,split_50,2253,0.5697180618537673,565,563.0541981341626,281.4290581043759,0.11598829031560111,0.9995561473590768,-0.003455798522212339
D12.5,split_10,2253,0.8663530086556608,183,178.1941359395824,28.079107111885097,0.9069426704058775,0.9995561473590768,-0.026969821622228052
D12.5,split_30,2253,0.26001224171925263,443,452.6321634828965,181.79034526965285,-0.7143950518909408,0.9995561473590768,0.021280333701386378
D13.5,split_50,2373,0.5451941230087638,594,593.045972163644,296.42083505897676,0.055412364637695236,0.9995785924989464,-0.0016086911995629727
D13.5,split_10,2373,0.9124128297506816,208,201.30746520455503,34.04253953725503,1.1470429040039487,0.9995785924989464,-0.03324533836161758
D13.5,split_30,2373,0.7705815407365106,507,497.2867988190637,208.35531741738527,0.6729148147193408,0.9995785924989464,-0.019532392985301072
D15.5,split_50,4851,0.7254618894137747,1226,1212.2548979170963,605.8797947704034,0.5584119901331628,0.9997938569367141,-0.011338458690924424
D15.5,split_10,4851,0.8429874555597191,468,459.62136522994433,86.9784105676121,0.8983954134820413,0.9997938569367141,-0.018229428403233383
D15.5,split_30,4851,0.35450275214637944,1032,1040.844710249536,446.59247623032434,-0.4185312678094075,0.9997938569367141,0.008497627131539787
D11.5,split_50,2242,0.3447662042298909,553,560.685854529228,280.31080090633446,-0.45906295100763156,1.0,0.013707951551018338
D11.5,split_10,2242,0.9720431542535933,209,199.30432842481036,35.304074140634086,1.6317945669811558,1.0,-0.048647571539558454
D11.5,split_30,2242,0.08630588320809973,457,477.4730031236055,203.21839723872355,-1.4361507911005345,1.0,0.04287782343645008
D14,split_50,3758,0.10058504991585168,911,939.6978972584509,469.8228709532334,-1.323984800079229,1.0,0.030539492896787812
D14,split_10,3758,0.2862219527554971,345,350.4117647058824,65.21331189325421,-0.6701480799781888,1.0,0.015444015444015524
D14,split_30,3758,0.23022928917497132,776,790.4285334043119,332.3498470765844,-0.7914517571065957,1.0,0.018254064465726416
D4.5,split_50,7127,0.29976952409386953,1765,1781.6691929824563,890.7941721268494,-0.558503489607225,0.9998596885084888,0.009355941635019516
D4.5,split_10,7127,0.5758025031063839,618,616.8151578947369,106.65284960011635,0.1147292745081077,0.9998596885084888,-0.0019209030292106632
D4.5,split_30,7127,0.5793773532735234,1508,1503.9045614035088,634.6272708827395,0.1625702425370837,0.9998596885084888,-0.002723203786727746
D5,split_50,7227,0.8268322707988434,1834,1806.7000692041522,903.3250560689697,0.9083213404329777,0.9998616299986163,-0.01511038343396609
D5,split_10,7227,0.03507689374995445,611,631.4703114186851,110.23765302278623,-1.9496626435674946,0.9998616299986163,0.03241690234445982
D5,split_30,7227,0.5064113963873329,1514,1514.5411764705882,634.728072559447,-0.021480532965097377,0.9998616299986163,0.00035732040765590334
D8,split_50,11088,0.6136330034251222,2782,2772.248579417336,1386.1235791613926,0.2619189448383378,1.0,-0.003517513059638322
D8,split_10,11088,0.17978858631797723,946,958.7516911698385,165.67362266664063,-0.9906975790749379,1.0,0.0133003063121373
D8,split_30,11088,0.3094127891055583,2278,2294.2844773157753,949.2912906404698,-0.5285353935947535,1.0,0.007097845745278941
D7.5,split_50,5061,0.5928317692872371,1270,1265.0950780786716,632.4700263004951,0.19503480670879259,0.9998024105907923,-0.0038771172272502596
D7.5,split_10,5061,0.6499424352118933,467,464.26783949397117,85.06243185639936,0.29623564325425766,0.9998024105907923,-0.005884879962839484
D7.5,split_30,5061,0.9165124969987373,1093,1064.8054951571457,447.99127428186557,1.332078118124517,0.9998024105907923,-0.026478549341721003
D4,split_50,8962,0.9494128656662256,2294,2240.1495702645384,1120.0245500918013,1.6090717210113477,0.999776835527784,-0.024038765290615105
D4,split_10,8962,0.5823240154742185,825,823.2426610112735,151.1455255661296,0.14294135576289144,0.999776835527784,-0.0021346549103369306
D4,split_30,8962,0.680751261165979,1879,1866.85556423708,777.778908598573,0.43546099548100625,0.999776835527784,-0.006505289426546046
D18,split_50,3800,0.31926120654609647,939,950.2371676757041,475.1121610032492,-0.5155357510590746,1.0,0.011825645278841668
D18,split_10,3800,0.5054239586898946,347,347.678599631482,63.48840139166545,-0.08516603399439013,1.0,0.0019518015552330015
D18,split_30,3800,0.017249612426962907,761,800.9978941826796,337.52785282639167,-2.177119756019919,1.0,0.049935080320644976
D3.5,split_50,8066,0.8890285073055101,2054,2016.225722435818,1008.1007165585908,1.1897184742070555,0.9997520456236053,-0.018735143165690138
D3.5,split_10,8066,0.6128218782601831,728,725.5299516309066,130.42257307081374,0.21628633214476334,0.9997520456236053,-0.0034044747064418956
D3.5,split_30,8066,0.5512055574044625,1679,1676.5470668485675,696.9689915126378,0.09291353518502071,0.9997520456236053,-0.0014630863635956004
D1.5,split_50,1956,0.3720343350652917,483,489.10230179028133,244.4771728773796,-0.39027840780487905,1.0,0.012476534598068412
D1.5,split_10,1956,0.4104311144117331,168,170.01739130434783,29.427440813754615,-0.3718894833117337,1.0,0.011865793780687417
D1.5,split_30,1956,0.6300261432758638,401,397.7263427109974,161.5857832499281,0.25753225960369064,1.0,-0.008230929001806997
D14.5,split_50,2723,0.8257163327708045,697,680.7133406835723,340.338314706808,0.8828289981502041,0.9996327579875137,-0.023925870616951173
D14.5,split_10,2723,0.17604686524482155,244,251.28996692392502,46.263595078855026,-1.071780543297705,0.9996327579875137,0.029010179010178994
D14.5,split_30,2723,0.8423713372756445,589,574.3759647188533,242.2459528370685,0.9395912443022073,0.9996327579875137,-0.025460736833416986
D16,split_50,3442,0.3185586015861567,849,859.772449869224,429.3974371062857,-0.5198580312386683,1.0,0.012529419698040556
D16,split_10,3442,0.10575468481828108,317,327.9642545771578,62.36265660120594,-1.3884070397198565,1.0,0.03343124875390446
D16,split_30,3442,0.10489958099263402,719,742.4577157802964,320.1517894771242,-1.311015279023155,1.0,0.03159468247379349
D10,split_50,2419,0.5290021673391844,605,604.7352089366984,302.36019686855116,0.015227934981860649,0.9995866060355518,-0.00043786281894697687
D10,split_10,2419,0.9529472591571349,221,212.24865535788166,37.13229237753288,1.436147037508609,0.9995866060355518,-0.04123156694379193
D10,split_30,2419,0.691615044010763,529,522.4513860157219,225.6173907774188,0.43597652452542773,0.9995866060355518,-0.012534398720268625
D9.5,split_50,2297,0.7399357138751395,584,574.1089324618737,286.9838267771917,0.5838677076775314,0.999564649542882,-0.01722855538183632
D9.5,split_10,2297,0.12948909854002796,189,196.57647058823528,33.53312893008208,-1.308367965794343,0.999564649542882,0.038542103058232025
D9.5,split_30,2297,0.1658624764656474,473,487.9647058823529,207.25825510769198,-1.0394707350171226,0.999564649542882,0.030667598910239402
D7,split_50,6507,0.582822587632573,1631,1626.0392006149116,812.6641373937463,0.1740187789783301,0.9998463193483941,-0.003050848579303933
D7,split_10,6507,0.7579827910850869,589,582.7475787855495,104.2632609569844,0.6123258246240688,0.9998463193483941,-0.010729210110972165
D7,split_30,6507,0.2680079404142832,1359,1374.8822444273635,580.9399673372897,-0.6589405704429598,0.9998463193483941,0.011551712513371282
D6.5,split_50,3111,0.5351653466218532,778,777.2608555805725,388.38569472949024,0.037505735768410466,0.9996785599485696,-0.0009509605612074701
D6.5,split_10,3111,0.20411254347965377,259,265.48118366034095,45.19779703510482,-0.9640414219870934,0.9996785599485696,0.02441296807171478
D6.5,split_30,3111,0.16148002032100103,644,661.5709231264073,281.30963334612176,-1.0476163706890393,0.9996785599485696,0.02655939448392286
D13,split_50,2146,0.9904077080011343,574,536.6713286713286,268.29626102583103,2.2789522296340845,1.0,-0.06955592619618489
D13,split_10,2146,0.46406998708437946,197,198.33333333333334,36.5261575154249,-0.22061586623828078,1.0,0.006722689075630339
D13,split_30,2146,0.7567378952394458,455,446.4937062937063,185.63708451105623,0.6243210878786687,1.0,-0.019051318274793783
D11,split_50,2612,0.6055382692148634,657,653.1639218690157,326.53886156339183,0.2122853415623153,1.0,-0.005873071066153646
D11,split_10,2612,0.47421266412686847,229,230.19341248563768,40.44370543449391,-0.1876571463618325,1.0,0.005184390260134619
D11,split_30,2612,0.4619920440098277,552,554.4128686327077,235.20062555532033,-0.15733105011247345,1.0,0.004352115127952083
D12,split_50,2429,0.41680967659255813,602,606.6551297898641,303.0299310272717,-0.2674170111983454,0.9995883079456567,0.007673436786855392
D12,split_10,2429,0.8939403697424471,207,200.96703749484962,33.143738657287784,1.0479242205429757,0.9995883079456567,-0.03001966183287652
D12,split_30,2429,0.4595368936234016,496,498.3930778739184,204.4513542224856,-0.16736391854966415,0.9995883079456567,0.004801587301587307
D6,split_50,8422,0.8398955182601808,2137,2105.7495546847167,1052.8745545789757,0.9630922661392826,1.0,-0.014840532790691752
D6,split_10,8422,0.6343941836895791,732,728.9509559434747,126.05785609097566,0.2715680922029584,1.0,-0.004182783535250367
D6,split_30,8422,0.9017237121370594,1806,1771.7838736492104,745.325171884963,1.2533083887176155,1.0,-0.01931168177996634
D16.5,split_50,4660,0.1895662756317625,1143,1165.2240824211203,582.5990715790083,-0.9207441006308088,1.0,0.019072797032260724
D16.5,split_10,4660,0.19677440119780887,408,416.2858982614295,74.24421867857582,-0.9616306029676631,1.0,0.019904345297389603
D16.5,split_30,4660,0.3797632189207727,983,990.2320240394935,420.68680670359134,-0.35259846311408877,1.0,0.0073033631148299305
