test_group,group_by,len_subset,p_value,a1,E,var,z_score,relative_support,effect_size
D2,split_50,9670,0.2965350670754804,2397,2416.57132512672,1207.946279999914,-0.5631141251638023,0.9997931747673217,0.008098798873934943
D2,split_10,9670,0.7842171787918311,872,863.161270301024,153.9956993848684,0.7122550817376782,0.9997931747673217,-0.01023995167889491
D2,split_30,9670,0.5153373450994597,2009,2008.8328333505742,834.6405627550843,0.005786285979190497,0.9997931747673217,-8.321580902626025e-05
D9,split_50,3079,0.836875092374527,788,769.747156321092,384.8721544768042,0.9304055426571654,0.9996752192270217,-0.0237127783182014
D9,split_10,3079,0.2524432275632811,263,268.4293142671433,46.68999508530839,-0.7945716521456009,0.9996752192270217,0.02022623453763328
D9,split_30,3079,0.9953112444436717,690,648.4237894052649,273.04389390392066,2.5161044696466357,0.9996752192270217,-0.06411888532477938
D8.5,split_50,3573,0.8250651249244086,912,893.2489498739849,446.62394928613213,0.8872675350156926,0.9997201231458158,-0.020991964366328553
D8.5,split_10,3573,0.8389047584804615,323,316.59787174460934,55.99193865030625,0.8555819580804984,0.9997201231458158,-0.020221640215430936
D8.5,split_30,3573,0.7792102388091562,757,744.4287314477738,310.1315256225799,0.7138486561343246,0.9997201231458158,-0.01688713508918105
D15,split_50,3923,0.09321672272703674,950,980.2336138740118,489.85848642747186,-1.366012722100763,0.99974509304104,0.03084327393602082
D15,split_10,3923,0.515201467594315,362,362.4769191532772,66.8675886704252,-0.05832260761025937,0.99974509304104,0.0013157228173072966
D15,split_30,3923,0.4650890681949246,832,834.601377199694,355.0522365125931,-0.1380566093996669,0.99974509304104,0.003116909785629951
D10.5,split_50,1986,0.5357468468566041,497,496.5869017632242,248.21176409584956,0.02622057194668147,1.0,-0.0008318750158511357
D10.5,split_10,1986,0.6100570726575026,199,198.05994962216624,39.36428007535337,0.14983041131404623,1.0,-0.004746292118255502
D10.5,split_30,1986,0.6591238456295394,427,422.46498740554154,179.58063600217736,0.3384143300659087,1.0,-0.01073464720072792
D2.5,split_50,6916,0.9822629165851551,1787,1726.2692808566055,862.1448431750832,2.0683227382484035,0.9994216310005783,-0.03518032778365776
D2.5,split_10,6916,0.3462646308095747,647,652.2076399942122,122.94763295030413,-0.4696570736168298,0.9994216310005783,0.007984635068455148
D2.5,split_30,6916,0.07663644116315665,1447,1484.0884097815078,637.1498971307058,-1.4693234303659681,0.9994216310005783,0.02499070105059853
D17.5,split_50,4069,0.344153849740082,1007,1017.0432751413819,508.41819445764685,-0.44541497965525506,0.9997542393708528,0.009874973255180053
D17.5,split_10,4069,0.24441112419213656,348,354.31325301204816,61.590931368741764,-0.8044421329828971,0.9997542393708528,0.017818280739934633
