test_group,reference,k,p,z,s,d,N
0.0,0.0,100,1.0000000000012415,0.48301880247823115,1.0,0.01,3772
0.0,0.0,100,0.8866330525406616,1.0586574884508817,1.0,0.1,3772
0.0,0.0,100,0.6934530727176497,0.4407774309744858,1.0,0.2,3772
0.0,0.0,100,0.45362512108446096,-0.16862179177417563,1.0,0.3,3772
0.0,0.0,100,0.028939382973129882,-1.9454468180538624,1.0,0.4,3772
0.0,0.0,100,0.7668748114212993,0.6823656484794637,1.0,0.5,3772
10.0,10.0,100,0.46763700530874375,-0.3448021343477311,0.8431721361359487,0.01,42723
10.0,10.0,100,0.5219543348913466,0.022207564731155923,0.8431721361359487,0.1,42723
10.0,10.0,100,0.4324260455015007,-0.19086547958977762,0.8431721361359487,0.2,42723
10.0,10.0,100,0.29397325699420696,-0.558850977808731,0.8431721361359487,0.3,42723
10.0,10.0,100,0.329900718888947,-0.4555299750433908,0.8431721361359487,0.4,42723
10.0,10.0,100,0.4956996485716449,-0.025681731423404533,0.8431721361359487,0.5,42723
100.0,100.0,100,0.2872599561056498,-0.8369822695106335,0.8288332434948792,0.01,40814
100.0,100.0,100,0.3778050144066892,-0.34549866626680936,0.8288332434948792,0.1,40814
100.0,100.0,100,0.07338323372479384,-1.4776920296417304,0.8288332434948792,0.2,40814
100.0,100.0,100,0.5895154668514692,0.20887228912888886,0.8288332434948792,0.3,40814
100.0,100.0,100,0.5401641810222921,0.08504654149550624,0.8288332434948792,0.4,40814
100.0,100.0,100,0.2210648277996128,-0.7839592139121073,0.8288332434948792,0.5,40814
1000.0,1000.0,100,0.8510689453512515,0.6509672274659105,0.8564092029580936,0.01,38945
1000.0,1000.0,100,0.5135181891010431,0.00021542322733204331,0.8564092029580936,0.1,38945
1000.0,1000.0,100,0.8396454683880451,0.9688972256478003,0.8564092029580936,0.2,38945
1000.0,1000.0,100,0.22573017168905896,-0.7709529171181647,0.8564092029580936,0.3,38945
1000.0,1000.0,100,0.810254360582882,0.862748864944734,0.8564092029580936,0.4,38945
1000.0,1000.0,100,0.3088221929872504,-0.5146659338796317,0.8564092029580936,0.5,38945
10000.0,10000.0,100,0.7603454790642064,0.352292939837742,0.8969504021447721,0.01,35808
10000.0,10000.0,100,0.8913398779246138,1.183421571515443,0.8969504021447721,0.1,35808
10000.0,10000.0,100,0.007056263248939979,-2.4930756332584223,0.8969504021447721,0.2,35808
10000.0,10000.0,100,0.6120676444671453,0.26687706670124467,0.8969504021447721,0.3,35808
10000.0,10000.0,100,0.37498309521733686,-0.3349535846656146,0.8969504021447721,0.4,35808
10000.0,10000.0,100,0.06957082946479128,-1.494721990985235,0.8969504021447721,0.5,35808
