test_group,reference,k,p,z,s,d,N
1,1,100,0.7649962438058617,0.4618566463498424,1.0,0.01,57735
1,1,100,0.45317305164393007,-0.14369640397465344,1.0,0.1,57735
1,1,100,0.7209306891890551,0.5686439500711885,1.0,0.2,57735
1,1,100,0.6924453219412349,0.4893364155116781,1.0,0.3,57735
1,1,100,0.610452642968915,0.2684026743457839,1.0,0.4,57735
1,1,100,0.7505084764421022,0.6643086218403658,1.0,0.5,57735
2,2,100,0.3078423761918596,-0.7652996178826735,0.9999520199596967,0.01,41685
2,2,100,0.368699884954603,-0.36614879329228917,0.9999520199596967,0.1,41685
2,2,100,0.06579885713356609,-1.5324726287737913,0.9999520199596967,0.2,41685
2,2,100,0.5241832038862833,0.045004200119145694,0.9999520199596967,0.3,41685
2,2,100,0.9744808510303267,1.9361404969570744,0.9999520199596967,0.4,41685
2,2,100,0.093106899087925,-1.3356815229602106,0.9999520199596967,0.5,41685
control,control,100,0.46756814641995625,-0.48110300958079405,0.9998309954368768,0.01,11835
control,control,100,0.18114020711465179,-0.977966925128406,0.9998309954368768,0.1,11835
control,control,100,0.6908611679904636,0.4621795952883217,0.9998309954368768,0.2,11835
control,control,100,0.1218944048121238,-1.1974294257771672,0.9998309954368768,0.3,11835
control,control,100,0.46988084152289267,-0.10220846405824334,0.9998309954368768,0.4,11835
control,control,100,0.1307263180845841,-1.1488673992977705,0.9998309954368768,0.5,11835
