test_group,reference,k,p,z,s,d,N
control,control,100,1.000000000000359,0.4855247032320097,1.0,0.01,3735
control,control,100,0.6302166363535633,0.2240934431794035,1.0,0.1,3735
control,control,100,0.29055731641101484,-0.6171031862688702,1.0,0.2,3735
control,control,100,0.3513097156810926,-0.4344297501328839,1.0,0.3,3735
control,control,100,0.7979569924127613,0.7861844351356445,1.0,0.4,3735
control,control,100,0.9381779887794233,1.4928692384025457,1.0,0.5,3735
D1.5,D1.5,100,0.9999999999990805,0.2496042496424641,1.0,0.01,1956
D1.5,D1.5,100,0.5781951807159011,0.06769909568602268,1.0,0.1,1956
D1.5,D1.5,100,0.01570623857408834,-2.2871976796634033,1.0,0.2,1956
D1.5,D1.5,100,0.4003748307288657,-0.3238099597426281,1.0,0.3,1956
D1.5,D1.5,100,0.6467776444089898,0.3102035383372664,1.0,0.4,1956
D1.5,D1.5,100,0.07819472876060493,-1.480427548573465,1.0,0.5,1956
D2,D2,100,0.9999999999959472,0.8111534428610007,0.9997931747673217,0.01,9670
D2,D2,100,0.29966736053746873,-0.5917265372213364,0.9997931747673217,0.1,9670
D2,D2,100,0.48612354457018825,-0.07417846134599135,0.9997931747673217,0.2,9670
D2,D2,100,0.9527952304655533,1.6349153478453258,0.9997931747673217,0.3,9670
D2,D2,100,0.3328894588810159,-0.4616273198213001,0.9997931747673217,0.4,9670
D2,D2,100,0.3951758515437795,-0.2945950943012641,0.9997931747673217,0.5,9670
D2.5,D2.5,100,0.9999999999990947,0.7711324414934053,0.9994216310005783,0.01,6916
D2.5,D2.5,100,0.6105468129791864,0.20611240431058517,0.9994216310005783,0.1,6916
D2.5,D2.5,100,0.24175913038305827,-0.7501507863555738,0.9994216310005783,0.2,6916
D2.5,D2.5,100,0.8530450239303766,1.0092414883438507,0.9994216310005783,0.3,6916
D2.5,D2.5,100,0.20583858580102019,-0.8561163514076772,0.9994216310005783,0.4,6916
D2.5,D2.5,100,0.2788740724564804,-0.6201325808730793,0.9994216310005783,0.5,6916
D3,D3,100,0.9999999999969271,0.5313202376675936,1.0,0.01,6821
D3,D3,100,0.6114519014977433,0.203841705445759,1.0,0.1,6821
D3,D3,100,0.9832094687662096,2.048611547001401,1.0,0.2,6821
D3,D3,100,0.30212763849068763,-0.5572368291331949,1.0,0.3,6821
D3,D3,100,0.5773386224473929,0.15998970799193987,1.0,0.4,6821
D3,D3,100,0.5679502410627023,0.13688676351015622,1.0,0.5,6821
D3.5,D3.5,100,0.9999999999998737,0.6081001721030492,0.9997520456236053,0.01,8066
D3.5,D3.5,100,0.6872716585949021,0.4140811371200883,0.9997520456236053,0.1,8066
D3.5,D3.5,100,0.6928583027900256,0.4583492119935944,0.9997520456236053,0.2,8066
D3.5,D3.5,100,0.1586384174921761,-1.0368162575554667,0.9997520456236053,0.3,8066
D3.5,D3.5,100,0.45878042564464494,-0.13606036260332283,0.9997520456236053,0.4,8066
D3.5,D3.5,100,0.7888512120543454,0.770843041058519,0.9997520456236053,0.5,8066
D4,D4,100,0.07297925481824857,-2.345857756378199,0.999776835527784,0.01,8962
D4,D4,100,0.418540695767288,-0.27126709760642864,0.999776835527784,0.1,8962
D4,D4,100,0.9892675743972604,2.2309732416700374,0.999776835527784,0.2,8962
D4,D4,100,0.11258251796958837,-1.2491084509905428,0.999776835527784,0.3,8962
D4,D4,100,0.5793405772326781,0.1694135720069293,0.999776835527784,0.4,8962
D4,D4,100,0.6074696030295195,0.24282172701980945,0.999776835527784,0.5,8962
D4.5,D4.5,100,0.9999999999988989,0.5536957359074226,1.0,0.01,7127
D4.5,D4.5,100,0.7738074590941713,0.6677130207532018,1.0,0.1,7127
D4.5,D4.5,100,0.4374294427028481,-0.2032851922988828,1.0,0.2,7127
D4.5,D4.5,100,0.48850581097264867,-0.06675192341371902,1.0,0.3,7127
D4.5,D4.5,100,0.22379494485205426,-0.7940048391579029,1.0,0.4,7127
D4.5,D4.5,100,0.5984714761588459,0.2158570669097271,1.0,0.5,7127
D5,D5,100,0.9999999999983199,0.4398583698401107,1.0,0.01,7227
D5,D5,100,0.9985877454939438,2.7122094431788693,1.0,0.1,7227
D5,D5,100,0.792022698998959,0.7640483347593798,1.0,0.2,7227
D5,D5,100,0.7482931184216006,0.6303443856790588,1.0,0.3,7227
D5,D5,100,0.7448832589121516,0.6240548673990617,1.0,0.4,7227
D5,D5,100,0.40094299686602153,-0.2841514082182326,1.0,0.5,7227
D5.5,D5.5,100,1.0000000000018536,0.4978811189882004,1.0,0.01,6550
D5.5,D5.5,100,0.8440557878462291,0.9098216468238883,1.0,0.1,6550
D5.5,D5.5,100,0.6918222990126651,0.4511874684817828,1.0,0.2,6550
D5.5,D5.5,100,0.36762600215491037,-0.3779584267044019,1.0,0.3,6550
D5.5,D5.5,100,0.08634478786582017,-1.4000554111209271,1.0,0.4,6550
D5.5,D5.5,100,0.9902484070748893,2.300174040502121,1.0,0.5,6550
D6,D6,100,0.36827691294077636,-0.8173598424333326,1.0,0.01,8422
D6,D6,100,0.9176749649382575,1.286034487968455,1.0,0.1,8422
D6,D6,100,0.12573829479200174,-1.1971915254065835,1.0,0.2,8422
D6,D6,100,0.03401162575241287,-1.8662614733782665,1.0,0.3,8422
D6,D6,100,0.5297716132150183,0.04284241935441845,1.0,0.4,8422
D6,D6,100,0.23422166407042574,-0.7557562608456553,1.0,0.5,8422
D6.5,D6.5,100,1.000000000000453,0.5201773417466307,1.0,0.01,3111
D6.5,D6.5,100,0.8658986676692979,0.9451358810458208,1.0,0.1,3111
D6.5,D6.5,100,0.38506314768402666,-0.3631684351258637,1.0,0.2,3111
D6.5,D6.5,100,0.39666321854312675,-0.31918309932065236,1.0,0.3,3111
D6.5,D6.5,100,0.05605903831416848,-1.6421295934325801,1.0,0.4,3111
D6.5,D6.5,100,0.6299884712212613,0.281008583931994,1.0,0.5,3111
D7,D7,100,0.2401023238446385,-1.4081003801241867,1.0,0.01,6507
D7,D7,100,0.837802362853746,0.8894034267613687,1.0,0.1,6507
D7,D7,100,0.06610886735231034,-1.5686333825797434,1.0,0.2,6507
D7,D7,100,0.9564888803706776,1.6637052277761337,1.0,0.3,6507
D7,D7,100,0.7341363732288546,0.5891919857981454,1.0,0.4,6507
D7,D7,100,0.9946314202893974,2.515293782327126,1.0,0.5,6507
D7.5,D7.5,100,0.9999999999988405,0.5475818090620075,1.0,0.01,5061
D7.5,D7.5,100,0.38326292127228756,-0.38570699346159726,1.0,0.1,5061
D7.5,D7.5,100,0.060681964484954026,-1.6205128242500888,1.0,0.2,5061
D7.5,D7.5,100,0.3054874764694013,-0.5538707449361805,1.0,0.3,5061
D7.5,D7.5,100,0.9457347729915867,1.5623537861110721,1.0,0.4,5061
D7.5,D7.5,100,0.5130272308668741,-0.007104852444251966,1.0,0.5,5061
D8,D8,100,0.9999999999950416,0.8043037547057226,1.0,0.01,11088
D8,D8,100,0.20504541340997445,-0.891179963696507,1.0,0.1,11088
D8,D8,100,0.1983407608483314,-0.8874334789894159,1.0,0.2,11088
D8,D8,100,0.6231796681585394,0.28341864537751743,1.0,0.3,11088
D8,D8,100,0.5678105749715727,0.14324841321298465,1.0,0.4,11088
D8,D8,100,0.01777418742749819,-2.12861791291283,1.0,0.5,11088
D8.5,D8.5,100,0.30376917157464556,-1.0911531758750446,1.0,0.01,3573
D8.5,D8.5,100,0.49872545203749585,-0.1069190878091547,1.0,0.1,3573
D8.5,D8.5,100,0.5746616429393135,0.12130485865725414,1.0,0.2,3573
D8.5,D8.5,100,0.703025267324028,0.4791756995494369,1.0,0.3,3573
D8.5,D8.5,100,0.23526898296347165,-0.7706907272986326,1.0,0.4,3573
D8.5,D8.5,100,0.7430330973091915,0.6052395029020562,1.0,0.5,3573
D9,D9,100,0.9999999999986914,0.3535410342861952,1.0,0.01,3079
D9,D9,100,0.6068721919281376,0.16093486475026658,1.0,0.1,3079
D9,D9,100,0.7771569947319389,0.6879158548885297,1.0,0.2,3079
D9,D9,100,0.3389842793564289,-0.4729967860442472,1.0,0.3,3079
D9,D9,100,0.0391347188201495,-1.8142869422881902,1.0,0.4,3079
D9,D9,100,0.7963429987302084,0.7774015218666155,1.0,0.5,3079
D9.5,D9.5,100,0.9999999999994496,0.2900694546724282,1.0,0.01,2297
D9.5,D9.5,100,0.040746484822910156,-1.9720847976906926,1.0,0.1,2297
D9.5,D9.5,100,0.40339768967474937,-0.3282764711451471,1.0,0.2,2297
D9.5,D9.5,100,0.14378073691406162,-1.1343975587962234,1.0,0.3,2297
D9.5,D9.5,100,0.762111040632873,0.6522224235270313,1.0,0.4,2297
D9.5,D9.5,100,0.02488290644806732,-2.0197319220890386,1.0,0.5,2297
D10,D10,100,1.000000000000406,0.3704502330365568,1.0,0.01,2419
D10,D10,100,0.9091155811475785,1.1487035603098843,1.0,0.1,2419
D10,D10,100,0.9401991570598855,1.4478420689528348,1.0,0.2,2419
D10,D10,100,0.5369607144010774,0.027607445311878795,1.0,0.3,2419
D10,D10,100,0.4461371702633972,-0.19417836540045255,1.0,0.4,2419
D10,D10,100,0.9187091379324291,1.338261873601885,1.0,0.5,2419
D10.5,D10.5,100,0.9999999999989195,0.2961184555517866,1.0,0.01,1986
D10.5,D10.5,100,0.2448522891550199,-0.8478523630548794,1.0,0.1,1986
D10.5,D10.5,100,0.11815327566750533,-1.2893499070940673,1.0,0.2,1986
D10.5,D10.5,100,0.23708101413780758,-0.78851011047026,1.0,0.3,1986
D10.5,D10.5,100,0.08156416887903462,-1.4601055715558868,1.0,0.4,1986
D10.5,D10.5,100,0.13021750551128422,-1.1882275114604866,1.0,0.5,1986
D11,D11,100,0.9999999999998134,0.313869516887156,1.0,0.01,2612
D11,D11,100,0.32353026629619447,-0.5848055417769099,1.0,0.1,2612
D11,D11,100,0.9323574630859442,1.3906141310665006,1.0,0.2,2612
D11,D11,100,0.4466280534220913,-0.19575729413181672,1.0,0.3,2612
D11,D11,100,0.6124086027948834,0.2288288777268699,1.0,0.4,2612
D11,D11,100,0.23216689274873048,-0.7868050780883051,1.0,0.5,2612
D11.5,D11.5,100,0.9999999999995266,0.2784090467523924,1.0,0.01,2242
D11.5,D11.5,100,0.28056713939860833,-0.7244242633054259,1.0,0.1,2242
D11.5,D11.5,100,0.5718568273282804,0.10048142562693713,1.0,0.2,2242
D11.5,D11.5,100,0.4088796619650947,-0.29785230930657786,1.0,0.3,2242
D11.5,D11.5,100,0.6463617902490222,0.31385352772254366,1.0,0.4,2242
D11.5,D11.5,100,0.3897441954394956,-0.3396063702821197,1.0,0.5,2242
D12,D12,100,1.000000000000783,0.296537527542204,1.0,0.01,2429
D12,D12,100,0.9857871962558398,1.8766851832492908,1.0,0.1,2429
D12,D12,100,0.23137995556073054,-0.8176701888269826,1.0,0.2,2429
D12,D12,100,0.37554719978840434,-0.3830734376353048,1.0,0.3,2429
D12,D12,100,0.7143037808126476,0.5070695896067342,1.0,0.4,2429
D12,D12,100,0.6385388177295974,0.2970136577976376,1.0,0.5,2429
D12.5,D12.5,100,1.0000000000006708,0.39940719754345705,1.0,0.01,2253
D12.5,D12.5,100,0.8301897432830397,0.7984296150680223,1.0,0.1,2253
D12.5,D12.5,100,0.9975371801288668,2.6332725491911337,1.0,0.2,2253
D12.5,D12.5,100,0.4308233398594764,-0.24219766785615812,1.0,0.3,2253
D12.5,D12.5,100,0.5008142662636504,-0.05926253726037983,1.0,0.4,2253
D12.5,D12.5,100,0.9521099920486438,1.6050882661071062,1.0,0.5,2253
D13,D13,100,0.9999999999993844,0.36251217962948923,1.0,0.01,2146
D13,D13,100,0.3703044183537828,-0.4681763479720916,1.0,0.1,2146
D13,D13,100,0.7988443724026838,0.743525519575328,1.0,0.2,2146
D13,D13,100,0.3089921003464389,-0.5695664958688127,1.0,0.3,2146
D13,D13,100,0.0649593546049757,-1.5782828030690554,1.0,0.4,2146
D13,D13,100,0.8896204985783851,1.1626202178034226,1.0,0.5,2146
D13.5,D13.5,100,1.000000000000277,0.3741009262074295,1.0,0.01,2373
D13.5,D13.5,100,0.5497312539583834,-0.0014887225146103626,1.0,0.1,2373
D13.5,D13.5,100,0.9710657373453304,1.769938095624035,1.0,0.2,2373
D13.5,D13.5,100,0.429712224610326,-0.24194151332820568,1.0,0.3,2373
D13.5,D13.5,100,0.9453392406836091,1.5385972162615484,1.0,0.4,2373
D13.5,D13.5,100,0.5443759000121982,0.053351421181067574,1.0,0.5,2373
D14,D14,100,1.0000000000005538,0.48393750900384147,1.0,0.01,3758
D14,D14,100,0.8703212536074995,0.9824706943137282,1.0,0.1,3758
D14,D14,100,0.1736052089380456,-1.0104739675507823,1.0,0.2,3758
D14,D14,100,0.6907443040484594,0.44417503986278545,1.0,0.3,3758
D14,D14,100,0.3372908415750627,-0.4675579915919967,1.0,0.4,3758
D14,D14,100,0.3953980856192633,-0.3113499785940734,1.0,0.5,3758
D14.5,D14.5,100,0.9999999999996276,0.3902221488184413,1.0,0.01,2723
D14.5,D14.5,100,0.6839450970531117,0.35123638149068237,1.0,0.1,2723
D14.5,D14.5,100,0.4810566644124027,-0.12206650800352872,1.0,0.2,2723
D14.5,D14.5,100,0.6916922582407719,0.43868637292334567,1.0,0.3,2723
D14.5,D14.5,100,0.7528768819556828,0.6268228530739013,1.0,0.4,2723
D14.5,D14.5,100,0.5227562445207721,0.002756277122891767,1.0,0.5,2723
D15,D15,100,0.9999999999980244,0.4850290097999267,1.0,0.01,3923
D15,D15,100,0.4736769394968979,-0.1650911104039983,1.0,0.1,3923
D15,D15,100,0.48779693128769575,-0.09491155120622104,1.0,0.2,3923
D15,D15,100,0.2711986588858048,-0.6607962105765337,1.0,0.3,3923
D15,D15,100,0.28281697484095003,-0.6212392833535079,1.0,0.4,3923
D15,D15,100,0.6460193926062716,0.32935431181474567,1.0,0.5,3923
