test_group,reference,k,p,z,s,d,N
0.0,0.0,100,0.9999999999987226,0.6273278233852898,1.0,0.01,7784
0.0,0.0,100,0.4731762826736763,-0.13409254257376524,1.0,0.1,7784
0.0,0.0,100,0.0974601801585162,-1.3507277887672031,1.0,0.2,7784
0.0,0.0,100,0.9676035453576198,1.8042921664924052,1.0,0.3,7784
0.0,0.0,100,0.6845233906171964,0.44741820016083766,1.0,0.4,7784
0.0,0.0,100,0.16745272310250434,-0.9962171209601581,1.0,0.5,7784
10.0,10.0,100,0.5953179748396322,0.06905362925621827,0.9591399729056505,0.01,91533
10.0,10.0,100,0.5403218719412913,0.08024700377649238,0.9591399729056505,0.1,91533
10.0,10.0,100,0.4356919763182119,-0.17503970515970033,0.9591399729056505,0.2,91533
10.0,10.0,100,0.515791858710509,0.028844003961180958,0.9591399729056505,0.3,91533
10.0,10.0,100,0.5483020832778008,0.11156726975856936,0.9586592667045405,0.4,91533
10.0,10.0,100,0.07302846670831796,-1.4631297173148625,0.9586592667045405,0.5,91533
100.0,100.0,100,0.40236930116402164,-0.41687942731949473,0.9557009816259754,0.01,87406
100.0,100.0,100,0.5727664684753804,0.16164712114687527,0.9557009816259754,0.1,87406
100.0,100.0,100,0.5308535650358731,0.06399508056466713,0.9557009816259754,0.2,87406
100.0,100.0,100,0.28947159341262796,-0.5661349085753558,0.9557009816259754,0.3,87406
100.0,100.0,100,0.055547746359244476,-1.6036705322036087,0.9557009816259754,0.4,87406
100.0,100.0,100,0.4853896541629041,-0.046416657942130554,0.9557009816259754,0.5,87406
1000.0,1000.0,100,0.0009061448384686478,-3.974619584141643,0.9654450519678833,0.01,81205
1000.0,1000.0,100,0.6291130072969323,0.30687833789532054,0.9661346731688094,0.1,81205
1000.0,1000.0,100,0.1326365869638721,-1.130256451612439,0.9661346731688094,0.2,81205
1000.0,1000.0,100,0.2902937222111375,-0.5640693555519045,0.9661346731688094,0.3,81205
1000.0,1000.0,100,0.8934794216284584,1.2346585459143005,0.9661346731688094,0.4,81205
1000.0,1000.0,100,0.5893682156211918,0.21581964314443206,0.9661346731688094,0.5,81205
