k,n_obs,n_var,n_edges,t_NN [s],t_matching [s],Peak Memory [MB] kNN,Peak Memory [MB] matching,s
10,2000,10,16870,23.348529,0.151152,162.87,166.19,1.0
10,2000,1000,20282,23.147186,0.103578,194.87,197.88,0.954
10,2000,500,20355,23.162415,0.111944,180.23,182.65,0.952
10,2000,2000,20404,23.193080,0.083107,222.46,226.32,0.93
20,2000,500,37595,23.163978,0.122795,183.30,186.91,0.975
20,2000,2000,37554,23.163660,0.107121,211.25,213.28,0.971
20,2000,1000,37406,23.216089,0.106514,187.91,191.36,0.978
20,2000,10,31629,23.301344,0.161940,164.93,168.66,1.0
50,2000,10,76173,23.580931,0.172997,176.02,178.88,1.0
50,2000,500,85249,23.491570,0.161499,176.02,183.58,0.996
50,2000,1000,87489,23.518833,0.172620,191.48,198.12,0.994
50,2000,2000,87223,23.526419,0.175227,204.68,211.90,0.994
100,2000,10,148418,23.543229,0.266196,178.15,183.03,1.0
100,2000,500,164678,23.613990,0.228911,196.17,198.80,0.995
100,2000,1000,163479,23.587473,0.221464,199.39,205.36,0.997
100,2000,2000,163760,24.200185,0.235903,219.14,226.48,0.996
200,2000,10,286876,24.673779,0.350446,237.30,239.20,1.0
200,2000,2000,315907,24.949653,0.317303,262.20,264.92,0.997
200,2000,1000,312177,24.526229,0.359303,230.38,233.52,0.999
200,2000,500,313513,24.582530,0.345510,237.69,239.27,0.999
500,2000,1000,711581,26.502202,0.764699,227.67,227.04,1.0
500,2000,2000,713487,26.538641,0.748568,263.76,246.93,1.0
500,2000,10,684437,26.804036,0.714928,232.59,231.55,1.0
500,2000,500,708441,31.426506,0.711043,245.14,273.36,1.0
1000,2000,500,1266885,30.643138,1.254769,313.96,317.28,1.0
1000,2000,1000,1265309,30.645508,1.278174,325.81,329.09,1.0
1000,2000,10,1266635,30.816688,1.434355,301.69,333.64,1.0
1000,2000,2000,1270331,31.059132,1.290289,293.27,295.48,1.0
None,2000,500,2001000,0.627279,1.464453,47.34,140.12,1.0
None,2000,1000,2001000,1.334309,1.521968,62.59,225.40,1.0
None,2000,2000,2001000,2.959197,1.416359,93.36,96.45,1.0
None,2000,10,2001000,0.026017,1.432889,32.21,197.88,1.0
