k,n_obs,n_var,n_edges,t_NN [s],t_matching [s],Peak Memory [MB] kNN,Peak Memory [MB] matching,s
10,10000,2000,105381,23.982532,2.568829,543.91,547.01,0.867
10,10000,10,84086,23.701975,4.636949,204.61,207.33,0.9998
10,10000,500,104323,23.640970,2.705380,271.30,279.67,0.915
10,10000,1000,105152,23.593213,2.581042,346.31,353.88,0.8794
20,10000,500,196859,24.291156,3.142741,263.00,270.04,0.9664
20,10000,10,158384,24.126758,4.778127,209.85,215.16,1.0
20,10000,1000,197891,24.459601,3.212458,349.05,352.11,0.9618
20,10000,2000,199170,24.505321,3.064863,488.72,491.63,0.9334
50,10000,10,381007,24.937807,6.644879,322.43,318.52,1.0
50,10000,1000,461335,25.162238,3.711471,382.32,385.07,0.9918
50,10000,500,458230,26.237608,3.563372,226.64,239.30,0.9923
50,10000,2000,464054,25.830813,3.515526,518.96,521.29,0.9864
100,10000,10,751153,26.955352,6.079257,460.22,463.23,1.0
100,10000,500,881472,26.783341,4.775190,419.04,392.06,0.999
100,10000,1000,886242,27.443491,4.500038,429.13,418.02,0.9966
100,10000,2000,893967,29.114245,4.370358,563.90,566.52,0.9932
200,10000,500,1705509,31.056221,5.999886,509.33,504.46,0.999
200,10000,10,1487674,29.757844,7.952058,573.40,576.18,1.0
200,10000,1000,1711470,33.326803,5.527910,588.34,591.34,0.9968
200,10000,2000,1723868,37.104818,6.109145,667.16,683.86,0.9978
500,10000,10,3662587,41.276114,13.412497,562.29,564.40,1.0
500,10000,500,4050836,46.084149,10.741005,673.96,635.58,0.9998
500,10000,1000,4065135,49.265944,10.088842,803.62,775.58,0.9998
500,10000,2000,4084590,55.114456,10.596376,902.32,874.54,0.9992
1000,10000,10,7197133,66.291435,24.296906,875.02,868.22,1.0
1000,10000,500,7715383,71.268563,17.935203,804.51,864.86,1.0
1000,10000,1000,7775674,72.766344,16.655362,846.84,866.01,1.0
1000,10000,2000,7786934,86.846760,17.712134,1024.43,975.68,0.9998
2000,10000,500,14505920,147.056318,28.492285,1132.13,1045.00,1.0
2000,10000,1000,14534218,154.419986,29.415268,1187.16,1143.76,1.0
2000,10000,10,13852301,150.589988,39.701042,1052.29,987.21,1.0
2000,10000,2000,14598157,175.317451,29.371653,1349.50,1351.17,1.0
5000,10000,500,31714361,717.515989,65.634915,1171.39,1206.86,1.0
5000,10000,1000,31649717,727.255920,78.008360,1386.38,1517.45,1.0
5000,10000,10,31586848,721.217965,89.738750,1185.78,1626.10,1.0
5000,10000,2000,31727588,755.306387,67.668281,1409.65,1482.71,1.0
None,10000,10,50005000,0.589438,114.374636,767.75,2715.54,1
None,10000,500,50005000,23.665200,79.635927,842.73,2145.57,1
None,10000,1000,50005000,44.049613,76.623040,918.96,2191.88,1
None,10000,2000,50005000,75.022005,76.991098,1071.73,1398.53,1
