test_group,split_1,split_2,k,p,a1,E,var,z,s,effect_size
D2.5,split_10,split_10,100,5.155419000914133e-119,17,240.7644894204232,106.40880161558829,-21.692139600336862,0.9990817263544536,0.9293915807894968
D2.5,split_10,split_30,100,1.2055915342628675e-223,23,440.72623574144484,210.76551238181858,-28.773452667214155,1.0,0.9478134085634669
D2.5,split_10,split_50,100,6.3003619527456006e-288,23,525.2717850287908,211.59060803865034,-34.52952381555428,0.9996164173379364,0.9562131440226904
D2.5,split_30,split_10,100,7.969757292226326e-188,18,308.65315852205003,75.5134147969111,-33.447448352757036,1.0,0.9416821130676553
D2.5,split_30,split_30,100,0.0,29,734.3961456102784,329.7234787521414,-38.84705904382049,0.9996942830938551,0.9605117753227025
D2.5,split_30,split_50,100,0.0,26,1004.3925650557621,499.77685701673073,-43.76481258357279,1.0,0.9741137072250664
D2.5,split_50,split_10,100,2.1812940962246024e-209,26,327.1395881006865,54.28296642817916,-40.872957686630194,0.9997458703939008,0.920523223279239
D2.5,split_50,split_30,100,0.0,37,848.9385534457009,307.2989237878478,-46.317236976266585,1.0,0.9564161624538983
D2.5,split_50,split_50,100,0.0,46,1231.328563566318,556.0428346084515,-50.26719201092097,0.9998166147075005,0.9626419776482977
D17.5,split_10,split_10,100,1.2911642144669138e-113,0,187.90945406125167,93.7838543966259,-19.40370181091672,1.0,1.0
D17.5,split_10,split_30,100,6.681397890698593e-185,1,289.54291417165666,111.3198617359676,-27.34790638308461,0.9993355481727575,0.9965462805302597
D17.5,split_10,split_50,100,2.214611923112082e-227,0,324.44953724107535,92.5831960112103,-33.71949600217336,1.0,1.0
D17.5,split_30,split_10,100,3.9188331130053845e-187,0,280.36968576709796,96.64008761428028,-28.5201888800541,0.9993846153846154,1.0
D17.5,split_30,split_30,100,0.0,5,592.3201514514093,294.9480771907108,-34.19811098890973,1.0,0.9915586191221958
D17.5,split_30,split_50,100,0.0,4,755.7440305635148,363.42357164818304,-39.43332898676384,0.9996818326439707,0.9947072026529704
