test_group,split_1,split_2,k,p,a1,E,var,z,s,effect_size
1,split_10,split_10,100,7.915779686690354e-19,232,339.6783302639656,141.4157218446856,-9.054812570918061,1.0,0.31700088192346065
1,split_10,split_30,100,1.560145640184448e-23,314,423.1419141914191,90.74215780106015,-11.457424793990414,0.9997462572951028,0.25793217483542874
1,split_10,split_50,100,7.307763199899046e-27,340,445.3683046294833,62.55968340885436,-13.321794229845086,0.9998420470699731,0.2365868956865772
1,split_30,split_10,100,1.8329850468237452e-21,470,637.8271987601705,314.9947330589266,-9.456070461285414,1.0,0.2631233021834104
1,split_30,split_30,100,2.7905946832931678e-45,718,1013.8564710693109,420.08226118144705,-14.434904044318182,0.9997956264050685,0.29181297305058584
1,split_30,split_50,100,6.612528875106912e-51,846,1151.7692624639474,364.1765804902545,-16.022778125193664,0.999862693944803,0.26547788036105757
1,split_50,split_10,100,3.498997965738846e-17,618,774.6640204139495,340.04520879630644,-8.495734610426215,0.9997166336072542,0.20223479635756736
1,split_50,split_30,100,3.605934903563399e-64,970,1409.977728285078,680.9347785884024,-16.86079060486019,0.9996575342465753,0.31204587097997094
1,split_50,split_50,100,4.410760197552214e-77,1190,1691.7758599732588,695.5413457819541,-19.026034865956852,0.9997569866342649,0.29659712722298226
2,split_10,split_10,100,1.974543090722774e-15,19,43.3375314861461,3.086297903829366,-13.853439245777555,0.9991617770326907,0.5615809357744842
2,split_10,split_30,100,7.074134584601706e-15,25,44.43477019697402,1.1025501469642485,-18.50888401807456,1.0,0.43737753364813203
2,split_10,split_50,100,3.995860185444684e-17,25,44.66389407570871,0.6623194226287719,-24.162161377250595,0.999660671869698,0.440263762993368
2,split_30,split_10,100,5.531609317725819e-44,33,116.04941176470588,20.976302528153262,-18.133101467211873,0.9992169146436961,0.7156383690517224
2,split_30,split_30,100,1.6770469933903602e-56,41,124.39671034290494,8.563539656230788,-28.4985171556699,1.0,0.6704092906719019
2,split_30,split_50,100,8.609640984687012e-57,49,126.23648535564854,5.29362589974593,-33.56957784145087,0.9996654399464704,0.6118396368375487
2,split_50,split_10,100,1.1384957974215424e-60,52,184.7549378200439,49.7430507121879,-18.822810728861093,1.0,0.7185460880582832
2,split_50,split_30,100,1.2079863581416262e-84,64,206.89692684253467,23.183369474853123,-29.677998639203828,0.9997281870073389,0.6906672275093327
2,split_50,split_50,100,2.559226453601605e-88,76,212.05867809461017,14.75905169897408,-35.41579704203701,0.9998352282089307,0.6416086307673174
