test_group,split_1,split_2,k,p,a1,E,var,z,s,effect_size
withdraw_15d_Cocaine,split_10,split_10,100,4.1241864018167686e-26,35,102.08658743633276,35.160425032230606,-11.313803786062484,0.9983079526226735,0.6571537860267092
withdraw_15d_Cocaine,split_10,split_30,100,3.891245106231215e-68,42,208.34326579261025,103.22239697810664,-16.37262269815632,1.0,0.7984096109839817
withdraw_15d_Cocaine,split_10,split_50,100,1.3112079013977842e-73,70,267.8798908098271,130.34048497625355,-17.332531403896006,1.0,0.7386888586956522
withdraw_15d_Cocaine,split_30,split_10,100,1.3366606857057127e-35,47,119.87655127367734,18.64030215042108,-16.879568427708648,1.0,0.6079299954776032
withdraw_15d_Cocaine,split_30,split_30,100,1.884297088794406e-91,82,299.044406970208,100.31346419042562,-21.670502639295993,0.9994385176866929,0.7257932330827068
withdraw_15d_Cocaine,split_30,split_50,100,1.432233563914391e-133,106,439.4310936733693,189.16078055306832,-24.24323371150337,0.9995100440960314,0.7587790178571429
withdraw_15d_Cocaine,split_50,split_10,100,8.561402493760366e-43,49,124.22862823061631,12.183464738424243,-21.55250414686493,1.0,0.6055659577192056
withdraw_15d_Cocaine,split_50,split_30,100,8.435850282474746e-114,90,327.8754976474846,77.63452840270786,-26.99741921304578,0.9996383363471971,0.7255055634051573
withdraw_15d_Cocaine,split_50,split_50,100,1.5992492176410396e-170,120,504.71716837578566,168.31162057920912,-29.654084226693502,0.9996694214876033,0.7622430788590604
withdraw_48h_Cocaine,split_10,split_10,100,0.13014593003797378,67,74.79537953795379,36.67477355939271,-1.2872222683300976,0.9967213114754099,0.10422274191413317
withdraw_48h_Cocaine,split_10,split_30,100,0.00012620937191481664,92,119.56600361663652,51.45721675948059,-3.8428254892970273,1.0,0.2305505142165759
withdraw_48h_Cocaine,split_10,split_50,100,2.334418985502328e-07,100,136.9741697416974,45.93082369096335,-5.4556476482855425,1.0,0.2699353448275862
withdraw_48h_Cocaine,split_30,split_10,100,0.006839124696272847,87,102.94398682042834,34.692629539385436,-2.7069380539056764,1.0,0.1548802150847376
withdraw_48h_Cocaine,split_30,split_30,100,2.4149454361702795e-06,164,211.55555555555554,104.44126033027948,-4.653344519716408,0.9988331388564761,0.22478991596638653
withdraw_48h_Cocaine,split_30,split_50,100,4.595024138525666e-09,206,273.21973094170403,133.6492392541158,-5.814515388902398,0.999104744852283,0.24602809873949583
withdraw_48h_Cocaine,split_50,split_10,100,0.09094063816688602,105,113.0168954593453,26.79323124615712,-1.548794059551923,0.9989462592202318,0.07093537144832618
withdraw_48h_Cocaine,split_50,split_30,100,6.491601644302957e-08,202,259.6825396825397,112.42734539965063,-5.440118944314884,1.0,0.22212713936430317
withdraw_48h_Cocaine,split_50,split_50,100,1.3353839850890574e-11,270,359.3136582017845,176.97180936377598,-6.713760312053285,1.0,0.24856738997555017
