k; n_obs; n_var; t_NN [s]; t_matching [s]
500; 1000; 2; 5.207743; 1.157953
500; 1000; 100; 0.607757; -1
500; 1000; 1000; 0.589627; -1
500; 1000; 2000; 0.638935; -1
500; 1000; 5000; 0.821889; -1
500; 5000; 2; 36.975676; 4.263298
500; 5000; 100; 15.404858; -1
500; 5000; 1000; 18.125876; -1
500; 5000; 2000; 22.894717; -1
500; 5000; 5000; 32.253562; -1
500; 10000; 2; 30.408224; 20.959855
500; 10000; 100; 32.153699; -1
500; 10000; 1000; 41.372246; -1
500; 10000; 2000; 52.006289; -1
500; 10000; 5000; 82.688610; -1
500; 20000; 2; 46.873931; 108.422884
500; 20000; 100; 63.169330; -1
500; 20000; 1000; 84.877616; -1
500; 20000; 2000; 102.755355; -1
500; 20000; 5000; 178.844474; -1
500; 50000; 2; 124.769609; 1100.448023
500; 50000; 100; 160.190909; -1
500; 50000; 1000; 198.263725; -1
500; 50000; 2000; 255.299782; -1
500; 50000; 5000; 463.790542; -1
500; 100000; 2; 265.662791; 5319.566698
500; 100000; 100; 328.417714; -1
500; 100000; 1000; 429.556195; -1
500; 100000; 2000; 495.201863; -1
500; 100000; 5000; 993.505905; -1
