k; n_obs; n_var; t_NN [s]; t_matching [s]
7500; 10000; 2; 1052.314309; 365.914543
7500; 10000; 100; 898.747533; -1
7500; 10000; 1000; 903.695160; -1
7500; 10000; 2000; 823.112986; -1
7500; 10000; 5000; 926.762810; -1
7500; 20000; 2; 2259.181089; 987.240593
7500; 20000; 100; 1832.868690; -1
7500; 20000; 1000; 1860.991683; -1
7500; 20000; 2000; 1923.869462; -1
7500; 20000; 5000; 2050.104258; -1
7500; 50000; 2; 6747.504434; 4151.185485
7500; 50000; 100; 5408.773245; -1
7500; 50000; 1000; 5367.298659; -1
7500; 50000; 2000; 5542.241049; -1
7500; 50000; 5000; 6110.377734; -1
7500; 100000; 2; 16674.012815; 22008.392631
7500; 100000; 100; 10913.520341; -1
7500; 100000; 1000; 11335.826461; -1
7500; 100000; 2000; 11618.723842; -1
7500; 100000; 5000; 13257.332499; -1
