k; n_obs; n_var; t_NN [s]; t_matching [s]
20; 5000; 2; 27.741159; 4.135561
20; 5000; 100; 2.756102; -1
20; 5000; 1000; 2.910928; -1
20; 5000; 2000; 3.017677; -1
20; 5000; 5000; 3.447222; -1
20; 10000; 2; 3.206440; 19.243079
20; 10000; 100; 3.417690; -1
20; 10000; 1000; 3.613123; -1
20; 10000; 2000; 3.891811; -1
20; 10000; 5000; 4.944689; -1
20; 20000; 2; 4.207870; 80.351801
20; 20000; 100; 5.031376; -1
20; 20000; 1000; 5.143051; -1
20; 20000; 2000; 5.900654; -1
20; 20000; 5000; 8.220953; -1
20; 50000; 2; 7.690157; 999.145833
20; 50000; 100; 9.175193; -1
20; 50000; 1000; 9.812350; -1
20; 50000; 2000; 12.219894; -1
20; 50000; 5000; 18.329053; -1
20; 100000; 2; 14.958380; 4243.649754
20; 100000; 100; 16.109479; -1
20; 100000; 1000; 19.273570; -1
20; 100000; 2000; 24.030766; -1
20; 100000; 5000; 33.073884; -1
