k; n_obs; n_var; t_NN [s]; t_matching [s]
5; 5000; 2; 40.074249; 3.044086
5; 5000; 100; 2.500329; -1
5; 5000; 1000; 2.534091; -1
5; 5000; 2000; 2.641411; -1
5; 5000; 5000; 2.756200; -1
5; 10000; 2; 1.999013; 16.259191
5; 10000; 100; 2.666699; -1
5; 10000; 1000; 2.780144; -1
5; 10000; 2000; 2.966638; -1
5; 10000; 5000; 3.338428; -1
5; 20000; 2; 2.661071; 79.164881
5; 20000; 100; 3.219848; -1
5; 20000; 1000; 3.566186; -1
5; 20000; 2000; 3.877621; -1
5; 20000; 5000; 5.035530; -1
5; 50000; 2; 4.676005; 815.451585
5; 50000; 100; 5.199187; -1
5; 50000; 1000; 7.087057; -1
5; 50000; 2000; 7.754358; -1
5; 50000; 5000; 8.800430; -1
5; 100000; 2; 7.984321; 3483.726828
5; 100000; 100; 9.507833; -1
5; 100000; 1000; 11.579998; -1
5; 100000; 2000; 12.384640; -1
5; 100000; 5000; 19.004062; -1
