k;  n_obs;  n_var;  t[s]
2;  10;     2;      0.000586
2;  100;    2;      0.014980
2;  1000;   2;      1.461905
2;  5000;   2;      80.293512
5;  10;     2;      0.001166
5;  100;    2;      0.051853
5;  1000;   2;      5.864672
5;  5000;   2;      189.296505
10; 10;     2;      0.000973
10; 100;    2;      0.10940810
10; 1000;   2;      9.838927
10; 5000;   2;      315.794277
15; 10;     2;      0.001362
15; 100;    2;      0.144448
15; 1000;   2;      13.409916
15; 5000;   2;      360.532617
