k; n_obs; n_var; t_NN [s]; t_matching [s]
5000; 10000; 2; 546.863780; 221.872778
5000; 10000; 100; 429.988989; -1
5000; 10000; 1000; 423.620419; -1
5000; 10000; 2000; 442.999649; -1
5000; 10000; 5000; 453.617604; -1
5000; 20000; 2; 1051.991798; 503.294029
5000; 20000; 100; 940.796663; -1
5000; 20000; 1000; 969.246900; -1
5000; 20000; 2000; 982.844484; -1
5000; 20000; 5000; 1180.699761; -1
5000; 50000; 2; 3217.819790; 2430.671176
5000; 50000; 100; 2633.560290; -1
5000; 50000; 1000; 2777.615848; -1
5000; 50000; 2000; 2908.638773; -1
5000; 50000; 5000; 3369.060566; -1
5000; 100000; 2; 7554.789907; 11108.217498
5000; 100000; 100; 5951.228640; -1
5000; 100000; 1000; 5985.828926; -1
5000; 100000; 2000; 6232.625589; -1
5000; 100000; 5000; 7511.062841; -1
