k; n_obs; n_var; t_NN [s]; t_matching [s]
50; 5000; 2; 28.766586; 3.661339
50; 5000; 100; 3.718414; -1
50; 5000; 1000; 4.075791; -1
50; 5000; 2000; 5.543470; -1
50; 5000; 5000; 7.083939; -1
50; 10000; 2; 5.494601; 19.612685
50; 10000; 100; 5.151403; -1
50; 10000; 1000; 6.447944; -1
50; 10000; 2000; 7.663082; -1
50; 10000; 5000; 11.701536; -1
50; 20000; 2; 8.595334; 85.399288
50; 20000; 100; 9.451572; -1
50; 20000; 1000; 10.793140; -1
50; 20000; 2000; 14.395220; -1
50; 20000; 5000; 20.906416; -1
50; 50000; 2; 18.476857; 1040.862283
50; 50000; 100; 17.939373; -1
50; 50000; 1000; 23.757367; -1
50; 50000; 2000; 30.884908; -1
50; 50000; 5000; 42.966299; -1
50; 100000; 2; 34.434926; 3840.842898
50; 100000; 100; 34.174999; -1
50; 100000; 1000; 46.873370; -1
50; 100000; 2000; 58.865815; -1
50; 100000; 5000; 84.813332; -1
