k; n_obs; n_var; t_NN [s]; t_matching [s]
1000; 5000; 2; 51.754880; 8.221955
1000; 5000; 100; 27.145984; -1
1000; 5000; 1000; 30.645719; -1
1000; 5000; 2000; 35.224199; -1
1000; 5000; 5000; 44.223041; -1
1000; 10000; 2; 47.724920; 27.236899
1000; 10000; 100; 55.064035; -1
1000; 10000; 1000; 66.591391; -1
1000; 10000; 2000; 73.368546; -1
1000; 10000; 5000; 104.834979; -1
1000; 20000; 2; 95.088672; 126.803932
1000; 20000; 100; 115.179453; -1
1000; 20000; 1000; 140.787815; -1
1000; 20000; 2000; 161.737023; -1
1000; 20000; 5000; 238.821877; -1
1000; 50000; 2; 255.104148; 1132.559532
1000; 50000; 100; 303.929337; -1
1000; 50000; 1000; 355.158335; -1
1000; 50000; 2000; 407.558000; -1
1000; 50000; 5000; 663.527267; -1
1000; 100000; 2; 547.724741; 5725.914007
1000; 100000; 100; 623.720032; -1
1000; 100000; 1000; 719.826353; -1
1000; 100000; 2000; 869.003747; -1
1000; 100000; 5000; 1442.171132; -1
