k; n_obs; n_var; t_NN [s]; t_matching [s]
10; 5000; 2; 26.033469; 3.562161
10; 5000; 100; 2.768428; -1
10; 5000; 1000; 2.504711; -1
10; 5000; 2000; 2.774983; -1
10; 5000; 5000; 3.352907; -1
10; 10000; 2; 2.796470; 22.290293
10; 10000; 100; 3.117344; -1
10; 10000; 1000; 3.174561; -1
10; 10000; 2000; 3.366662; -1
10; 10000; 5000; 3.976871; -1
10; 20000; 2; 3.369799; 84.163942
10; 20000; 100; 4.919469; -1
10; 20000; 1000; 5.115949; -1
10; 20000; 2000; 4.989888; -1
10; 20000; 5000; 6.146652; -1
10; 50000; 2; 5.965841; 1051.933006
10; 50000; 100; 8.050262; -1
10; 50000; 1000; 8.228657; -1
10; 50000; 2000; 9.850720; -1
10; 50000; 5000; 13.268043; -1
10; 100000; 2; 10.782190; 5300.334471
10; 100000; 100; 12.146446; -1
10; 100000; 1000; 14.554014; -1
10; 100000; 2000; 16.889955; -1
10; 100000; 5000; 27.715571; -1
