k; n_obs; n_var; t_NN [s]; t_matching [s]
10000; 20000; 2; 4241.084493; 2250.955760
10000; 20000; 100; 3892.999108; -1
10000; 20000; 1000; 3930.412972; -1
10000; 20000; 2000; 3739.587329; -1
10000; 20000; 5000; 4134.806164; -1
10000; 100000; 2; 28217.053673; 28173.390601
10000; 100000; 100; 18142.461283; -1
10000; 20000; 2; 4241.084493; 2250.955760
10000; 20000; 100; 3892.999108; -1
10000; 20000; 1000; 3930.412972; -1
10000; 20000; 2000; 3739.587329; -1
10000; 20000; 5000; 4134.806164; -1
10000; 50000; 2; 11724.737332; 6463.650371
10000; 50000; 100; 8972.436828; -1
10000; 50000; 1000; 8818.789839; -1
10000; 50000; 2000; 9068.482591; -1
10000; 50000; 5000; 9606.541965; -1
10000; 100000; 2; 28217.053673; 28173.390601
10000; 100000; 100; 18142.461283; -1
