k; n_obs; n_var; t_NN [s]; t_matching [s]
2500; 5000; 2; 109.872204; 23.522262
2500; 5000; 100; 73.239308; -1
2500; 5000; 1000; 75.525204; -1
2500; 5000; 2000; 78.399107; -1
2500; 5000; 5000; 90.582817; -1
2500; 10000; 2; 172.797598; 75.631923
2500; 10000; 100; 156.761788; -1
2500; 10000; 1000; 154.526575; -1
2500; 10000; 2000; 169.099768; -1
2500; 10000; 5000; 206.005307; -1
2500; 20000; 2; 337.470955; 234.936070
2500; 20000; 100; 350.474559; -1
2500; 20000; 1000; 374.731020; -1
2500; 20000; 2000; 387.748025; -1
2500; 20000; 5000; 496.982713; -1
2500; 50000; 2; 905.325738; 1567.027434
2500; 50000; 100; 899.338412; -1
2500; 50000; 1000; 949.034917; -1
2500; 50000; 2000; 1022.692476; -1
2500; 50000; 5000; 1378.446514; -1
2500; 100000; 2; 2100.715259; 9135.843662
2500; 100000; 100; 2124.134835; -1
2500; 100000; 1000; 2073.948647; -1
2500; 100000; 2000; 2178.165007; -1
2500; 100000; 5000; 2933.014814; -1
