k,n_obs,n_var,total_ram_gb
0,10000,1000,3.2
0,10000,10,3.1
0,10000,2000,7.0
0,10000,500,3.2
0,1000,1000,0.0
0,1000,10,0.0
0,1000,2000,0.0
0,1000,500,0.0
0,20000,1000,17.0
0,20000,10,18.6
0,20000,2000,18.6
0,20000,500,18.4
0,2000,1000,0.0
0,2000,10,0.0
0,2000,2000,0.0
0,2000,500,0.0
0,50000,1000,189.7
0,50000,10,180.4
0,50000,2000,174.4
0,50000,500,174.3
0,5000,1000,0.9
0,5000,10,0.0
0,5000,2000,1.0
0,5000,500,0.0
0,500,1000,0.0
0,500,10,0.0
0,500,2000,0.0
0,500,500,0.0
1000,10000,1000,1.7
1000,10000,10,1.6
1000,10000,2000,1.8
1000,10000,500,1.6
1000,20000,1000,3.6
1000,20000,10,3.4
1000,20000,2000,3.8
1000,20000,500,3.4
1000,2000,1000,0.3
1000,2000,10,0.3
1000,2000,2000,0.3
1000,2000,500,0.3
1000,50000,1000,9.9
1000,50000,10,9.3
1000,50000,2000,10.4
1000,50000,500,9.5
1000,5000,1000,0.6
1000,5000,10,0.4
1000,5000,2000,0.4
1000,5000,500,0.6
100,10000,1000,0.5
100,10000,10,0.5
100,10000,2000,0.7
100,10000,500,0.5
100,1000,1000,0.3
100,1000,10,0.0
100,1000,2000,0.0
100,1000,500,0.0
100,20000,1000,0.8
100,20000,10,0.8
100,20000,2000,1.0
100,20000,500,0.7
100,2000,1000,0.3
100,2000,10,0.3
100,2000,2000,0.3
100,2000,500,0.3
100,50000,1000,2.0
100,50000,10,1.4
100,50000,2000,2.6
100,50000,500,1.6
100,5000,1000,0.4
100,5000,10,0.4
100,5000,2000,0.5
100,5000,500,0.4
100,500,1000,0.0
100,500,10,0.0
100,500,2000,0.0
100,500,500,0.0
10,10000,1000,0.5
10,10000,10,0.3
10,10000,2000,0.7
10,10000,500,0.4
10,1000,1000,0.0
10,1000,10,0.0
10,1000,2000,0.3
10,1000,500,0.0
10,20000,1000,0.8
10,20000,10,0.3
10,20000,10,0.4
10,20000,2000,1.3
10,20000,500,0.6
10,2000,1000,0.0
10,2000,10,0.0
10,2000,2000,0.0
10,2000,500,0.0
10,50000,1000,1.5
10,50000,10,0.5
10,50000,2000,3.2
10,50000,500,1.1
10,5000,1000,0.3
10,5000,10,0.3
10,5000,2000,0.4
10,5000,500,0.3
10,500,1000,0.0
10,500,10,0.0
10,500,2000,0.0
10,500,500,0.0
2000,10000,1000,3.2
2000,10000,10,3.1
2000,10000,2000,3.2
2000,10000,500,3.1
2000,20000,1000,6.7
2000,20000,10,6.3
2000,20000,2000,6.8
2000,20000,500,6.6
2000,50000,1000,18.7
2000,50000,10,18.1
2000,50000,2000,19.0
2000,50000,500,18.7
2000,5000,1000,1.5
2000,5000,10,1.4
2000,5000,2000,1.5
2000,5000,500,1.4
200,10000,1000,0.6
200,10000,10,0.6
200,10000,2000,0.7
200,10000,500,0.6
200,1000,1000,0.3
200,1000,10,0.3
200,1000,2000,0.3
200,1000,500,0.3
200,20000,1000,1.1
200,20000,10,0.9
200,20000,2000,1.4
200,20000,500,1.0
200,2000,1000,0.3
200,2000,10,0.3
200,2000,2000,0.3
200,2000,500,0.3
200,50000,1000,2.7
200,50000,10,2.0
200,50000,2000,3.3
200,50000,500,2.4
200,5000,1000,0.4
200,5000,10,0.5
200,5000,2000,0.5
200,5000,500,0.4
200,500,1000,0.3
200,500,10,0.3
200,500,2000,0.3
200,500,500,0.0
20,10000,1000,0.4
20,10000,10,0.3
20,10000,2000,0.6
20,10000,500,0.4
20,1000,1000,0.0
20,1000,10,0.0
20,1000,2000,0.0
20,1000,500,0.0
20,20000,1000,0.7
20,20000,10,0.4
20,20000,2000,1.1
20,20000,500,0.5
20,2000,1000,0.0
20,2000,10,0.0
20,2000,2000,0.0
20,2000,500,0.0
20,50000,1000,1.3
20,50000,10,0.6
20,50000,2000,2.6
20,50000,500,0.9
20,5000,1000,0.3
20,5000,10,0.3
20,5000,2000,0.4
20,5000,500,0.3
20,500,1000,0.0
20,500,10,0.0
20,500,2000,0.0
20,500,500,0.0
5000,10000,1000,7.2
5000,10000,10,7.1
5000,10000,2000,6.9
5000,10000,500,7.1
5000,20000,1000,15.9
5000,20000,10,15.2
5000,20000,2000,16.3
5000,20000,500,15.5
5000,50000,1000,45.4
5000,50000,10,45.5
5000,50000,2000,47.2
5000,50000,500,45.5
500,10000,1000,0.9
500,10000,10,0.8
500,10000,2000,1.0
500,10000,500,0.8
500,1000,1000,0.3
500,1000,10,0.3
500,1000,2000,0.3
500,1000,500,0.3
500,20000,1000,2.0
500,20000,10,1.8
500,20000,2000,2.2
500,20000,500,1.9
500,2000,1000,0.3
500,2000,10,0.3
500,2000,2000,0.3
500,2000,500,0.3
500,50000,1000,5.4
500,50000,10,4.8
500,50000,2000,6.0
500,50000,500,5.1
500,5000,1000,0.5
500,5000,10,0.4
500,5000,2000,0.6
500,5000,500,0.5
50,10000,1000,0.5
50,10000,10,0.4
50,10000,2000,0.7
50,10000,500,0.4
50,1000,1000,0.0
50,1000,10,0.0
50,1000,2000,0.3
50,1000,500,0.0
50,20000,1000,0.7
50,20000,10,0.6
50,20000,2000,1.0
50,20000,500,0.6
50,2000,1000,0.3
50,2000,10,0.3
50,2000,2000,0.3
50,2000,500,0.3
50,50000,1000,1.5
50,50000,10,0.9
50,50000,2000,2.3
50,50000,500,1.2
50,5000,1000,0.4
50,5000,10,0.3
50,5000,2000,0.4
50,5000,500,0.3
50,500,1000,0.0
50,500,10,0.0
50,500,2000,0.0
50,500,500,0.0
